Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Никифоровская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316					
1	"Число избирателей, внесенных в списки"	18494	2024	2136	1551	388	345	1442	346	409	440	449	646	435	269	401	137	301	338	239	1051	1111	194	834	328	472	213	572	180	138	428	354	323					
2	"Число бюллетеней, полученных участковыми комиссиями"	17426	2000	2000	1500	360	345	1300	350	400	400	400	650	450	250	350	130	270	305	220	1010	1000	200	750	315	430	200	505	180	136	390	320	310					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8703	1033	1108	673	185	165	573	203	223	247	208	348	131	87	280	76	174	173	113	408	425	73	372	172	238	88	296	98	69	164	169	131					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1034	62	53	50	29	18	52	32	37	20	65	8	51	43	32	27	49	30	26	15	16	19	29	30	14	29	79	29	22	32	16	20					
6	Число погашенных бюллетеней	7689	905	839	777	146	162	675	115	140	133	127	294	268	120	38	27	47	102	81	587	559	108	349	113	178	83	130	53	45	194	135	159					
7	Число бюллетеней в переносных ящиках для голосования	1034	62	53	50	29	18	52	32	37	20	65	8	51	43	32	27	49	30	26	15	16	19	29	30	14	29	79	29	22	32	16	20					
8	Число бюллетеней в стационарных ящиках для голосования	8696	1033	1114	672	185	165	562	203	223	247	208	348	131	87	280	76	174	173	113	408	425	73	372	172	238	88	296	98	69	164	168	131					
9	Число недействительных бюллетеней	331	26	15	11	6	7	3	11	5	21	9	16	4	11	15	3	18	16	7	13	14	1	24	7	21	1	9	7	1	10	13	6					
10	Число действительных бюллетеней	9399	1069	1152	711	208	176	611	224	255	246	264	340	178	119	297	100	205	187	132	410	427	91	377	195	231	116	366	120	90	186	171	145					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	16	16	10	4	6	10	6	6	6	6	6	6	4	6	4	4	6	4	8	8	4	8	6	6	4	6	4	4	6	4	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	6	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	188	10	14	7	3	6	10	6	6	6	6	6	6	4	6	4	4	6	4	8	8	4	8	6	6	4	6	4	4	6	4	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	153	12	7	8	4	1	7	6	4	2	5	7	6	0	3	2	7	1	2	25	8	0	11	4	7	3	3	2	0	2	1	3					
		1.57%	1.09%	0.59%	1.10%	1.86%	0.54%	1.14%	2.55%	1.53%	0.74%	1.83%	1.96%	3.29%	0.0%	0.96%	1.94%	3.13%	0.49%	1.43%	5.91%	1.81%	0.0%	2.74%	1.98%	2.77%	2.56%	0.8%	1.57%	0.0%	1.02%	0.54%	1.98%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	103	18	3	15	3	1	6	6	3	1	2	2	0	0	3	2	1	0	1	6	4	2	3	2	2	4	1	0	2	5	3	2					
		1.05%	1.64%	0.25%	2.07%	1.40%	0.54%	0.97%	2.55%	1.15%	0.37%	0.73%	0.56%	0.0%	0.0%	0.96%	1.94%	0.44%	0.0%	0.71%	1.41%	0.90%	2.17%	0.74%	0.99%	0.79%	3.41%	0.26%	0.0%	2.19%	2.55%	1.63%	1.32%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1039	98	118	84	32	33	104	37	31	41	25	19	16	9	42	12	27	27	6	31	24	14	43	18	17	13	38	6	15	24	10	25					
		10.67%	8.94%	10.11%	11.63%	14.95%	18.03%	16.93%	15.74%	11.92%	15.35%	9.15%	5.33%	8.79%	6.92%	13.46%	11.65%	12.10%	13.30%	4.31%	7.32%	5.44%	15.21%	10.72%	8.91%	6.74%	11.11%	10.13%	4.72%	16.48%	12.24%	5.43%	16.55%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	154	20	20	4	4	9	7	2	6	5	4	4	3	0	4	0	3	1	1	7	14	2	6	2	6	1	1	0	3	8	2	5					
