Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Октябрьская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №2002	УИК №2003	УИК №2005	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2017	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2080	УИК №2081									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22883	544	144	407	499	170	366	693	318	839	360	287	84	123	358	953	361	174	548	578	580	535	577	508	557	537	1172	922	277	499	810	692	1033	313	418	408	558	403	371	583	195	582	160	300	276	789	411	267	74	270									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21688	525	154	365	475	179	340	645	300	775	325	270	89	123	325	945	320	194	530	530	555	495	535	480	530	495	1090	855	245	470	760	660	975	300	395	385	525	370	375	560	196	535	163	275	255	735	400	265	100	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	73	0	0	38	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13711	288	129	293	395	151	269	389	300	730	107	200	69	95	190	734	115	121	192	278	223	229	358	273	283	187	675	536	183	255	586	374	680	157	363	191	446	199	351	257	142	223	94	237	133	394	186	114	67	270									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1112	18	3	18	20	6	1	4	0	15	41	8	2	8	15	7	28	20	53	40	61	36	21	37	55	62	39	22	15	6	55	7	58	4	3	10	9	9	13	47	10	34	4	6	3	150	5	18	6	0									
6	Число погашенных избирательных бюллетеней	6792	219	22	16	25	22	70	252	0	30	177	62	18	20	120	204	177	53	285	212	271	230	156	170	192	246	376	297	47	209	119	279	237	139	29	184	70	162	11	256	44	278	65	32	119	191	209	133	27	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1185	18	3	56	55	6	1	4	0	15	41	8	2	8	15	7	28	20	53	40	61	36	21	37	55	62	39	22	15	6	55	7	58	4	3	10	9	9	13	47	10	34	4	6	3	150	5	18	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13710	288	129	293	395	151	268	389	300	730	107	200	69	95	190	734	115	121	192	278	223	229	358	273	283	187	675	536	183	255	586	374	680	157	363	191	446	199	351	257	142	223	94	237	133	394	186	114	67	270									
9	Число недействительных избирательных бюллетеней	530	12	2	5	25	4	4	16	8	67	2	0	6	0	16	20	4	4	14	25	6	12	8	13	13	12	21	0	2	10	7	11	0	9	13	10	18	10	32	11	7	17	7	0	19	9	7	9	2	1									
10	Число действительных избирательных бюллетеней	14365	294	130	344	425	153	265	377	292	678	146	208	65	103	189	721	139	137	231	293	278	253	371	297	325	237	693	558	196	251	634	370	738	152	353	191	437	198	332	293	145	240	91	243	117	535	184	123	71	269									
