Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
Наименование Избирательной комиссии:    Барышская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80					
1	"Число избирателей, внесенных в список избирателей"	35603	1299	1418	1317	701	942	1352	971	612	705	1330	910	1440	1442	646	753	65	241	314	1289	1064	93	233	97	1518	733	312	215	138	356	612	199	37	71	1186	1802	583	1300	116	640	456	206	245	115	118	254	424	92	241	260	542	212	137	430	73	56	674	821	868	327					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35180	1260	1410	1320	695	810	1350	970	600	690	1310	890	1440	1440	650	750	65	240	310	1280	1060	90	230	95	1500	720	305	210	135	360	605	195	35	75	1190	1800	570	1300	110	630	455	200	245	115	115	250	415	85	240	260	550	205	130	430	70	55	665	830	860	310					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18974	666	699	688	424	512	560	418	298	341	584	423	794	604	317	383	65	191	223	589	433	59	120	60	680	408	157	161	79	257	328	126	24	50	763	855	408	765	87	345	222	125	113	66	71	162	300	53	151	171	373	115	92	230	60	39	370	649	451	217					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2905	52	64	41	19	53	76	73	49	35	117	50	78	67	58	74	0	15	1	85	82	12	27	8	19	17	50	15	20	64	48	35	8	10	187	192	44	78	17	78	46	23	35	30	17	20	27	12	23	14	34	23	14	72	10	7	75	88	270	47					
6	Число погашенных избирательных бюллетеней	13301	542	647	591	252	245	714	479	253	314	609	417	568	769	275	293	0	34	86	606	545	19	83	27	801	295	98	34	36	39	229	34	3	15	240	753	118	457	6	207	187	52	97	19	27	68	88	20	66	75	143	67	24	128	0	9	220	93	139	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2905	52	64	41	19	53	76	73	49	35	117	50	78	67	58	74	0	15	1	85	82	12	27	8	19	17	50	15	20	64	48	35	8	10	187	192	44	78	17	78	46	23	35	30	17	20	27	12	23	14	34	23	14	72	10	7	75	88	270	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18961	666	697	688	423	512	560	418	298	341	578	423	794	604	315	383	65	191	223	589	433	59	120	60	678	408	157	161	79	257	328	126	24	50	763	855	408	765	87	345	222	125	113	66	71	162	300	53	151	171	373	115	92	230	60	39	370	649	451	217					
9	Число недействительных избирательных бюллетеней	368	6	7	10	5	5	6	5	3	3	46	3	13	7	4	5	0	1	0	10	3	0	1	0	22	10	0	1	2	21	3	0	0	0	6	11	2	10	0	8	1	1	2	0	2	0	8	0	9	27	24	1	0	0	9	0	3	36	4	2					
10	Число действительных избирательных бюллетеней	21498	712	754	719	437	560	630	486	344	373	649	470	859	664	369	452	65	205	224	664	512	71	146	68	675	415	207	175	97	300	373	161	32	60	944	1036	450	833	104	415	267	147	146	96	86	182	319	65	165	158	383	137	106	302	61	46	442	701	717	262					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1870	50	100	50	30	41	50	30	40	30	80	50	70	70	40	30	5	10	10	50	50	5	10	5	70	30	30	10	10	10	25	7	5	5	80	70	50	55	15	40	30	10	10	30	25	10	40	10	10	10	30	10	20	33	5	5	30	59	55	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1493	30	52	50	20	41	45	23	37	20	35	26	51	55	40	30	5	2	10	50	39	1	7	3	40	15	30	9	9	10	4	7	5	3	80	70	35	55	15	40	30	10	10	30	25	10	14	1	10	10	30	5	20	33	5	5	12	59	55	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	405	34	23	19	7	50	10	7	13	13	11	16	9	8	6	7	0	2	0	3	7	0	3	4	7	8	5	3	2	1	4	5	4	0	2	4	8	4	3	13	0	6	2	3	5	4	3	3	2	2	1	2	0	4	3	1	5	13	11	10					
14	Число погашенных неиспользованных открепительных удостоверений	377	20	48	0	10	0	5	7	3	10	45	24	19	15	0	0	0	8	0	0	11	4	3	2	30	15	0	1	1	0	21	0	0	2	0	0	15	0	0	0	0	0	0	0	0	0	26	9	0	0	0	5	0	0	0	0	18	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	129	17	6	20	1	4	5	4	0	0	25	2	5	6	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	5	9	3	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2					
