Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Тляратинская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343					
1	"Число избирателей, внесенных в список"	13350	240	236	94	102	90	94	100	101	193	56	144	301	156	415	121	155	203	158	367	302	198	148	106	955	109	292	98	200	383	207	112	165	119	232	151	354	72	85	51	117	181	89	100	157	70	64	143	34	713	446	437	285	354	293	293	418	451	249	85	230	194	103	179					
2	Число полученных избирательных бюллетеней	12803	240	236	93	96	87	90	100	100	162	56	131	296	152	396	112	132	193	143	357	288	190	145	105	950	97	272	89	200	373	192	107	160	99	227	151	334	70	85	51	114	181	85	100	157	66	64	141	34	713	385	437	272	343	287	285	399	445	249	80	205	165	90	149					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12255	240	235	93	96	77	65	96	78	150	56	127	240	124	290	107	124	155	135	347	288	175	145	95	950	74	271	89	200	322	185	100	160	99	215	150	334	70	85	51	114	167	69	77	132	65	59	141	34	713	385	437	272	343	287	285	399	445	249	80	205	165	90	149					
5	"Число избирательных бюллетеней, выданных вне помещения"	52	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	496	0	1	0	0	10	25	4	22	8	0	0	56	28	106	5	8	38	8	10	0	9	0	10	0	23	1	0	0	51	7	7	0	0	2	1	0	0	0	0	0	11	16	23	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	52	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	12255	240	235	93	96	77	65	96	78	150	56	127	240	124	290	107	124	155	135	347	288	175	145	95	950	74	271	89	200	322	185	100	160	99	215	150	334	70	85	51	114	167	69	77	132	65	59	141	34	713	385	437	272	343	287	285	399	445	249	80	205	165	90	149					
9	Число недействительных избирательных бюллетеней	62	0	0	26	10	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	1	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1					
10	Число действительных избирательных бюллетеней	12245	240	235	67	86	77	65	96	78	154	56	131	240	124	288	107	124	151	135	347	288	181	145	94	950	74	271	89	195	322	179	100	160	99	225	150	334	70	85	51	114	170	69	77	156	65	59	136	34	713	385	437	272	343	287	285	399	445	248	80	205	165	90	148					
