Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Омская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1338	УИК №1339	УИК №1340	УИК №1360	УИК №1361	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1380	УИК №1381	УИК №1382	УИК №1393	УИК №1394									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20804	2726	821	2267	629	1553	1528	1156	1836	395	1451	239	1646	310	2243	554	192	385	873									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20150	2600	800	2200	600	1500	1500	1100	1800	380	1440	230	1600	300	2200	550	200	350	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7013	879	264	833	213	508	521	334	585	155	511	66	598	85	716	154	77	153	361									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	434	39	29	31	17	8	6	5	52	86	29	14	19	5	28	26	8	9	23									
6	Число погашенных избирательных бюллетеней	12703	1682	507	1336	370	984	973	761	1163	139	900	150	983	210	1456	370	115	188	416									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	434	39	29	31	17	8	6	5	52	86	29	14	19	5	28	26	8	9	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7013	879	264	833	213	508	521	334	585	155	511	66	598	85	716	154	77	153	361									
9	Число недействительных избирательных бюллетеней	239	14	10	20	5	18	13	14	23	43	13	3	12	10	19	4	1	5	12									
10	Число действительных избирательных бюллетеней	7208	904	283	844	225	498	514	325	614	198	527	77	605	80	725	176	84	157	372									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	680	60	40	50	35	40	40	40	40	20	40	30	40	20	60	35	20	30	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	6	0	3	0	7	0	3	15	0	1	0	2	3	8	2	2	1	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	131	3	3	11	4	14	14	1	13	6	4	1	6	1	3	1	2	11	33									
14	Число погашенных неиспользованных открепительных удостоверений	621	54	40	47	35	33	40	37	25	20	39	30	38	17	52	33	18	29	34									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	122	21	4	16	2	7	6	2	9	4	14	1	14	0	9	3	3	0	7									
		1.64%	2.29%	1.37%	1.85%	0.87%	1.36%	1.14%	0.59%	1.41%	1.66%	2.59%	1.25%	2.27%	0.00%	1.21%	1.67%	3.53%	0.00%	1.82%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	403	42	16	45	15	35	42	21	32	8	33	3	33	5	33	11	4	5	20									
		5.41%	4.58%	5.46%	5.21%	6.52%	6.78%	7.97%	6.19%	5.02%	3.32%	6.11%	3.75%	5.35%	5.56%	4.44%	6.11%	4.71%	3.09%	5.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	177	17	7	29	7	5	12	4	19	3	9	2	17	1	20	7	0	2	16									
		2.38%	1.85%	2.39%	3.36%	3.04%	0.97%	2.28%	1.18%	2.98%	1.24%	1.67%	2.50%	2.76%	1.11%	2.69%	3.89%	0.00%	1.23%	4.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2639	319	139	215	90	152	163	99	249	98	219	33	218	45	273	76	48	65	138									
		35.44%	34.75%	47.44%	24.88%	39.13%	29.46%	30.93%	29.20%	39.09%	40.66%	40.56%	41.25%	35.33%	50.00%	36.69%	42.22%	56.47%	40.12%	35.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	41	6	0	6	1	3	0	1	6	0	4	1	2	0	3	2	0	4	2									
		0.55%	0.65%	0.00%	0.69%	0.43%	0.58%	0.00%	0.29%	0.94%	0.00%	0.74%	1.25%	0.32%	0.00%	0.40%	1.11%	0.00%	2.47%	0.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	2	0	2	1	1	3	1	2	0	2	0	2	0	2	2	2	0	1									
		0.31%	0.22%	0.00%	0.23%	0.43%	0.19%	0.57%	0.29%	0.31%	0.00%	0.37%	0.00%	0.32%	0.00%	0.27%	1.11%	2.35%	0.00%	0.26%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1268	144	38	143	59	82	96	67	106	55	94	17	106	11	120	23	12	35	60									
		17.03%	15.69%	12.97%	16.55%	25.65%	15.89%	18.22%	19.76%	16.64%	22.82%	17.41%	21.25%	17.18%	12.22%	16.13%	12.78%	14.12%	21.60%	15.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	74	20	0	18	1	4	4	0	3	1	3	0	6	0	6	1	1	0	6									
		0.99%	2.18%	0.00%	2.08%	0.43%	0.78%	0.76%	0.00%	0.47%	0.41%	0.56%	0.00%	0.97%	0.00%	0.81%	0.56%	1.18%	0.00%	1.56%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	105	17	1	23	3	4	3	5	10	0	2	1	7	1	17	2	1	3	5									
		1.41%	1.85%	0.34%	2.66%	1.30%	0.78%	0.57%	1.47%	1.57%	0.00%	0.37%	1.25%	1.13%	1.11%	2.28%	1.11%	1.18%	1.85%	1.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	4	0	1	1	0	1	1	1	2	1	0	1	0	3	0	0	1	0									
