Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
"Наименование Избирательной комиссии:    Саратов, Заводская"																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116					
1	"Число избирателей, внесенных в список избирателей"	147368	1908	2208	1972	1681	58	1830	966	1421	2077	2431	51	585	2513	2503	2630	1464	429	2346	2515	2067	2348	2800	2510	2182	2333	2070	2412	2250	2340	2185	1242	2509	1830	2185	1951	1802	1849	3013	2707	2542	1911	2340	2157	2507	2673	2473	2615	586	2483	2950	2810	2696	2923	2823	143	2784	2733	1090	2846	2774	2580	2539	2430	2582	2697	2870	2757	1834	2047					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	152890	1900	2250	2000	1700	60	1540	1000	2150	2000	2450	51	568	2500	2550	2650	2350	432	2400	2550	2100	2400	2850	2550	2250	2400	2050	2500	2250	2200	2250	2400	2600	1850	2200	2000	1800	1950	2950	2750	2550	1950	2300	2250	2550	2750	2400	2700	596	2550	2850	2850	2800	2650	2950	143	2750	2700	2850	2900	2850	2650	2550	2500	2600	2750	2800	2800	1850	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	80221	1125	1180	807	883	55	489	520	1142	1023	1136	51	347	2012	891	1569	1403	403	1166	1231	1069	1760	1953	1882	1542	1903	1270	1688	1673	1726	1682	1124	937	681	1294	1407	1121	1307	1575	1156	1226	1058	1243	899	1063	1597	1546	1253	567	1704	1360	1482	1461	1467	1212	143	1659	1021	1028	959	925	1096	708	997	1125	1055	1085	1539	790	770					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4778	70	32	29	28	0	91	72	279	25	95	0	83	56	81	243	61	17	67	51	106	21	37	38	32	192	80	60	29	95	100	118	104	79	19	54	30	34	90	85	25	29	16	43	28	79	115	46	0	22	176	68	111	136	162	0	115	144	62	86	47	68	50	76	57	42	45	42	37	68					
6	Число погашенных избирательных бюллетеней	67848	705	1038	1164	789	5	960	408	729	952	1219	0	138	432	1578	838	886	12	1167	1268	925	619	860	630	676	305	700	752	548	379	468	1156	1559	1090	887	539	649	608	1285	1509	1299	863	1041	1308	1459	1074	739	1401	28	824	1314	1300	1228	1047	1576	0	976	1535	1760	1855	1878	1486	1792	1427	1418	1653	1670	1180	1023	1262					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4766	70	32	29	28	0	91	72	279	25	84	0	83	56	81	243	61	17	67	51	106	21	37	38	32	192	80	60	29	94	100	118	104	79	19	54	30	34	90	85	25	29	16	43	28	79	115	46	0	22	176	68	111	136	162	0	115	144	62	86	47	68	50	76	57	42	45	42	37	68					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	78527	1125	1148	804	883	55	489	520	1142	982	1057	51	347	1980	891	1569	1372	403	1166	1221	1058	1746	1913	1880	1542	1903	1061	1688	1643	1726	1436	1124	937	681	1141	1407	1034	1135	1554	1156	1200	1058	1224	891	1063	1597	1546	1245	567	1704	1360	1482	1408	1467	1212	143	1659	695	1028	959	925	1096	708	997	1120	1055	1049	1539	790	770					
9	Число недействительных избирательных бюллетеней	2285	28	18	7	12	0	4	12	14	70	29	0	8	10	0	224	6	9	21	18	5	63	343	21	28	13	18	0	7	33	60	16	13	7	0	127	15	11	33	21	28	46	14	52	15	12	74	10	10	19	163	216	28	26	2	0	17	23	20	24	15	16	10	9	15	20	17	42	10	8					
10	Число действительных избирательных бюллетеней	81008	1167	1162	826	899	55	576	580	1407	937	1112	51	422	2026	972	1588	1427	411	1212	1254	1159	1704	1607	1897	1546	2082	1123	1748	1665	1787	1476	1226	1028	753	1160	1334	1049	1158	1611	1220	1197	1041	1226	882	1076	1664	1587	1281	557	1707	1373	1334	1491	1577	1372	143	1757	816	1070	1021	957	1148	748	1064	1162	1077	1077	1539	817	830					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	5174	72	103	55	55	0	39	40	70	75	85	0	20	70	105	95	90	0	70	85	57	75	85	85	90	70	60	92	100	80	118	105	110	67	80	65	50	60	95	85	80	70	70	70	86	123	116	120	0	95	80	80	80	134	100	0	90	95	90	80	80	100	70	80	75	70	85	87	55	55					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	5076	71	91	55	53	0	28	40	65	75	85	0	20	42	105	95	90	0	70	85	57	75	80	84	88	68	60	92	100	80	117	102	110	67	78	63	50	59	95	85	80	70	70	70	85	116	115	120	0	95	80	75	80	134	100	0	90	95	90	80	80	100	70	79	72	70	85	87	55	53					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3505	59	22	14	8	34	240	6	141	128	51	51	18	7	33	38	123	420	30	46	41	15	10	9	18	18	78	9	32	103	27	32	22	18	49	8	29	39	34	30	56	36	42	33	64	37	44	32	567	19	73	22	22	15	4	0	42	23	25	19	10	18	15	9	29	21	63	23	30	22					
14	Число погашенных неиспользованных открепительных удостоверений	95	1	12	0	2	0	11	0	5	0	0	0	0	28	0	0	0	0	0	0	0	0	5	1	2	2	0	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	1	7	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	422	1	8	5	4	0	3	2	5	7	9	0	0	6	5	10	9	0	6	6	7	10	14	7	4	5	11	10	6	7	6	6	4	21	4	6	7	4	9	3	2	4	8	8	7	7	7	6	0	3	8	5	7	18	5	0	13	5	4	7	4	14	3	3	11	9	5	5	5	2					
16	Число утраченных открепительных удостоверений	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9280	199	197	176	125	2	70	49	150	169	154	5	30	82	60	32	205	31	198	221	169	191	8	252	26	159	68	139	177	154	63	188	180	126	102	128	157	189	262	143	154	147	227	140	37	123	121	207	30	94	107	193	167	182	228	2	121	27	201	194	191	229	118	174	196	179	174	74	115	92					
		11.14%	16.65%	16.69%	21.13%	13.72%	3.64%	12.07%	8.28%	10.56%	16.78%	13.50%	9.80%	6.98%	4.03%	6.17%	1.77%	14.31%	7.38%	16.06%	17.37%	14.52%	10.81%	0.41%	13.14%	1.65%	7.59%	5.96%	7.95%	10.59%	8.46%	4.10%	15.14%	17.29%	16.58%	8.79%	8.76%	14.76%	16.17%	15.94%	11.52%	12.57%	13.52%	18.31%	14.99%	3.39%	7.34%	7.28%	16.03%	5.29%	5.45%	6.97%	12.45%	10.99%	11.35%	16.59%	1.40%	6.82%	3.22%	18.44%	18.56%	19.65%	19.67%	15.57%	16.22%	16.65%	16.32%	15.90%	4.68%	13.91%	10.98%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7214	106	124	100	95	5	65	45	124	97	120	3	36	105	60	116	111	21	139	104	88	157	134	161	116	117	53	77	103	125	113	135	141	104	81	103	125	116	196	128	127	95	142	93	35	157	81	132	18	79	121	134	121	214	121	4	101	121	144	122	124	142	110	124	161	112	121	34	82	93					
		8.66%	8.87%	10.51%	12.00%	10.43%	9.09%	11.21%	7.60%	8.73%	9.63%	10.52%	5.88%	8.37%	5.16%	6.17%	6.40%	7.75%	5.00%	11.27%	8.18%	7.56%	8.89%	6.87%	8.39%	7.37%	5.58%	4.65%	4.41%	6.16%	6.87%	7.36%	10.87%	13.54%	13.68%	6.98%	7.05%	11.75%	9.92%	11.92%	10.31%	10.37%	8.74%	11.45%	9.96%	3.21%	9.37%	4.88%	10.22%	3.17%	4.58%	7.88%	8.65%	7.97%	13.35%	8.81%	2.80%	5.69%	14.42%	13.21%	11.67%	12.76%	12.20%	14.51%	11.56%	13.68%	10.21%	11.06%	2.15%	9.92%	11.10%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	540	12	7	8	5	0	2	3	4	9	11	0	3	5	11	0	3	3	4	11	2	16	18	14	6	17	11	6	3	1	11	10	17	6	9	8	9	12	10	9	16	0	13	11	0	1	6	10	2	3	5	15	5	14	11	0	10	0	10	12	12	17	12	7	23	14	5	0	4	6					
		0.65%	1.00%	0.59%	0.96%	0.55%	0.00%	0.34%	0.51%	0.28%	0.89%	0.96%	0.00%	0.70%	0.25%	1.13%	0.00%	0.21%	0.71%	0.32%	0.86%	0.17%	0.91%	0.92%	0.73%	0.38%	0.81%	0.96%	0.34%	0.18%	0.05%	0.72%	0.81%	1.63%	0.79%	0.78%	0.55%	0.85%	1.03%	0.61%	0.73%	1.31%	0.00%	1.05%	1.18%	0.00%	0.06%	0.36%	0.77%	0.35%	0.17%	0.33%	0.97%	0.33%	0.87%	0.80%	0.00%	0.56%	0.00%	0.92%	1.15%	1.23%	1.46%	1.58%	0.65%	1.95%	1.28%	0.46%	0.00%	0.48%	0.72%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13870	251	296	223	183	5	101	59	191	170	196	3	42	138	90	148	230	19	293	325	218	297	307	375	241	272	221	205	200	355	168	251	211	189	128	170	178	213	348	232	246	220	265	168	160	193	126	242	27	141	171	256	196	283	327	5	255	100	225	243	268	289	174	243	311	327	195	134	170	168					
		16.65%	21.00%	25.08%	26.77%	20.09%	9.09%	17.41%	9.97%	13.44%	16.88%	17.18%	5.88%	9.77%	6.78%	9.26%	8.17%	16.05%	4.52%	23.76%	25.55%	18.73%	16.81%	15.74%	19.55%	15.31%	12.98%	19.37%	11.73%	11.96%	19.51%	10.94%	20.21%	20.27%	24.87%	11.03%	11.64%	16.73%	18.22%	21.17%	18.69%	20.08%	20.24%	21.37%	17.99%	14.67%	11.52%	7.59%	18.75%	4.76%	8.17%	11.13%	16.52%	12.90%	17.65%	23.80%	3.50%	14.37%	11.92%	20.64%	23.25%	27.57%	24.83%	22.96%	22.65%	26.42%	29.81%	17.82%	8.48%	20.56%	20.05%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2107	60	43	56	51	1	12	5	25	29	43	0	7	7	24	0	41	4	53	66	9	55	3	73	46	41	39	8	8	5	30	36	30	26	22	18	46	39	54	37	48	27	55	33	3	16	20	48	12	21	1	31	23	43	8	0	18	2	69	44	37	53	32	61	61	69	52	8	36	24					
		2.53%	5.02%	3.64%	6.72%	5.60%	1.82%	2.07%	0.84%	1.76%	2.88%	3.77%	0.00%	1.63%	0.34%	2.47%	0.00%	2.86%	0.95%	4.30%	5.19%	0.77%	3.11%	0.15%	3.81%	2.92%	1.96%	3.42%	0.46%	0.48%	0.27%	1.95%	2.90%	2.88%	3.42%	1.90%	1.23%	4.32%	3.34%	3.28%	2.98%	3.92%	2.48%	4.44%	3.53%	0.27%	0.95%	1.20%	3.72%	2.12%	1.22%	0.07%	2.00%	1.51%	2.68%	0.58%	0.00%	1.01%	0.24%	6.33%	4.21%	3.81%	4.55%	4.22%	5.68%	5.18%	6.29%	4.75%	0.51%	4.35%	2.86%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	47733	534	489	260	435	42	323	418	911	458	582	40	303	1685	722	1292	829	332	520	522	671	985	1129	1015	1107	1470	725	1311	1172	1147	1091	602	443	299	817	905	529	587	738	669	597	547	516	433	839	1174	1223	637	468	1367	965	699	973	839	672	132	1250	566	414	402	320	409	299	453	404	372	523	1284	405	442					
