Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Катангская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713					
1	"Число избирателей, внесенных в списки"	3285	91	88	1596	51	56	458	309	373	76	110	77					
2	"Число бюллетеней, полученных участковыми комиссиями"	3473	79	91	1559	53	58	457	309	590	78	106	93					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	57	9	0	12	0	0	36	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1821	60	74	705	31	56	259	187	234	44	99	72					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	133	0	0	113	0	0	0	12	0	4	4	0					
6	Число погашенных бюллетеней	1462	10	17	729	22	2	162	110	356	30	3	21					
7	Число бюллетеней в переносных ящиках для голосования	154	9	0	125	0	0	0	12	0	4	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	1857	60	74	705	31	56	295	187	234	44	99	72					
9	Число недействительных бюллетеней	12	0	0	4	0	1	1	0	4	1	0	1					
10	Число действительных бюллетеней	1999	69	74	826	31	55	294	199	230	47	103	71					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	5	5	35	5	5	10	10	10	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	0	0	8	2	0	2	0	1	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	82	5	5	27	3	5	8	10	9	5	5	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	32	2	2	6	0	4	4	4	5	1	2	2					
		1.59%	2.89%	2.70%	0.72%	0.0%	7.14%	1.35%	2.01%	2.13%	2.08%	1.94%	2.77%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	16	0	4	7	0	0	1	0	3	0	1	0					
		0.79%	0.0%	5.40%	0.84%	0.0%	0.0%	0.33%	0.0%	1.28%	0.0%	0.97%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	52	0	4	20	0	1	4	8	11	0	2	2					
		2.58%	0.0%	5.40%	2.40%	0.0%	1.78%	1.35%	4.02%	4.70%	0.0%	1.94%	2.77%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	41	0	0	24	0	0	8	1	6	2	0	0					
		2.03%	0.0%	0.0%	2.89%	0.0%	0.0%	2.71%	0.50%	2.56%	4.16%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	14	0	4	8	0	0	1	1	0	0	0	0					
		0.69%	0.0%	5.40%	0.96%	0.0%	0.0%	0.33%	0.50%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	0	1	2	1	0	1	1	0	0	0	0					
