Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Мезенская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562					
1	"Число избирателей, внесенных в списки"	9355	2131	678	1582	946	111	83	66	361	94	186	84	75	112	187	138	315	111	88	175	206	87	530	256	407	92	203	51					
2	"Число бюллетеней, полученных участковыми комиссиями"	9243	2008	670	1589	941	122	83	63	366	100	206	100	84	116	213	152	331	120	99	179	202	86	533	261	262	105	199	53					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	3	21	0	6	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5775	1242	406	914	534	87	57	49	236	71	122	72	63	50	139	100	224	100	87	93	135	61	318	170	215	60	135	35					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	436	44	20	33	59	4	7	7	15	7	27	2	5	44	13	7	10	1	0	36	20	2	31	22	14	6	0	0					
6	Число погашенных бюллетеней	2993	722	244	642	348	31	19	7	115	22	57	26	16	22	61	45	90	19	12	50	47	23	182	66	12	39	58	18					
7	Число бюллетеней в переносных ящиках для голосования	475	44	20	33	59	4	7	7	15	7	27	2	5	44	13	7	17	1	0	36	20	2	33	25	35	6	6	0					
8	Число бюллетеней в стационарных ящиках для голосования	5773	1240	406	914	534	87	57	49	236	71	122	72	63	50	139	100	224	100	87	93	135	61	318	170	215	60	135	35					
9	Число недействительных бюллетеней	64	4	6	10	5	3	1	4	4	0	2	1	0	0	1	2	1	1	0	2	0	0	3	4	7	2	0	1					
10	Число действительных бюллетеней	6184	1280	420	937	588	88	63	52	247	78	147	73	68	94	151	105	240	100	87	127	155	63	348	191	243	64	141	34					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	48	20	0	5	5	0	0	0	1	0	2	3	0	0	3	0	1	0	0	0	2	0	0	2	2	0	2	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	32	19	0	3	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	3	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	16	1	0	2	2	0	0	0	0	0	1	3	0	0	3	0	1	0	0	0	0	0	0	1	2	0	0	0					
15	Число открепительных удостоверений выданных ТИК	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	62	4	4	10	2	2	2	0	3	2	1	1	1	0	1	5	1	2	1	5	0	1	3	4	7	0	0	0					
		0.99%	0.31%	0.93%	1.05%	0.33%	2.19%	3.12%	0.0%	1.19%	2.56%	0.67%	1.35%	1.47%	0.0%	0.65%	4.67%	0.41%	1.98%	1.14%	3.87%	0.0%	1.58%	0.85%	2.05%	2.8%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	77	33	14	7	5	0	0	0	3	2	0	0	0	1	0	1	2	0	0	1	1	0	1	1	2	0	2	1					
		1.23%	2.57%	3.28%	0.73%	0.84%	0.0%	0.0%	0.0%	1.19%	2.56%	0.0%	0.0%	0.0%	1.06%	0.0%	0.93%	0.82%	0.0%	0.0%	0.77%	0.64%	0.0%	0.28%	0.51%	0.8%	0.0%	1.41%	2.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	275	47	15	47	33	2	4	4	14	1	7	0	3	9	3	4	12	0	11	7	5	3	13	6	15	4	4	2					
		4.40%	3.66%	3.52%	4.96%	5.56%	2.19%	6.25%	7.14%	5.57%	1.28%	4.69%	0.0%	4.41%	9.57%	1.97%	3.73%	4.97%	0.0%	12.64%	5.42%	3.22%	4.76%	3.70%	3.07%	6.0%	6.06%	2.83%	5.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	155	22	14	49	22	2	0	0	3	1	2	1	2	3	1	0	2	0	0	0	3	1	5	6	9	2	3	2					
		2.48%	1.71%	3.28%	5.17%	3.70%	2.19%	0.0%	0.0%	1.19%	1.28%	1.34%	1.35%	2.94%	3.19%	0.65%	0.0%	0.82%	0.0%	0.0%	0.0%	1.93%	1.58%	1.42%	3.07%	3.6%	3.03%	2.12%	5.71%					
22	"5. ""За Русь Святую"""	21	4	0	2	2	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	2	4	1	0	1	0					
		0.33%	0.31%	0.0%	0.21%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.47%	0.0%	0.0%	0.93%	0.0%	0.99%	1.14%	0.77%	0.0%	0.0%	0.56%	2.05%	0.4%	0.0%	0.70%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	1	0					
		0.12%	0.07%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.51%	0.0%	3.03%	0.70%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	31	16	1	3	3	0	0	1	1	0	0	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.49%	1.24%	0.23%	0.31%	0.50%	0.0%	0.0%	1.78%	0.39%	0.0%	0.0%	1.35%	1.47%	1.06%	1.31%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	10	5	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
		0.16%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.35%	2.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	4	1	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0					
		0.20%	0.31%	0.23%	0.21%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.4%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	507	83	31	35	33	7	11	6	36	17	39	6	13	12	22	16	32	10	7	5	16	9	29	19	7	4	2	0					
		8.11%	6.46%	7.27%	3.69%	5.56%	7.69%	17.18%	10.71%	14.34%	21.79%	26.17%	8.10%	19.11%	12.76%	14.47%	14.95%	13.27%	9.90%	8.04%	3.87%	10.32%	14.28%	8.26%	9.74%	2.8%	6.06%	1.41%	0.0%					
28	"11. ""Истинные патриоты России"""	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0					
		0.08%	0.07%	0.23%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.0%	0.4%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	69	20	8	14	8	4	1	0	1	0	0	0	0	0	1	0	1	1	0	0	3	0	2	0	3	1	0	1					
		1.10%	1.55%	1.87%	1.47%	1.34%	4.39%	1.56%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.41%	0.99%	0.0%	0.0%	1.93%	0.0%	0.56%	0.0%	1.2%	1.51%	0.0%	2.85%					
30	"13. ""Демократическая партия России"""	17	8	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0					
		0.27%	0.62%	0.23%	0.10%	0.50%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.0%	0.4%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	5	0	4	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	2	0	2	0					
		0.30%	0.38%	0.0%	0.42%	0.0%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.28%	0.51%	0.8%	0.0%	1.41%	0.0%					
32	"15. ""Партия СЛОН"""	7	2	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.11%	0.15%	0.0%	0.10%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	1.35%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	428	103	24	53	48	8	8	2	16	1	12	3	2	10	10	8	10	2	4	3	5	4	53	19	7	4	7	2					
		6.85%	8.02%	5.63%	5.59%	8.09%	8.79%	12.5%	3.57%	6.37%	1.28%	8.05%	4.05%	2.94%	10.63%	6.57%	7.47%	4.14%	1.98%	4.59%	2.32%	3.22%	6.34%	15.09%	9.74%	2.8%	6.06%	4.96%	5.71%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	2	2	5	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	4	0	0	2	0	0	0	0	0					
		0.33%	0.15%	0.46%	0.52%	0.0%	0.0%	0.0%	1.78%	0.0%	1.28%	0.0%	0.0%	0.0%	1.06%	0.65%	0.0%	0.0%	0.99%	1.14%	3.10%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	697	94	32	131	74	8	6	5	27	12	15	10	6	9	21	14	26	16	6	26	25	17	50	21	24	2	13	7					
		11.15%	7.32%	7.51%	13.83%	12.47%	8.79%	9.37%	8.92%	10.75%	15.38%	10.06%	13.51%	8.82%	9.57%	13.81%	13.08%	10.78%	15.84%	6.89%	20.15%	16.12%	26.98%	14.24%	10.76%	9.6%	3.03%	9.21%	19.99%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	138	32	8	20	15	2	0	1	6	3	7	4	0	1	3	2	6	1	1	2	3	1	5	7	2	0	5	1					
		2.20%	2.49%	1.87%	2.11%	2.52%	2.19%	0.0%	1.78%	2.39%	3.84%	4.69%	5.40%	0.0%	1.06%	1.97%	1.86%	2.48%	0.99%	1.14%	1.55%	1.93%	1.58%	1.42%	3.58%	0.8%	0.0%	3.54%	2.85%					
37	"20. ""Политическая партия ""Единая Россия"""	2296	410	171	383	247	19	17	21	106	33	37	30	28	28	44	35	84	39	29	57	45	20	109	47	131	33	87	6					
		36.74%	31.93%	40.14%	40.44%	41.65%	20.87%	26.56%	37.49%	42.23%	42.30%	24.83%	40.54%	41.17%	29.78%	28.94%	32.71%	34.85%	38.61%	33.33%	44.18%	29.03%	31.74%	31.05%	24.10%	52.4%	50.0%	61.70%	17.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	3	0	4	1	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	2	0	0	0	0	0	0	0					
		0.24%	0.23%	0.0%	0.42%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.93%	0.0%	2.97%	0.0%	0.0%	1.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	14	6	1	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0					
		0.22%	0.46%	0.23%	0.31%	0.16%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1057	305	72	132	61	30	8	10	24	3	22	12	6	15	33	14	56	20	20	9	36	5	66	52	22	10	6	8					
		16.91%	23.75%	16.90%	13.93%	10.28%	32.96%	12.5%	17.85%	9.56%	3.84%	14.76%	16.21%	8.82%	15.95%	21.71%	13.08%	23.23%	19.80%	22.98%	6.97%	23.22%	7.93%	18.80%	26.66%	8.8%	15.15%	4.25%	22.85%					
																																		
41	Против всех	242	70	20	30	26	2	6	1	5	2	3	3	1	3	7	3	6	4	6	4	10	2	7	1	6	2	8	4					
		3.87%	5.45%	4.69%	3.16%	4.38%	2.19%	9.37%	1.78%	1.99%	2.56%	2.01%	4.05%	1.47%	3.19%	4.60%	2.80%	2.48%	3.96%	6.89%	3.10%	6.45%	3.17%	1.99%	0.51%	2.4%	3.03%	5.67%	11.42%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
