Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Район Вешняки																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №3080	УИК №5013	УИК №5014	УИК №5025	УИК №5026	УИК №5027	УИК №5126	УИК №5127	УИК №5192	УИК №5194	УИК №5207	УИК №5208	УИК №5219	УИК №5220	УИК №5223	УИК №5242	УИК №5258	УИК №5283	УИК №5284	УИК №5285	УИК №5286	УИК №5296	УИК №5307	УИК №5322	УИК №5323	УИК №5325	УИК №5326	УИК №5327	УИК №5328	УИК №5329	УИК №5330					
1	"Число избирателей, внесенных в списки"	88805	2631	2237	2506	2571	2629	2112	2379	2026	2633	2477	2458	2617	2659	2330	2843	2495	2492	2285	2024	2237	2398	2622	2162	2167	1683	2480	2628	2746	2459	2664	2633	1914	2001	2152	983	183	23	208	8	76	285	171	107	100	120	73	87	23	312	165	1381	57	737	189	15	344	60	425	43	395	59	30	46	697	53					
2	"Число бюллетеней, полученных участковыми комиссиями"	119100	2600	2100	2500	2500	2500	2000	2200	2000	2500	2500	2300	2500	2500	2200	2600	2500	2300	2100	2000	2100	2200	2500	2100	2000	1500	2300	2500	2500	2500	2500	2500	1700	1800	2000	1000	200	65	185	15	80	1000	1500	115	90	120	120	80	55	300	150	18960	50	7000	1000	50	350	65	1300	100	1860	100	70	270	4250	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	52206	1529	1242	1372	1365	1415	1127	1305	1132	1514	1367	1382	1542	1397	1344	1564	1381	1378	1392	1198	1340	1334	1525	1170	1276	920	1371	1503	1647	1394	1553	1602	1065	1156	1110	953	175	23	166	8	76	252	169	80	73	120	72	79	23	160	140	1368	49	715	188	14	102	52	301	43	395	55	30	38	322	53					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1524	33	28	18	43	42	16	32	48	30	37	31	20	41	21	44	51	228	35	38	28	45	27	14	27	21	39	37	38	35	36	26	50	30	22	0	0	0	10	0	0	0	0	27	11	0	0	0	0	0	0	13	0	2	0	0	10	0	124	0	0	4	0	8	4	0					
6	Число погашенных бюллетеней	65370	1038	830	1110	1092	1043	857	863	820	956	1096	887	938	1062	835	992	1068	694	673	764	732	821	948	916	697	559	890	960	815	1071	911	872	585	614	868	47	25	42	9	7	4	748	1331	8	6	0	48	1	32	140	10	17579	1	6283	812	36	238	13	875	57	1465	41	40	224	3924	1447					
7	Число бюллетеней в переносных ящиках для голосования	1524	33	28	18	43	42	16	32	48	30	37	31	20	41	21	44	51	228	35	38	28	45	27	14	27	21	39	37	38	35	36	26	50	30	22	0	0	0	10	0	0	0	0	27	11	0	0	0	0	0	0	13	0	2	0	0	10	0	124	0	0	4	0	8	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	52001	1526	1242	1372	1363	1410	1099	1285	1132	1509	1367	1374	1542	1356	1343	1564	1381	1378	1386	1160	1340	1334	1525	1170	1276	905	1371	1499	1643	1394	1553	1597	1065	1141	1110	950	175	23	166	8	76	252	168	80	73	120	72	79	23	160	140	1367	49	715	188	14	102	52	301	43	395	55	30	38	322	53					
9	Число недействительных бюллетеней	576	22	8	53	6	18	6	19	17	0	12	15	5	13	9	14	16	21	22	23	14	14	27	18	9	8	13	15	12	22	17	21	15	11	20	19	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	6	1	0	0	0	2	0	3	0	0	0	3	2					
10	Число действительных бюллетеней	52949	1537	1262	1337	1400	1434	1109	1298	1163	1539	1392	1390	1557	1384	1355	1594	1416	1585	1399	1175	1354	1365	1525	1166	1294	918	1397	1521	1669	1407	1572	1602	1100	1160	1112	931	173	23	176	8	76	250	168	107	84	120	72	79	23	160	140	1379	49	711	187	14	112	52	423	43	392	59	30	46	323	51					
