Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Нолинская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16600	1603	1829	1774	1815	1646	881	615	250	426	151	1470	118	788	621	156	231	297	692	699	145	279	114									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16865	1682	1814	1828	1818	1677	883	621	225	447	139	1473	141	785	601	172	270	302	717	705	165	280	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6419	584	683	812	867	604	306	183	91	129	49	470	43	276	226	73	82	115	274	293	60	128	71									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	919	22	37	43	23	79	89	73	12	41	10	112	5	73	90	11	39	15	75	43	9	10	8									
6	Число погашенных избирательных бюллетеней	9527	1076	1094	973	928	994	488	365	122	277	80	891	93	436	285	88	149	172	368	369	96	142	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	919	22	37	43	23	79	89	73	12	41	10	112	5	73	90	11	39	15	75	43	9	10	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6417	584	683	810	867	604	306	183	91	129	49	470	43	276	226	73	82	115	274	293	60	128	71									
9	Число недействительных избирательных бюллетеней	156	17	21	12	15	21	13	6	0	2	0	14	0	3	5	1	2	2	10	7	0	2	3									
10	Число действительных избирательных бюллетеней	7180	589	699	841	875	662	382	250	103	168	59	568	48	346	311	83	119	128	339	329	69	136	76									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	458	70	25	70	50	20	10	10	10	15	10	20	13	15	15	10	15	10	20	20	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	116	10	6	12	10	7	1	3	0	3	0	9	13	1	3	3	4	6	10	2	5	2	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	59	8	5	2	2	8	0	3	1	2	1	2	4	3	0	3	1	1	1	1	3	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	342	60	19	58	40	13	9	7	10	12	10	11	0	14	12	7	11	4	10	18	5	8	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	3	2	1	3	0	0	0	1	0	0	1	0	1	0	0	0	0	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	76	10	7	11	8	5	5	1	2	0	1	10	0	8	3	0	2	1	2	0	0	0	0									
		1.04%	1.65%	0.97%	1.29%	0.90%	0.73%	1.27%	0.39%	1.94%	0.00%	1.69%	1.72%	0.00%	2.29%	0.95%	0.00%	1.65%	0.77%	0.57%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	213	11	21	19	26	25	12	4	0	5	4	32	0	10	6	1	6	7	7	9	2	3	3									
		2.90%	1.82%	2.92%	2.23%	2.92%	3.66%	3.04%	1.56%	0.00%	2.94%	6.78%	5.50%	0.00%	2.87%	1.90%	1.19%	4.96%	5.38%	2.01%	2.68%	2.90%	2.17%	3.80%									
