Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Калганская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555					
1	"Число избирателей, внесенных в списки избирателей"	6942	488	215	624	851	2687	142	591	399	348	399	198					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7032	500	212	636	855	2705	147	615	405	356	398	203					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4327	424	142	351	606	1396	120	368	255	215	322	128					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	461	0	12	68	54	186	12	48	27	20	12	22					
6	Число погашенных избирательных бюллетеней	2244	76	58	217	195	1123	15	199	123	121	64	53					
7	Число избирательных бюллетеней в переносных ящиках для голосования	461	0	12	68	54	186	12	48	27	20	12	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4327	424	142	351	606	1396	120	368	255	215	322	128					
9	Число недействительных избирательных бюллетеней	59	0	2	10	3	8	2	2	4	5	19	4					
10	Число действительных избирательных бюллетеней	4729	424	152	409	657	1574	130	414	278	230	315	146					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	297	20	8	28	36	115	6	27	16	15	18	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	96	10	1	13	13	33	2	16	3	4	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	36	5	1	5	5	11	1	1	1	4	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	201	10	7	15	23	82	4	11	13	11	18	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	3	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	231	24	52	17	4	63	10	22	7	17	14	1					
		4.82%	5.66%	33.77%	4.06%	0.61%	3.98%	7.58%	5.29%	2.48%	7.23%	4.19%	0.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	0	1	0	0	2	5	1	0	1	0	1					
		0.23%	0.00%	0.65%	0.00%	0.00%	0.13%	3.79%	0.24%	0.00%	0.43%	0.00%	0.67%					
20	3.Политическая партия «Демократическая партия России»	4	0	0	0	0	1	2	0	0	0	1	0					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.06%	1.52%	0.00%	0.00%	0.00%	0.30%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	370	18	1	40	48	158	14	23	27	8	20	13					
		7.73%	4.25%	0.65%	9.55%	7.27%	9.99%	10.61%	5.53%	9.57%	3.40%	5.99%	8.67%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	10	2	0	0	5	0	0	1	2	0	0	0					
		0.21%	0.47%	0.00%	0.00%	0.76%	0.00%	0.00%	0.24%	0.71%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	1	0	1	4	0	0	0	0	1	0					
		0.15%	0.00%	0.65%	0.00%	0.15%	0.25%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1082	107	16	76	221	388	40	80	52	25	53	24					
		22.60%	25.24%	10.39%	18.14%	33.48%	24.53%	30.30%	19.23%	18.44%	10.64%	15.87%	16.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	210	15	3	9	26	82	13	16	12	7	24	3					
		4.39%	3.54%	1.95%	2.15%	3.94%	5.18%	9.85%	3.85%	4.26%	2.98%	7.19%	2.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	56	5	4	1	12	19	3	3	1	2	5	1					
		1.17%	1.18%	2.60%	0.24%	1.82%	1.20%	2.27%	0.72%	0.35%	0.85%	1.50%	0.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2739	253	73	266	337	854	43	267	177	170	196	103					
		57.21%	59.67%	47.40%	63.48%	51.06%	53.98%	32.58%	64.18%	62.77%	72.34%	58.68%	68.67%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	9	0	1	0	3	3	0	1	0	0	1	0					
		0.19%	0.00%	0.65%	0.00%	0.45%	0.19%	0.00%	0.24%	0.00%	0.00%	0.30%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
