Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Кумертауская городская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	50638	1074	1296	2525	2451	2473	2012	2335	1028	1600	1551	1421	2218	2623	2352	2303	1287	1733	2232	2578	2876	2528	2243	1036	1875	980	2008									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50370	1050	1300	2500	2400	2450	2000	2300	1100	1600	1500	1400	2200	2600	2350	2300	1420	1700	2200	2600	2850	2550	2200	1000	1800	1050	1950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28036	496	610	1879	980	1745	767	941	440	720	928	690	782	1054	829	1015	599	909	1597	1944	1887	1829	1714	748	1094	348	1491									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	785	15	10	15	16	110	11	22	52	22	2	25	45	28	15	22	22	84	87	11	9	17	11	39	18	61	16									
6	Число погашенных избирательных бюллетеней	21549	539	680	606	1404	595	1222	1337	608	858	570	685	1373	1518	1506	1263	799	707	516	645	954	704	475	213	688	641	443									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	785	15	10	15	16	110	11	22	52	22	2	25	45	28	15	22	22	84	87	11	9	17	11	39	18	61	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28013	496	610	1879	980	1745	767	941	440	720	928	690	782	1054	829	993	599	909	1597	1944	1886	1829	1714	748	1094	348	1491									
9	Число недействительных избирательных бюллетеней	470	27	21	21	34	0	10	46	7	12	2	3	31	32	19	67	11	23	5	3	39	2	8	3	24	16	4									
10	Число действительных избирательных бюллетеней	28328	484	599	1873	962	1855	768	917	485	730	928	712	796	1050	825	948	610	970	1679	1952	1856	1844	1717	784	1088	393	1503									
