Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Киришская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №960									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52111	2246	2776	1760	2038	1845	2369	2050	2172	2128	2693	2123	2138	1928	2136	2270	2089	1987	2110	2060	2189	1029	802	1614	206	1028	897	156	141	1954	407	657	113									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47770	2000	2000	1500	2000	1600	2000	2000	2000	2000	2000	2000	2000	1600	2000	2000	2000	2000	2000	2000	2000	1000	800	1600	200	1000	900	170	150	2000	400	600	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21348	955	1493	763	843	719	1021	832	980	908	1254	896	875	760	750	941	827	710	685	863	840	361	226	634	64	418	357	87	56	751	103	316	60									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	901	2	1	8	14	7	12	20	4	13	17	26	13	4	12	8	24	19	19	18	11	50	63	139	39	91	41	12	16	82	62	32	22									
6	Число погашенных избирательных бюллетеней	25521	1043	506	729	1143	874	967	1148	1016	1079	729	1078	1112	836	1238	1051	1149	1271	1296	1119	1149	589	511	827	97	491	502	71	78	1167	235	252	168									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	901	2	1	8	14	7	12	20	4	13	17	26	13	4	12	8	24	19	19	18	11	50	63	139	39	91	41	12	16	82	62	32	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21332	953	1493	763	843	719	1018	830	980	908	1254	896	875	759	750	939	826	710	685	860	838	361	226	634	64	418	357	87	56	751	103	316	60									
9	Число недействительных избирательных бюллетеней	629	22	31	15	22	15	11	13	21	33	28	14	32	25	26	30	30	12	33	23	16	21	11	39	2	9	10	6	1	48	10	18	2									
10	Число действительных избирательных бюллетеней	21604	933	1463	756	835	711	1019	837	963	888	1243	908	856	738	736	917	820	717	671	855	833	390	278	734	101	500	388	93	71	785	155	330	80									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	700	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	15	30	15	10	10	25	10	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	323	13	22	5	10	10	16	11	14	12	12	16	9	11	6	19	8	2	16	9	7	7	4	20	0	30	14	0	0	17	1	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	249	7	10	9	2	0	6	2	4	7	10	16	4	11	3	6	15	1	1	6	5	10	15	24	14	14	5	7	12	5	8	9	1									
14	Число погашенных неиспользованных открепительных удостоверений	377	12	3	20	15	15	9	14	11	13	13	9	16	14	19	6	17	23	9	16	18	18	21	5	15	0	1	10	10	8	9	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	6	15	7	6	0	4	1	1	4	6	2	3	2	1	2	1	1	1	3	0	0	0	2	0	2	1	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	417	16	41	19	15	8	20	18	15	9	29	21	17	16	18	28	16	11	11	19	10	3	5	20	1	3	8	3	0	9	2	5	1									
		1.88%	1.68%	2.74%	2.46%	1.75%	1.10%	1.94%	2.12%	1.52%	0.98%	2.28%	2.28%	1.91%	2.10%	2.36%	2.96%	1.88%	1.51%	1.56%	2.16%	1.18%	0.73%	1.73%	2.59%	0.97%	0.59%	2.01%	3.03%	0.00%	1.08%	1.21%	1.44%	1.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	576	21	26	20	14	16	16	20	23	22	29	35	22	25	20	21	12	20	20	29	18	16	11	34	2	24	5	5	3	27	5	14	1									
		2.59%	2.20%	1.74%	2.59%	1.63%	2.20%	1.55%	2.35%	2.34%	2.39%	2.28%	3.80%	2.48%	3.28%	2.62%	2.22%	1.41%	2.74%	2.84%	3.30%	2.12%	3.89%	3.81%	4.40%	1.94%	4.72%	1.26%	5.05%	4.17%	3.24%	3.03%	4.02%	1.22%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	581	28	29	31	31	18	27	20	43	26	22	15	30	13	13	31	22	10	15	26	16	10	4	24	2	17	19	2	3	16	7	9	2									
		2.61%	2.93%	1.94%	4.02%	3.62%	2.48%	2.62%	2.35%	4.37%	2.82%	1.73%	1.63%	3.38%	1.70%	1.71%	3.27%	2.59%	1.37%	2.13%	2.96%	1.88%	2.43%	1.38%	3.10%	1.94%	3.34%	4.77%	2.02%	4.17%	1.92%	4.24%	2.59%	2.44%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9417	401	702	317	344	291	470	351	402	364	531	376	350	316	316	334	318	312	270	365	345	179	128	314	53	244	200	47	28	437	82	195	35									
		42.36%	41.99%	46.99%	41.12%	40.14%	40.08%	45.63%	41.29%	40.85%	39.52%	41.78%	40.78%	39.41%	41.42%	41.47%	35.27%	37.41%	42.80%	38.35%	41.57%	40.64%	43.55%	44.29%	40.62%	51.46%	47.94%	50.25%	47.47%	38.89%	52.46%	49.70%	56.03%	42.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	213	2	17	10	8	6	11	8	8	11	13	8	10	9	6	6	7	8	6	8	8	2	1	13	5	4	1	2	1	10	1	2	1									
		0.96%	0.21%	1.14%	1.30%	0.93%	0.83%	1.07%	0.94%	0.81%	1.19%	1.02%	0.87%	1.13%	1.18%	0.79%	0.63%	0.82%	1.10%	0.85%	0.91%	0.94%	0.49%	0.35%	1.68%	4.85%	0.79%	0.25%	2.02%	1.39%	1.20%	0.61%	0.57%	1.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	98	4	5	3	8	2	2	9	3	1	9	1	5	6	4	2	4	4	1	2	5	0	1	7	0	3	0	0	4	3	0	0	0									
		0.44%	0.42%	0.33%	0.39%	0.93%	0.28%	0.19%	1.06%	0.30%	0.11%	0.71%	0.11%	0.56%	0.79%	0.52%	0.21%	0.47%	0.55%	0.14%	0.23%	0.59%	0.00%	0.35%	0.91%	0.00%	0.59%	0.00%	0.00%	5.56%	0.36%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3023	133	199	83	96	107	107	104	131	113	170	125	141	81	101	113	140	109	103	113	114	83	38	121	12	85	83	14	10	111	28	43	12									
		13.60%	13.93%	13.32%	10.77%	11.20%	14.74%	10.39%	12.24%	13.31%	12.27%	13.38%	13.56%	15.88%	10.62%	13.25%	11.93%	16.47%	14.95%	14.63%	12.87%	13.43%	20.19%	13.15%	15.65%	11.65%	16.70%	20.85%	14.14%	13.89%	13.33%	16.97%	12.36%	14.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	227	5	25	9	6	7	9	15	11	14	19	5	9	7	10	10	10	6	8	6	11	1	2	6	0	6	4	0	0	1	0	3	2									
		1.02%	0.52%	1.67%	1.17%	0.70%	0.96%	0.87%	1.76%	1.12%	1.52%	1.49%	0.54%	1.01%	0.92%	1.31%	1.06%	1.18%	0.82%	1.14%	0.68%	1.30%	0.24%	0.69%	0.78%	0.00%	1.18%	1.01%	0.00%	0.00%	0.12%	0.00%	0.86%	2.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	530	28	32	22	22	14	36	25	24	26	38	26	32	23	12	32	17	15	24	16	27	3	3	9	1	5	2	1	2	10	1	1	1									
