Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Каневская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	74575	1963	2555	2194	1800	1769	2420	3042	2221	1672	2604	2927	503	490	1201	442	1083	1566	1615	208	109	289	2028	2229	2046	1490	2389	2222	229	1169	266	1238	1110	2252	1937	720	310	311	1327	949	1202	2666	2190	232	290	220	1536	1251	2033	800	648	1113	1771	1728									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74750	1940	2550	2200	1700	1750	2450	3000	2200	1650	2600	2900	500	490	1200	440	1070	1570	1600	200	110	280	2000	2250	2050	1500	2350	2200	230	1180	260	1270	1100	2300	1900	750	350	350	1340	1180	1200	2650	2200	230	280	240	1550	1250	2000	800	640	1100	1950	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48028	1065	1408	1170	931	1066	1543	1819	1422	1022	1401	1919	385	339	831	326	877	866	888	130	83	262	1441	1438	1300	976	1697	1590	216	850	199	856	888	1752	1359	469	215	196	952	403	823	1558	1269	144	235	160	1074	707	1376	421	386	683	1338	1304									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4602	179	254	132	140	135	103	59	107	100	131	185	41	41	71	44	33	108	98	6	8	10	92	173	198	110	96	80	3	49	4	82	25	92	159	100	46	44	93	76	60	141	190	13	11	23	91	93	83	90	80	118	42	60									
6	Число погашенных избирательных бюллетеней	22120	696	888	898	629	549	804	1122	671	528	1068	796	74	110	298	70	160	596	614	64	19	8	467	639	552	414	557	530	11	281	57	332	187	456	382	181	89	110	295	701	317	951	741	73	34	57	385	450	541	289	174	299	570	336									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4602	179	254	132	140	135	103	59	107	100	131	185	41	41	71	44	33	108	98	6	8	10	92	173	198	110	96	80	3	49	4	82	25	92	159	100	46	44	93	76	60	141	190	13	11	23	91	93	83	90	80	118	42	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	47980	1065	1408	1170	927	1066	1543	1819	1422	1022	1401	1919	344	339	831	326	877	866	888	130	83	262	1441	1438	1300	976	1697	1590	216	850	199	856	888	1752	1359	469	215	196	952	403	823	1558	1269	144	235	160	1072	707	1375	421	386	683	1338	1304									
9	Число недействительных избирательных бюллетеней	663	14	10	6	12	9	21	12	4	13	12	101	1	8	9	9	12	13	12	0	0	0	0	24	12	33	28	29	0	10	4	90	15	0	0	11	1	0	29	0	4	16	3	1	0	8	10	9	18	5	3	7	15	0									
10	Число действительных избирательных бюллетеней	51919	1230	1652	1296	1055	1192	1625	1866	1525	1109	1520	2003	384	372	893	361	898	961	974	136	91	272	1533	1587	1486	1053	1765	1641	219	889	199	848	898	1844	1518	558	260	240	1016	479	879	1683	1456	156	246	175	1153	791	1440	506	463	794	1365	1364									
