Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
"Наименование Избирательной комиссии:    Бийск, Восточная"																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320					
1	"Число избирателей, внесенных в список избирателей"	89361	2091	1758	889	858	1705	1977	1695	1575	1330	1409	1059	2322	2400	1305	1544	1998	1630	2137	1738	1991	2233	1366	2021	1610	1826	1890	1346	1724	1520	2523	1465	1471	936	1637	1590	1140	1150	1722	1425	1536	1761	1959	1636	1804	1264	1349	2364	2533	2432	2008	1438	2536	735					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86100	2050	1650	800	800	1700	1950	1650	1500	1300	1400	1000	2300	2000	1300	1500	2000	1600	2100	1700	1950	2200	1100	2000	1600	1800	1850	1300	1700	1500	2500	1300	1450	900	1600	1550	1100	1100	1700	1400	1500	1700	1900	1600	1400	1100	1300	2300	2500	2350	1950	1400	2500	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	41795	792	730	246	245	723	1013	802	821	618	783	475	1035	709	719	857	1017	817	1124	909	1063	793	972	1102	882	619	905	548	808	889	1112	820	763	407	619	667	520	499	711	640	715	716	856	670	724	604	583	1257	1316	1210	744	631	1420	575					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2634	62	69	14	15	38	36	46	22	40	40	14	67	382	43	34	37	39	58	60	17	34	1	42	38	31	54	35	44	42	32	95	24	41	43	40	44	29	42	43	41	34	25	46	121	36	29	48	66	211	33	38	17	2					
6	Число погашенных избирательных бюллетеней	41671	1196	851	540	540	939	901	802	657	642	577	511	1198	909	538	609	946	744	918	731	870	1373	127	856	680	1150	891	717	848	569	1356	385	663	452	938	843	536	572	947	717	744	950	1019	884	555	460	688	995	1118	929	1173	731	1063	123					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2634	62	69	14	15	38	36	46	22	40	40	14	67	382	43	34	37	39	58	60	17	34	1	42	38	31	54	35	44	42	32	95	24	41	43	40	44	29	42	43	41	34	25	46	121	36	29	48	66	211	33	38	17	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41789	792	730	246	245	723	1012	802	821	618	782	475	1035	709	719	857	1016	817	1124	909	1063	793	972	1102	882	619	905	548	808	889	1110	820	763	407	619	666	520	499	711	640	715	716	856	670	724	604	583	1257	1316	1210	744	631	1420	575					
9	Число недействительных избирательных бюллетеней	818	5	11	10	6	25	18	15	15	11	16	11	20	59	13	19	0	13	24	22	15	13	14	26	13	16	7	11	11	17	20	18	14	6	10	10	3	13	17	12	16	22	11	15	11	18	12	21	34	33	8	14	22	2					
10	Число действительных избирательных бюллетеней	43605	849	788	250	254	736	1030	833	828	647	806	478	1082	1032	749	872	1053	843	1158	947	1065	814	959	1118	907	634	952	572	841	914	1122	897	773	442	652	696	561	515	736	671	740	728	870	701	834	622	600	1284	1348	1388	769	655	1415	575					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	968	22	18	9	9	18	26	21	16	14	17	15	24	22	19	18	28	17	30	21	20	23	10	21	16	19	20	20	23	16	25	14	15	10	17	16	12	12	18	14	16	18	20	17	15	17	15	24	27	24	20	15	26	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	781	15	16	5	6	18	24	17	13	14	17	11	22	16	15	16	25	16	26	20	19	14	7	20	13	14	19	18	22	15	24	13	11	8	13	9	11	5	17	14	13	7	15	11	7	9	10	20	23	22	10	9	25	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	880	9	12	17	8	12	16	19	9	140	19	3	9	22	13	9	14	6	14	13	8	6	190	14	10	8	11	11	17	13	17	16	11	6	7	2	8	9	7	7	10	2	12	4	23	2	6	12	2	12	10	13	18	12					
14	Число погашенных неиспользованных открепительных удостоверений	187	7	2	4	3	0	2	4	3	0	0	4	2	6	4	2	3	1	4	1	1	9	3	1	3	5	1	2	1	1	1	1	4	2	4	7	1	7	1	0	3	11	5	6	8	8	5	4	4	2	10	6	1	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6278	50	126	33	29	99	164	120	125	93	147	100	145	107	149	142	173	99	224	149	173	89	84	191	180	67	133	67	133	118	194	145	122	50	114	95	88	75	97	78	84	98	101	105	137	76	78	179	215	199	114	61	230	34					
		14.13%	5.85%	15.77%	12.69%	11.15%	13.01%	15.65%	14.15%	14.83%	14.13%	17.88%	20.45%	13.16%	9.81%	19.55%	15.94%	16.43%	11.57%	18.95%	15.38%	16.02%	10.76%	8.63%	16.70%	19.57%	10.31%	13.87%	11.49%	15.61%	12.67%	16.99%	15.85%	15.50%	11.16%	17.22%	13.46%	15.60%	14.20%	12.88%	11.42%	11.11%	13.07%	11.46%	14.66%	16.21%	11.88%	12.75%	13.72%	15.56%	14.00%	14.67%	9.12%	16.01%	5.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7661	108	86	41	46	108	196	155	125	101	108	76	177	345	97	137	184	102	172	125	221	128	176	181	163	93	124	119	129	170	194	107	140	77	109	129	112	82	86	134	172	140	206	121	157	158	113	267	270	239	156	111	258	130					
		17.25%	12.65%	10.76%	15.77%	17.69%	14.19%	18.70%	18.28%	14.83%	15.35%	13.14%	15.54%	16.06%	31.62%	12.73%	15.38%	17.47%	11.92%	14.55%	12.90%	20.46%	15.48%	18.09%	15.82%	17.72%	14.31%	12.93%	20.41%	15.14%	18.26%	16.99%	11.69%	17.79%	17.19%	16.47%	18.27%	19.86%	15.53%	11.42%	19.62%	22.75%	18.67%	23.38%	16.90%	18.58%	24.69%	18.46%	20.46%	19.54%	16.82%	20.08%	16.59%	17.95%	22.53%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	295	2	4	3	0	4	11	4	8	2	7	4	7	4	5	8	8	9	6	6	8	4	8	8	5	2	3	4	5	8	11	2	5	4	3	4	2	3	4	3	5	6	6	2	10	4	4	9	13	17	2	1	16	2					
		0.66%	0.23%	0.50%	1.15%	0.00%	0.53%	1.05%	0.47%	0.95%	0.30%	0.85%	0.82%	0.64%	0.37%	0.66%	0.90%	0.76%	1.05%	0.51%	0.62%	0.74%	0.48%	0.82%	0.70%	0.54%	0.31%	0.31%	0.69%	0.59%	0.86%	0.96%	0.22%	0.64%	0.89%	0.45%	0.57%	0.35%	0.57%	0.53%	0.44%	0.66%	0.80%	0.68%	0.28%	1.18%	0.63%	0.65%	0.69%	0.94%	1.20%	0.26%	0.15%	1.11%	0.35%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	10462	122	90	36	45	164	256	239	213	173	270	133	226	213	237	262	291	221	343	273	277	135	188	292	217	94	260	165	228	222	302	275	247	78	149	156	121	108	149	156	170	170	173	186	197	113	147	316	327	320	163	155	363	36					
		23.55%	14.29%	11.26%	13.85%	17.31%	21.55%	24.43%	28.18%	25.27%	26.29%	32.85%	27.20%	20.51%	19.52%	31.10%	29.41%	27.64%	25.82%	29.02%	28.17%	25.65%	16.32%	19.32%	25.52%	23.59%	14.46%	27.11%	28.30%	26.76%	23.85%	26.44%	30.05%	31.39%	17.41%	22.51%	22.10%	21.45%	20.45%	19.79%	22.84%	22.49%	22.67%	19.64%	25.98%	23.31%	17.66%	24.02%	24.21%	23.66%	22.52%	20.98%	23.17%	25.26%	6.24%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1270	7	30	3	0	14	42	33	28	34	34	22	25	11	38	31	40	24	42	33	30	16	20	41	25	4	22	18	43	38	29	41	20	13	12	26	15	16	12	30	18	20	26	13	8	7	8	37	27	35	16	14	75	4					
		2.86%	0.82%	3.75%	1.15%	0.00%	1.84%	4.01%	3.89%	3.32%	5.17%	4.14%	4.50%	2.27%	1.01%	4.99%	3.48%	3.80%	2.80%	3.55%	3.41%	2.78%	1.93%	2.06%	3.58%	2.72%	0.62%	2.29%	3.09%	5.05%	4.08%	2.54%	4.48%	2.54%	2.90%	1.81%	3.68%	2.66%	3.03%	1.59%	4.39%	2.38%	2.67%	2.95%	1.82%	0.95%	1.09%	1.31%	2.84%	1.95%	2.46%	2.06%	2.09%	5.22%	0.69%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17478	558	449	133	133	344	359	280	327	241	238	142	499	349	219	288	352	382	371	356	349	437	477	402	310	368	408	196	300	354	391	322	236	220	264	285	222	230	384	269	289	294	354	274	323	258	248	473	491	574	317	308	464	367					
		39.34%	65.34%	56.20%	51.15%	51.15%	45.20%	34.26%	33.02%	38.79%	36.63%	28.95%	29.04%	45.28%	31.99%	28.74%	32.32%	33.43%	44.63%	31.39%	36.74%	32.31%	52.84%	49.02%	35.14%	33.70%	56.62%	42.54%	33.62%	35.21%	38.02%	34.24%	35.19%	29.99%	49.11%	39.88%	40.37%	39.36%	43.56%	50.99%	39.39%	38.23%	39.20%	40.18%	38.27%	38.22%	40.31%	40.52%	36.25%	35.53%	40.39%	40.80%	46.04%	32.29%	63.60%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	161	2	3	1	1	3	2	2	2	3	2	1	3	3	4	4	5	6	0	5	7	5	6	3	7	6	2	3	3	4	1	5	3	0	1	1	1	1	4	1	2	0	4	0	2	6	2	3	5	4	1	5	9	2					
		0.36%	0.23%	0.38%	0.38%	0.38%	0.39%	0.19%	0.24%	0.24%	0.46%	0.24%	0.20%	0.27%	0.27%	0.52%	0.45%	0.47%	0.70%	0.00%	0.52%	0.65%	0.60%	0.62%	0.26%	0.76%	0.92%	0.21%	0.51%	0.35%	0.43%	0.09%	0.55%	0.38%	0.00%	0.15%	0.14%	0.18%	0.19%	0.53%	0.15%	0.26%	0.00%	0.45%	0.00%	0.24%	0.94%	0.33%	0.23%	0.36%	0.28%	0.13%	0.75%	0.63%	0.35%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
