Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Лебедянская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677					
1	"Число избирателей, внесенных в списки избирателей"	36199	1510	1617	1903	1417	1678	1530	1331	1951	1706	1504	1512	881	2662	199	545	203	1805	304	244	172	209	709	488	342	203	163	214	226	245	139	414	272	472	795	223	94	216	310	227	628	967	261	433	176	163	327	1812	573	224					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34430	1500	1500	1800	1350	1450	1450	1250	1850	1600	1450	1450	880	2500	190	540	200	1600	300	240	170	200	700	480	340	200	160	200	230	250	140	400	270	440	770	200	90	200	300	220	620	950	250	430	170	160	300	1700	570	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20418	826	1004	1026	826	976	755	686	1076	1003	860	865	464	1281	79	265	112	963	151	171	102	155	432	306	204	152	133	161	117	153	117	239	157	281	342	124	48	104	246	152	348	620	145	249	114	80	212	994	378	164					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2490	48	35	38	22	22	112	61	33	26	33	39	68	143	67	114	40	149	82	37	37	31	87	52	47	13	14	13	44	32	5	64	23	20	267	43	12	34	20	37	49	18	31	47	24	36	29	125	54	13					
6	Число погашенных избирательных бюллетеней	11522	626	461	736	502	452	583	503	741	571	557	546	348	1076	44	161	48	488	67	32	31	14	181	122	89	35	13	26	69	65	18	97	90	139	161	33	30	62	34	31	223	312	74	134	32	44	59	581	138	43					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2490	48	35	38	22	22	112	61	33	26	33	39	68	143	67	114	40	149	82	37	37	31	87	52	47	13	14	13	44	32	5	64	23	20	267	43	12	34	20	37	49	18	31	47	24	36	29	125	54	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20418	826	1004	1026	826	976	755	686	1076	1003	860	865	464	1281	79	265	112	963	151	171	102	155	432	306	204	152	133	161	117	153	117	239	157	281	342	124	48	104	246	152	348	620	145	249	114	80	212	994	378	164					
9	Число недействительных избирательных бюллетеней	250	10	7	12	5	17	14	13	7	11	14	6	4	21	1	0	1	13	1	0	0	0	3	1	5	1	3	1	2	2	0	2	0	5	5	5	2	3	2	2	4	10	3	5	4	1	2	16	4	0					
10	Число действительных избирательных бюллетеней	22658	864	1032	1052	843	981	853	734	1102	1018	879	898	528	1403	145	379	151	1099	232	208	139	186	516	357	246	164	144	173	159	183	122	301	180	296	604	162	58	135	264	187	393	628	173	291	134	115	239	1103	428	177					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	450	32	15	15	15	10	5	10	15	20	15	15	5	20	5	10	5	15	4	3	3	3	6	3	10	8	13	6	10	9	3	3	14	4	15	3	3	4	14	9	4	5	4	4	4	3	8	30	8	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	360	32	15	15	11	7	2	7	13	12	12	15	2	17	1	9	3	15	0	1	2	0	6	3	10	7	13	6	10	9	3	3	13	0	4	2	0	1	13	9	4	5	3	4	0	3	4	28	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	346	15	9	5	3	133	3	6	8	15	4	9	1	11	0	2	0	6	1	2	4	1	1	4	1	6	3	1	3	1	1	7	4	9	7	6	3	3	9	4	2	5	4	4	2	2	3	10	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	90	0	0	0	4	3	3	3	2	8	3	0	3	3	4	1	2	0	4	2	1	3	0	0	0	1	0	0	0	0	0	0	1	4	11	1	3	3	1	0	0	0	1	0	4	0	4	2	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	1.Политическая партия «Аграрная партия России»	437	20	13	17	21	15	11	18	9	24	12	18	11	19	2	7	12	17	7	8	6	12	10	5	4	1	5	2	4	5	1	7	5	5	8	5	3	7	6	3	11	10	1	7	2	3	4	15	16	3					
		1.91%	2.29%	1.25%	1.60%	2.48%	1.50%	1.27%	2.41%	0.81%	2.33%	1.34%	1.99%	2.07%	1.33%	1.37%	1.85%	7.89%	1.53%	3.00%	3.85%	4.32%	6.45%	1.93%	1.40%	1.59%	0.61%	3.40%	1.15%	2.48%	2.70%	0.82%	2.31%	2.78%	1.66%	1.31%	2.99%	5.00%	5.07%	2.26%	1.59%	2.77%	1.57%	0.57%	2.36%	1.45%	2.59%	1.66%	1.34%	3.70%	1.69%					
19	2.Всероссийская политическая партия «Гражданская Сила»	118	8	9	6	4	6	6	6	2	3	3	9	0	7	1	0	0	4	0	0	1	1	0	0	0	1	0	0	1	0	1	1	2	3	6	0	0	1	1	0	2	6	0	5	1	0	3	7	1	0					
		0.52%	0.92%	0.87%	0.56%	0.47%	0.60%	0.69%	0.80%	0.18%	0.29%	0.34%	0.99%	0.00%	0.49%	0.68%	0.00%	0.00%	0.36%	0.00%	0.00%	0.72%	0.54%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.62%	0.00%	0.82%	0.33%	1.11%	0.99%	0.99%	0.00%	0.00%	0.72%	0.38%	0.00%	0.50%	0.94%	0.00%	1.69%	0.72%	0.00%	1.24%	0.63%	0.23%	0.00%					
20	3.Политическая партия «Демократическая партия России»	36	1	1	0	3	2	1	1	0	0	2	0	1	1	1	0	1	5	0	0	0	1	2	0	1	0	1	0	1	0	0	2	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0					
		0.16%	0.11%	0.10%	0.00%	0.35%	0.20%	0.12%	0.13%	0.00%	0.00%	0.22%	0.00%	0.19%	0.07%	0.68%	0.00%	0.66%	0.45%	0.00%	0.00%	0.00%	0.54%	0.39%	0.00%	0.40%	0.00%	0.68%	0.00%	0.62%	0.00%	0.00%	0.66%	0.00%	0.33%	0.49%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3118	150	177	176	155	147	95	95	182	179	205	145	103	172	7	51	27	174	18	33	14	20	24	23	18	8	17	17	22	15	10	37	11	18	79	15	9	16	12	17	68	101	15	14	27	4	19	134	40	3					
		13.61%	17.16%	17.04%	16.54%	18.28%	14.73%	10.96%	12.72%	16.41%	17.40%	22.96%	16.04%	19.36%	12.08%	4.79%	13.46%	17.76%	15.65%	7.73%	15.87%	10.07%	10.75%	4.62%	6.42%	7.17%	4.85%	11.56%	9.77%	13.66%	8.11%	8.20%	12.21%	6.11%	5.98%	12.97%	8.98%	15.00%	11.59%	4.51%	8.99%	17.13%	15.83%	8.52%	4.73%	19.57%	3.45%	7.88%	11.97%	9.26%	1.69%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	69	3	8	7	4	1	5	3	3	3	6	3	6	1	0	1	0	3	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	2	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0					
		0.30%	0.34%	0.77%	0.66%	0.47%	0.10%	0.58%	0.40%	0.27%	0.29%	0.67%	0.33%	1.13%	0.07%	0.00%	0.26%	0.00%	0.27%	0.00%	0.48%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.54%	0.82%	0.00%	0.00%	0.66%	0.00%	0.60%	0.00%	0.00%	0.00%	0.53%	0.00%	0.16%	0.00%	0.00%	0.72%	0.00%	0.00%	0.09%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	35	1	4	1	1	2	2	1	3	1	4	1	2	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	3	0	0					
		0.15%	0.11%	0.38%	0.09%	0.12%	0.20%	0.23%	0.13%	0.27%	0.10%	0.45%	0.11%	0.38%	0.14%	0.00%	0.53%	0.00%	0.09%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.16%	0.00%	0.34%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3211	99	171	150	117	165	159	133	160	128	108	113	100	220	22	58	17	110	40	29	11	22	77	68	26	29	18	23	11	38	18	57	19	41	49	22	6	23	35	37	57	105	29	34	20	20	33	123	47	14					
		14.02%	11.33%	16.46%	14.10%	13.80%	16.53%	18.34%	17.80%	14.43%	12.44%	12.09%	12.50%	18.80%	15.45%	15.07%	15.30%	11.18%	9.89%	17.17%	13.94%	7.91%	11.83%	14.84%	18.99%	10.36%	17.58%	12.24%	13.22%	6.83%	20.54%	14.75%	18.81%	10.56%	13.62%	8.05%	13.17%	10.00%	16.67%	13.16%	19.58%	14.36%	16.46%	16.48%	11.49%	14.49%	17.24%	13.69%	10.99%	10.88%	7.91%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1901	116	128	133	109	73	72	72	96	95	99	121	53	102	6	24	2	89	8	5	2	11	29	14	14	1	8	8	14	6	2	16	7	17	39	12	3	7	20	9	35	55	14	26	6	4	16	72	25	6					
		8.30%	13.27%	12.32%	12.50%	12.85%	7.31%	8.30%	9.64%	8.66%	9.23%	11.09%	13.38%	9.96%	7.16%	4.11%	6.33%	1.32%	8.00%	3.43%	2.40%	1.44%	5.91%	5.59%	3.91%	5.58%	0.61%	5.44%	4.60%	8.70%	3.24%	1.64%	5.28%	3.89%	5.65%	6.40%	7.19%	5.00%	5.07%	7.52%	4.76%	8.82%	8.62%	7.95%	8.78%	4.35%	3.45%	6.64%	6.43%	5.79%	3.39%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	244	12	22	8	8	14	9	6	17	11	14	10	3	24	1	3	0	10	1	0	0	1	1	2	4	1	2	0	1	1	0	0	0	3	3	3	0	1	5	1	4	7	1	3	1	1	5	18	2	0					
		1.07%	1.37%	2.12%	0.75%	0.94%	1.40%	1.04%	0.80%	1.53%	1.07%	1.57%	1.11%	0.56%	1.69%	0.68%	0.79%	0.00%	0.90%	0.43%	0.00%	0.00%	0.54%	0.19%	0.56%	1.59%	0.61%	1.36%	0.00%	0.62%	0.54%	0.00%	0.00%	0.00%	0.99%	0.49%	1.80%	0.00%	0.72%	1.88%	0.53%	1.01%	1.10%	0.57%	1.01%	0.72%	0.86%	2.07%	1.61%	0.46%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	13342	444	492	550	407	548	482	396	622	564	418	469	247	844	105	233	92	681	157	129	105	117	372	245	177	122	92	122	103	115	88	179	135	206	415	103	35	80	182	118	213	342	110	200	76	83	157	723	296	151					
		58.24%	50.80%	47.35%	51.69%	47.99%	54.91%	55.59%	53.01%	56.09%	54.81%	46.81%	51.88%	46.43%	59.27%	71.92%	61.48%	60.53%	61.24%	67.38%	62.02%	75.54%	62.90%	71.68%	68.44%	70.52%	73.94%	62.59%	70.11%	63.98%	62.16%	72.13%	59.08%	75.00%	68.44%	68.14%	61.68%	58.33%	57.97%	68.42%	62.43%	53.65%	53.61%	62.50%	67.57%	55.07%	71.55%	65.15%	64.61%	68.52%	85.31%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	147	10	7	4	14	8	11	3	8	10	8	9	2	11	0	0	0	5	1	2	0	1	0	0	2	1	1	1	1	2	1	2	1	0	2	0	2	0	2	1	3	0	2	1	0	0	2	5	1	0					
		0.64%	1.14%	0.67%	0.38%	1.65%	0.80%	1.27%	0.40%	0.72%	0.97%	0.90%	0.99%	0.38%	0.77%	0.00%	0.00%	0.00%	0.45%	0.43%	0.96%	0.00%	0.54%	0.00%	0.00%	0.80%	0.61%	0.68%	0.57%	0.62%	1.08%	0.82%	0.66%	0.56%	0.00%	0.33%	0.00%	3.33%	0.00%	0.75%	0.53%	0.76%	0.00%	1.14%	0.34%	0.00%	0.00%	0.83%	0.45%	0.23%	0.00%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
