Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Лебедянская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651					
1	"Число избирателей, внесенных в список избирателей"	36118	1449	1539	1602	1380	1850	2037	972	1476	1822	1879	1420	873	1517	970	443	300	505	657	957	262	581	233	396	231	317	234	202	809	244	423	184	737	484	335	109	240	1402	1289	308	258	1993	221	227	263	134	161	193					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34860	1400	1500	1600	1300	1800	2000	900	1400	1800	1900	1400	800	1500	900	400	300	500	600	900	250	500	200	400	200	300	200	200	800	250	400	180	700	400	300	100	200	1400	1200	300	250	2000	300	200	250	130	150	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17839	757	869	835	671	912	868	431	654	920	972	696	370	750	384	204	159	239	232	440	130	262	127	218	139	230	152	88	349	124	276	99	320	221	171	73	138	590	583	149	169	1077	177	107	140	84	116	167					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2551	115	28	24	46	63	103	44	90	30	56	39	68	114	155	51	7	16	77	36	30	51	22	32	15	21	28	29	153	38	44	33	151	80	44	16	30	65	88	59	30	149	44	46	31	22	22	16					
6	Число погашенных избирательных бюллетеней	14470	528	603	741	583	825	1029	425	656	850	872	665	362	636	361	145	134	245	291	424	90	187	51	150	46	49	20	83	298	88	80	48	229	99	85	11	32	745	529	92	51	774	79	47	79	24	12	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2551	115	28	24	46	63	103	44	90	30	56	39	68	114	155	51	7	16	77	36	30	51	22	32	15	21	28	29	153	38	44	33	151	80	44	16	30	65	88	59	30	149	44	46	31	22	22	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17834	757	869	835	671	912	868	431	654	920	972	696	369	747	384	204	159	239	232	440	130	262	127	218	139	230	152	88	349	124	276	99	320	221	171	73	138	589	583	149	169	1077	177	107	140	84	116	167					
9	Число недействительных избирательных бюллетеней	360	14	11	11	15	24	18	9	22	18	24	16	7	10	5	4	1	2	5	13	3	1	1	5	2	6	1	4	6	2	6	4	12	5	4	0	1	13	9	5	0	18	12	2	2	2	3	2					
10	Число действительных избирательных бюллетеней	20025	858	886	848	702	951	953	466	722	932	1004	719	430	851	534	251	165	253	304	463	157	312	148	245	152	245	179	113	496	160	314	128	459	296	211	89	167	641	662	203	199	1208	209	151	169	104	135	181					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	364	21	15	17	11	19	14	5	8	12	13	12	5	10	9	3	0	1	4	5	3	6	2	10	6	14	8	2	10	10	4	2	11	3	10	2	2	4	8	2	4	23	7	10	9	3	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	308	21	14	17	6	18	14	5	8	11	11	11	5	5	7	1	0	1	1	1	1	3	0	8	4	14	8	0	10	10	2	2	11	3	10	2	0	4	4	0	4	21	3	10	9	3	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	209	9	5	6	3	7	17	3	3	4	8	4	1	5	3	5	3	4	3	9	6	8	1	3	3	7	8	4	6	4	7	2	3	3	4	2	2	7	5	1	2	4	4	3	1	4	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	56	0	1	0	5	1	0	0	0	1	2	1	0	5	2	2	0	0	3	4	2	3	2	2	2	0	0	2	0	0	2	0	0	0	0	0	2	0	4	2	0	2	4	0	0	0	0	0					
