Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Мильковская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146					
1	"Число избирателей, внесенных в список избирателей"	7861	92	374	1461	1622	1620	1568	229	68	587	240					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8037	102	410	1460	1625	1600	1600	260	70	640	270					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3933	67	245	720	727	886	599	148	57	292	192					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	254	15	24	51	45	31	29	11	1	33	14					
6	Число погашенных избирательных бюллетеней	3850	20	141	689	853	683	972	101	12	315	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	254	15	24	51	45	31	29	11	1	33	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3929	67	245	716	727	886	599	148	57	292	192					
9	Число недействительных избирательных бюллетеней	83	2	8	20	16	11	14	7	1	4	0					
10	Число действительных избирательных бюллетеней	4100	80	261	747	756	906	614	152	57	321	206					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	87	5	10	8	11	10	14	8	3	10	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	48	0	0	4	10	7	12	5	1	7	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	1	0	1	4	10	0	3	1	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	39	5	10	4	1	3	2	3	2	3	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	1	0	1	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	424	11	11	73	91	95	65	2	8	41	27					
		10.14%	13.41%	4.09%	9.52%	11.79%	10.36%	10.35%	1.26%	13.79%	12.62%	13.11%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	749	11	52	140	111	159	126	20	9	71	50					
		17.91%	13.41%	19.33%	18.25%	14.38%	17.34%	20.06%	12.58%	15.52%	21.85%	24.27%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	89	0	8	26	16	15	12	3	0	6	3					
		2.13%	0.00%	2.97%	3.39%	2.07%	1.64%	1.91%	1.89%	0.00%	1.85%	1.46%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	669	17	32	118	132	155	107	26	5	56	21					
		15.99%	20.73%	11.90%	15.38%	17.10%	16.90%	17.04%	16.35%	8.62%	17.23%	10.19%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	86	2	3	17	21	25	7	0	2	5	4					
		2.06%	2.44%	1.12%	2.22%	2.72%	2.73%	1.11%	0.00%	3.45%	1.54%	1.94%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2061	38	155	370	383	453	291	100	32	139	100					
		49.27%	46.34%	57.62%	48.24%	49.61%	49.40%	46.34%	62.89%	55.17%	42.77%	48.54%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	22	1	0	3	2	4	6	1	1	3	1					
		0.53%	1.22%	0.00%	0.39%	0.26%	0.44%	0.96%	0.63%	1.72%	0.92%	0.49%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
