Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Оконешниковская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837					
1	"Число избирателей, внесенных в список"	12163	1115	846	1116	1146	122	73	610	17	71	343	225	768	141	185	640	106	95	887	79	135	101	149	568	78	101	541	97	153	73	37	1013	104	177	179	72					
2	Число полученных избирательных бюллетеней	12323	1083	847	1125	1173	124	75	620	19	73	356	225	781	149	188	649	108	99	901	81	134	108	147	586	86	113	536	101	152	75	37	1033	105	178	181	75					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8729	701	573	710	614	99	58	439	17	68	266	173	543	124	173	537	104	90	734	72	125	95	119	377	67	90	368	97	134	63	35	649	94	115	137	69					
5	"Число избирательных бюллетеней, выданных вне помещения"	696	82	38	37	73	16	15	25	0	0	48	10	68	2	0	67	0	2	21	3	0	0	5	32	0	1	44	0	10	5	0	61	2	21	8	0					
6	Число погашенных избирательных бюллетеней	2898	300	236	378	486	9	2	156	2	5	42	42	170	23	15	45	4	7	146	6	9	13	23	177	19	22	124	4	8	7	2	323	9	42	36	6					
7	Число избирательных бюллетеней в переносных ящиках	696	82	38	37	73	16	15	25	0	0	48	10	68	2	0	67	0	2	21	3	0	0	5	32	0	1	44	0	10	5	0	61	2	21	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	8728	700	573	710	614	99	58	439	17	68	266	173	543	124	173	537	104	90	734	72	125	95	119	377	67	90	368	97	134	63	35	649	94	115	137	69					
9	Число недействительных избирательных бюллетеней	95	7	1	5	5	1	0	3	0	0	2	4	5	1	0	6	1	3	7	0	2	0	4	6	0	0	11	1	0	0	0	6	5	2	4	3					
10	Число действительных избирательных бюллетеней	9329	775	610	742	682	114	73	461	17	68	312	179	606	125	173	598	103	89	748	75	123	95	120	403	67	91	401	96	144	68	35	704	91	134	141	66					
11	Число полученных открепительных  удостоверений	540	40	40	40	40	10	10	20	5	5	20	10	20	10	10	20	10	10	20	10	10	10	10	20	10	10	20	10	10	10	10	20	10	10	10	10					
12	Число выданных открепительных удостоверений	87	10	6	12	10	0	0	2	0	0	3	0	7	1	0	7	0	1	3	0	0	0	1	8	0	2	4	0	0	0	0	10	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	2	1	6	5	0	3	3	1	0	0	1	1	1	1	4	0	0	2	0	3	0	2	2	0	1	1	1	2	1	1	1	1	2	2	2					
14	Число неиспользованных открепительных удостоверений	453	30	34	28	30	10	10	18	5	5	17	10	13	9	10	13	10	9	17	10	10	10	9	12	10	8	16	10	10	10	10	10	10	10	10	10					
