Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Мичуринская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240					
1	"Число избирателей, внесенных в список избирателей"	25921	850	524	1303	1284	1295	977	869	524	381	680	215	527	616	1072	1469	103	143	1182	435	152	438	600	320	779	361	362	189	444	86	343	222	133	406	394	139	557	524	583	336	588	672	318	783	461	385	742	155					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23829	800	500	1200	1200	1150	900	800	540	350	680	218	500	600	1000	1200	100	141	1000	430	154	400	500	280	700	350	300	178	400	80	340	220	135	400	390	138	500	500	500	300	500	600	300	700	450	350	700	155					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11965	355	233	559	584	493	597	423	387	184	289	117	223	285	626	473	72	78	442	234	76	162	256	102	398	220	123	121	269	63	156	91	75	281	202	91	204	243	245	158	219	328	171	282	254	184	245	92					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3143	96	74	64	54	170	31	94	62	62	34	20	46	36	44	149	18	27	186	79	30	149	137	117	60	38	85	48	35	15	68	32	25	21	40	14	163	119	69	72	90	58	24	93	20	32	140	3					
6	Число погашенных избирательных бюллетеней	8721	349	193	577	562	487	272	283	91	104	357	81	231	279	330	578	10	36	372	117	48	89	107	61	242	92	92	9	96	2	116	97	35	98	148	33	133	138	186	70	191	214	105	325	176	134	315	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3143	96	74	64	54	170	31	94	62	62	34	20	46	36	44	149	18	27	186	79	30	149	137	117	60	38	85	48	35	15	68	32	25	21	40	14	163	119	69	72	90	58	24	93	20	32	140	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11965	355	233	559	584	493	597	423	387	184	289	117	223	285	626	473	72	78	442	234	76	162	256	102	398	220	123	121	269	63	156	91	75	281	202	91	204	243	245	158	219	328	171	282	254	184	245	92					
9	Число недействительных избирательных бюллетеней	165	6	11	12	5	11	5	5	5	4	2	3	5	2	7	3	0	0	8	2	2	2	2	0	5	1	0	2	3	1	1	0	3	1	1	0	2	14	3	1	6	2	2	5	4	3	2	1					
10	Число действительных избирательных бюллетеней	14943	445	296	611	633	652	623	512	444	242	321	134	264	319	663	619	90	105	620	311	104	309	391	219	453	257	208	167	301	77	223	123	97	301	241	105	365	348	311	229	303	384	193	370	270	213	383	94					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	302	10	8	15	20	15	10	10	8	5	5	3	5	5	10	10	3	3	15	5	3	5	5	3	5	5	5	3	5	3	5	3	3	5	5	3	10	5	5	5	5	8	5	5	5	5	10	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	190	9	5	15	20	15	10	8	7	1	5	0	0	2	4	2	0	0	13	2	1	1	5	3	5	1	4	1	5	0	1	0	0	4	1	0	7	0	2	0	1	7	3	5	2	4	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	174	5	0	4	4	6	5	2	4	2	3	3	2	2	13	36	3	2	2	5	4	2	2	6	2	4	3	4	5	1	1	2	1	0	0	3	2	3	2	1	3	4	4	3	2	1	2	4					
