Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Усть-Илимская городская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1919	УИК №1920									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65948	1977	1826	1568	1653	1815	1642	1853	1638	1827	1702	1401	1918	1642	1808	1707	1793	1824	1734	1594	1425	1487	1508	1598	1624	1542	1607	1509	1644	1643	1726	1699	1456	1538	1449	1673	1401	1407	1623	1635	1832									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60000	1800	1650	1450	1500	1650	1500	1700	1500	1650	1450	1300	1750	1500	1650	1550	1600	1650	1550	1450	1300	1350	1350	1450	1500	1400	1450	1350	1450	1500	1600	1550	1350	1400	1350	1550	1300	1300	1450	1500	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18768	517	464	537	514	366	428	534	534	516	326	249	301	431	349	446	486	591	518	515	463	436	487	696	479	687	508	421	528	489	485	520	438	440	374	381	382	387	450	519	576									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	364	15	6	11	4	4	13	9	4	5	84	18	7	0	2	14	8	3	21	4	5	7	7	9	3	14	4	19	5	7	6	3	5	3	7	5	4	6	5	4	4									
6	Число погашенных избирательных бюллетеней	40868	1268	1180	902	982	1280	1059	1157	962	1129	1040	1033	1442	1069	1299	1090	1106	1056	1011	931	832	907	856	745	1018	699	938	910	917	1004	1109	1027	907	957	969	1164	914	907	995	977	1120									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	364	15	6	11	4	4	13	9	4	5	84	18	7	0	2	14	8	3	21	4	5	7	7	9	3	14	4	19	5	7	6	3	5	3	7	5	4	6	5	4	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18764	517	464	537	514	366	428	534	534	515	326	249	301	431	349	446	486	591	518	515	463	436	487	696	479	687	508	420	528	489	485	520	438	440	374	381	381	386	450	519	576									
9	Число недействительных избирательных бюллетеней	550	12	14	12	10	6	14	18	14	11	12	13	14	12	11	14	10	19	23	16	9	16	10	39	13	21	14	15	11	12	18	18	17	6	4	10	8	13	7	15	19									
10	Число действительных избирательных бюллетеней	18578	520	456	536	508	364	427	525	524	509	398	254	294	419	340	446	484	575	516	503	459	427	484	666	469	680	498	424	522	484	473	505	426	437	377	376	377	379	448	508	561									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1335	40	35	30	35	35	35	35	35	40	30	30	40	35	35	35	35	35	35	30	30	30	30	30	35	30	30	30	35	35	35	35	30	30	30	35	30	30	35	30	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	268	4	5	13	8	6	7	12	7	8	3	4	4	4	1	3	8	13	13	9	10	6	16	5	5	7	2	6	9	7	1	8	5	4	4	6	8	5	4	5	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	218	5	4	7	8	9	10	4	2	2	8	11	9	3	7	4	3	10	16	4	5	2	10	4	5	4	3	6	7	4	5	4	2	5	6	0	0	8	2	5	5									
14	Число погашенных неиспользованных открепительных удостоверений	1067	36	30	17	27	29	28	23	28	32	27	26	36	31	34	32	27	22	22	21	20	24	14	25	30	23	28	24	26	28	34	27	25	26	26	29	22	25	31	25	27									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	2	1	0	2	1	0	2	0	1	0	0	0	0	2	0	1	1	1	1	0	1	1	0	1	2	0	0	1	0	0	2	0	1	0	2	0	0	1	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	291	9	5	5	10	3	6	10	9	8	7	2	1	14	6	3	8	10	4	7	7	10	8	10	8	14	10	5	11	8	6	8	8	4	5	7	8	4	6	10	7									
		1.52%	1.69%	1.06%	0.91%	1.93%	0.81%	1.36%	1.84%	1.67%	1.54%	1.71%	0.75%	0.32%	3.25%	1.71%	0.65%	1.62%	1.68%	0.74%	1.35%	1.50%	2.26%	1.62%	1.42%	1.66%	1.99%	1.95%	1.14%	2.06%	1.61%	1.22%	1.53%	1.81%	0.90%	1.31%	1.81%	2.08%	1.02%	1.32%	1.91%	1.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	659	8	24	7	18	15	10	17	14	19	15	7	13	11	14	14	15	21	27	12	17	14	16	32	16	44	15	18	14	13	21	27	9	12	9	16	15	9	18	21	22									
		3.45%	1.50%	5.11%	1.28%	3.47%	4.05%	2.27%	3.13%	2.60%	3.65%	3.66%	2.62%	4.22%	2.55%	3.99%	3.04%	3.04%	3.54%	5.01%	2.31%	3.63%	3.16%	3.24%	4.54%	3.32%	6.28%	2.93%	4.10%	2.63%	2.62%	4.28%	5.16%	2.03%	2.71%	2.36%	4.15%	3.90%	2.30%	3.96%	4.02%	3.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	408	7	7	6	14	10	8	12	14	10	13	7	5	15	7	12	13	11	13	10	9	9	16	14	8	11	17	11	8	8	11	15	11	12	8	8	8	4	10	8	8									
		2.13%	1.32%	1.49%	1.09%	2.70%	2.70%	1.81%	2.21%	2.60%	1.92%	3.17%	2.62%	1.62%	3.48%	1.99%	2.61%	2.63%	1.85%	2.41%	1.93%	1.92%	2.03%	3.24%	1.99%	1.66%	1.57%	3.32%	2.51%	1.50%	1.61%	2.24%	2.87%	2.48%	2.71%	2.10%	2.07%	2.08%	1.02%	2.20%	1.53%	1.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6201	167	156	189	165	124	158	185	170	159	146	100	107	140	110	156	151	184	151	183	144	138	176	216	146	253	202	140	172	150	153	163	140	150	111	119	111	130	122	178	186									
		32.42%	31.39%	33.19%	34.49%	31.85%	33.51%	35.83%	34.07%	31.60%	30.58%	35.61%	37.45%	34.74%	32.48%	31.34%	33.91%	30.57%	30.98%	28.01%	35.26%	30.77%	31.15%	35.63%	30.64%	30.29%	36.09%	39.45%	31.89%	32.27%	30.24%	31.16%	31.17%	31.60%	33.86%	29.13%	30.83%	28.83%	33.16%	26.81%	34.03%	32.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	111	1	1	2	0	1	7	3	4	7	1	0	2	2	1	3	1	4	4	3	2	6	0	3	3	8	3	1	2	3	7	1	2	3	1	1	4	0	6	2	6									
		0.58%	0.19%	0.21%	0.36%	0.00%	0.27%	1.59%	0.55%	0.74%	1.35%	0.24%	0.00%	0.65%	0.46%	0.28%	0.65%	0.20%	0.67%	0.74%	0.58%	0.43%	1.35%	0.00%	0.43%	0.62%	1.14%	0.59%	0.23%	0.38%	0.60%	1.43%	0.19%	0.45%	0.68%	0.26%	0.26%	1.04%	0.00%	1.32%	0.38%	1.03%									
24	"6. Политическая партия ""Гражданская Платформа"""	40	3	1	1	3	2	1	0	3	0	2	0	2	0	1	1	0	0	2	1	0	1	2	0	0	1	2	1	2	0	2	1	0	0	1	0	1	1	0	1	1									
		0.21%	0.56%	0.21%	0.18%	0.58%	0.54%	0.23%	0.00%	0.56%	0.00%	0.49%	0.00%	0.65%	0.00%	0.28%	0.22%	0.00%	0.00%	0.37%	0.19%	0.00%	0.23%	0.40%	0.00%	0.00%	0.14%	0.39%	0.23%	0.38%	0.00%	0.41%	0.19%	0.00%	0.00%	0.26%	0.00%	0.26%	0.26%	0.00%	0.19%	0.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4094	124	80	117	101	103	99	99	120	97	85	84	77	89	79	98	127	123	95	90	102	88	93	160	106	151	110	110	107	105	117	104	96	94	98	99	85	78	84	100	120									
		21.40%	23.31%	17.02%	21.35%	19.50%	27.84%	22.45%	18.23%	22.30%	18.65%	20.73%	31.46%	25.00%	20.65%	22.51%	21.30%	25.71%	20.71%	17.63%	17.34%	21.79%	19.86%	18.83%	22.70%	21.99%	21.54%	21.48%	25.06%	20.08%	21.17%	23.83%	19.89%	21.67%	21.22%	25.72%	25.65%	22.08%	19.90%	18.46%	19.12%	20.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	101	0	2	0	1	2	0	6	0	5	6	1	0	2	2	1	2	0	0	1	6	6	1	4	4	4	4	3	5	4	1	3	1	4	3	2	3	3	4	3	2									
		0.53%	0.00%	0.43%	0.00%	0.19%	0.54%	0.00%	1.10%	0.00%	0.96%	1.46%	0.37%	0.00%	0.46%	0.57%	0.22%	0.40%	0.00%	0.00%	0.19%	1.28%	1.35%	0.20%	0.57%	0.83%	0.57%	0.78%	0.68%	0.94%	0.81%	0.20%	0.57%	0.23%	0.90%	0.79%	0.52%	0.78%	0.77%	0.88%	0.57%	0.34%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	186	6	4	5	5	2	2	7	9	4	1	0	2	6	5	3	2	5	4	6	1	7	9	6	6	4	5	2	10	5	4	3	5	4	4	2	2	1	12	8	8									
		0.97%	1.13%	0.85%	0.91%	0.97%	0.54%	0.45%	1.29%	1.67%	0.77%	0.24%	0.00%	0.65%	1.39%	1.42%	0.65%	0.40%	0.84%	0.74%	1.16%	0.21%	1.58%	1.82%	0.85%	1.24%	0.57%	0.98%	0.46%	1.88%	1.01%	0.81%	0.57%	1.13%	0.90%	1.05%	0.52%	0.52%	0.26%	2.64%	1.53%	1.38%									
