Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Пущинская городская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК  2285	УИК  2286	УИК  2287	УИК  2288	УИК  2289	УИК  2290	УИК  2291					
1	"Число избирателей, внесенных в списки"	16735	2665	2716	2339	2529	2605	1211	2670					
2	"Число бюллетеней, полученных участковыми комиссиями"	16700	2700	2700	2300	2500	2600	1200	2700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8594	1412	1319	1255	1300	1315	595	1398					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	239	47	33	49	37	51	9	13					
6	Число погашенных бюллетеней	7867	1241	1348	996	1163	1234	596	1289					
7	Число бюллетеней в переносных ящиках для голосования	239	47	33	49	37	51	9	13					
8	Число бюллетеней в стационарных ящиках для голосования	8576	1409	1306	1255	1300	1315	593	1398					
9	Число недействительных бюллетеней	100	17	11	14	21	23	8	6					
10	Число действительных бюллетеней	8715	1439	1328	1290	1316	1343	594	1405					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	136	24	27	11	10	29	7	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	14	12	10	13	5	5	3					
14	Число погашенных открепительных удостоверений	214	26	23	39	40	21	43	22					
15	Число открепительных удостоверений выданных ТИК	4	0	0	1	0	0	0	3					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	55	10	4	13	10	8	5	5					
		0.62%	0.68%	0.29%	0.99%	0.74%	0.58%	0.83%	0.35%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	444	82	94	59	47	57	37	68					
		5.03%	5.63%	7.02%	4.52%	3.51%	4.17%	6.14%	4.81%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	234	31	30	40	42	50	13	28					
		2.65%	2.12%	2.24%	3.06%	3.14%	3.66%	2.15%	1.98%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	803	173	138	99	110	96	59	128					
		9.10%	11.88%	10.30%	7.59%	8.22%	7.02%	9.80%	9.07%					
22	"5. ""За Русь Святую"""	57	14	10	8	2	7	7	9					
		0.64%	0.96%	0.74%	0.61%	0.14%	0.51%	1.16%	0.63%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	1	2	0	1	1	1	5					
		0.12%	0.06%	0.14%	0.0%	0.07%	0.07%	0.16%	0.35%					
24	"7. ""Новый курс - Автомобильная Россия"""	133	21	27	15	17	25	11	17					
		1.50%	1.44%	2.01%	1.15%	1.27%	1.83%	1.82%	1.20%					
25	"8. ""Народно-республиканская партия России"""	11	1	3	3	0	2	0	2					
		0.12%	0.06%	0.22%	0.23%	0.0%	0.14%	0.0%	0.14%					
26	"9. ""Российская экологическая партия ""Зеленые"""	42	7	12	5	6	2	3	7					
		0.47%	0.48%	0.89%	0.38%	0.44%	0.14%	0.49%	0.49%					
27	"10. ""Аграрная партия России"""	206	35	25	36	32	30	10	38					
		2.33%	2.40%	1.86%	2.76%	2.39%	2.19%	1.66%	2.69%					
28	"11. ""Истинные патриоты России"""	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	87	10	14	18	13	11	7	14					
