Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Черемховская районная																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1605	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22905	130	881	295	161	1022	231	499	212	687	324	831	565	317	119	231	105	702	206	207	162	1470	1459	1361	421	1536	653	141	771	372	84	523	90	724	817	242	177	291	560	87	182	577	85	277	429	208	582	245	150	195	157	152									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23100	136	879	287	164	1039	230	450	208	697	326	847	562	325	127	241	110	716	211	206	169	1477	1580	1255	418	1537	652	143	766	381	88	521	93	742	812	238	183	300	571	143	183	592	88	277	428	206	575	242	154	204	161	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10515	60	429	124	89	494	117	188	83	347	124	348	304	137	71	146	58	377	88	109	91	712	643	534	155	622	345	92	345	159	39	227	36	305	396	106	78	121	228	81	86	248	40	152	187	79	315	118	46	92	70	74									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	952	13	21	23	7	41	6	23	17	26	28	37	13	44	1	7	14	27	6	8	6	15	31	36	13	42	37	13	20	16	0	13	8	24	28	23	31	32	22	6	14	17	9	29	19	9	11	13	31	8	10	4									
6	Число погашенных избирательных бюллетеней	11633	63	429	140	68	504	107	239	108	324	174	462	245	144	55	88	38	312	117	89	72	750	906	685	250	873	270	38	401	206	49	281	49	413	388	109	74	147	321	56	83	327	39	96	222	118	249	111	77	104	81	82									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	952	13	21	23	7	41	6	23	17	26	28	37	13	44	1	7	14	27	6	8	6	15	31	36	13	42	37	13	20	16	0	13	8	24	28	23	31	32	22	6	14	17	9	29	19	9	11	13	31	8	10	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10510	60	428	124	89	494	117	188	83	346	124	348	303	137	71	146	58	377	88	109	91	712	642	534	155	622	345	92	345	159	39	227	36	305	396	106	78	121	228	81	86	248	40	152	187	79	315	118	46	92	70	73									
9	Число недействительных избирательных бюллетеней	377	0	16	8	3	27	4	4	2	18	7	20	11	13	5	3	1	13	2	5	7	20	17	14	5	21	13	4	10	3	5	4	1	7	14	2	4	7	5	1	2	10	1	2	10	0	7	3	2	8	2	4									
10	Число действительных избирательных бюллетеней	11085	73	433	139	93	508	119	207	98	354	145	365	305	168	67	150	71	391	92	112	90	707	656	556	163	643	369	101	355	172	34	236	43	322	410	127	105	146	245	86	98	255	48	179	196	88	319	128	75	92	78	73									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	5	10	5	5	15	5	10	5	10	5	10	10	5	5	15	10	10	5	5	5	20	15	10	10	15	10	5	10	10	5	5	5	10	10	5	5	5	5	5	5	5	10	5	10	10	10	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	259	1	9	2	5	11	5	8	0	10	0	1	2	5	5	15	10	10	5	3	1	20	12	7	3	15	5	5	1	10	0	3	4	7	5	0	5	2	5	5	5	5	2	1	0	0	10	2	0	5	5	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	163	4	3	4	2	5	2	5	4	4	4	5	6	4	3	1	2	1	4	1	0	4	1	1	1	10	1	2	4	0	2	6	3	2	5	0	1	12	2	2	4	3	0	2	6	2	5	4	3	2	5	4									
14	Число погашенных неиспользованных открепительных удостоверений	141	4	1	3	0	4	0	2	5	0	5	9	8	0	0	0	0	0	0	2	4	0	3	3	7	0	5	0	9	0	5	2	1	3	5	5	0	3	0	0	0	0	8	4	10	10	0	3	5	0	0	3									
