Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Яйская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14354	352	101	107	128	193	69	330	268	166	74	505	258	209	533	73	439	76	380	215	129	423	274	89	491	613	399	356	473	268	296	508	546	477	699	424	996	283	574	302	941	317									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14242	350	102	107	130	195	67	335	255	167	75	535	310	210	515	74	470	83	385	215	135	448	270	89	490	620	390	340	460	260	285	495	530	475	700	415	940	275	550	295	885	315									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11586	265	72	91	59	153	57	304	222	127	30	438	233	146	330	62	352	63	327	157	109	371	233	41	422	530	344	270	382	174	216	429	437	401	548	374	861	223	482	259	732	260									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1636	33	17	4	52	17	10	15	23	26	38	52	10	51	155	3	43	12	31	33	15	47	20	38	42	58	20	58	48	60	42	41	65	40	109	13	63	31	38	15	110	38									
6	Число погашенных избирательных бюллетеней	1020	52	13	12	19	25	0	16	10	14	7	45	67	13	30	9	75	8	27	25	11	30	17	10	26	32	26	12	30	26	27	25	28	34	43	28	16	21	30	21	43	17									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1636	33	17	4	52	17	10	15	23	26	38	52	10	51	155	3	43	12	31	33	15	47	20	38	42	58	20	58	48	60	42	41	65	40	109	13	63	31	38	15	110	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11581	265	72	91	59	153	57	304	222	127	30	438	233	146	330	62	352	63	327	157	109	371	233	41	422	530	344	270	382	174	216	429	437	401	548	374	861	223	482	259	727	260									
9	Число недействительных избирательных бюллетеней	20	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	3	0	0	5	0									
10	Число действительных избирательных бюллетеней	13197	298	89	95	111	168	67	319	245	153	68	490	243	195	483	65	395	75	358	190	124	416	253	79	464	588	364	328	427	234	258	469	502	441	657	387	924	251	520	274	832	298									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	189	3	1	1	1	2	2	3	3	1	0	3	3	2	3	2	24	7	9	2	1	7	2	7	9	3	5	5	5	5	5	5	5	5	5	6	13	5	5	5	5	4									
