Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Арзамасская городская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	81850	2104	1018	683	3040	2836	2401	1242	1545	3036	1434	1472	2028	1852	1491	1369	1913	1746	2080	1432	1888	2391	1320	985	2923	3080	1431	2033	1271	637	2262	2480	607	1429	1104	789	788	1668	1310	2172	2142	3100	1110	1068	3026	1523	2591									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62406	1650	431	778	2400	2200	1800	950	1200	2400	1200	1150	1600	1450	1200	1050	1500	1400	1600	1100	1500	1800	1366	985	2300	2400	1250	1600	745	330	1800	2050	607	715	457	321	720	1300	1000	1700	1650	2400	345	456	2350	1200	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44825	549	366	304	1971	1843	1302	622	806	1417	697	882	1131	866	783	740	1116	968	1336	916	1262	1051	630	389	1895	2014	1069	1267	634	303	1160	1438	607	608	431	312	381	877	701	1139	1223	2150	336	455	1451	740	1687									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3490	77	65	104	24	205	54	6	131	147	120	136	103	50	13	105	23	114	16	35	5	12	214	73	50	215	110	8	111	27	212	91	0	107	26	9	33	124	104	64	170	23	9	1	11	150	3									
6	Число погашенных избирательных бюллетеней	14091	1024	0	370	405	152	444	322	263	836	383	132	366	534	404	205	361	318	248	149	233	737	522	523	355	171	71	325	0	0	428	521	0	0	0	0	306	299	195	497	257	227	0	0	888	310	310									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3488	77	65	104	24	205	54	6	131	147	120	136	103	50	13	105	23	114	16	35	5	12	212	73	50	215	110	8	111	27	212	91	0	107	26	9	33	124	104	64	170	23	9	1	11	150	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	44724	548	365	303	1971	1843	1302	622	806	1417	697	882	1131	866	783	740	1116	968	1336	916	1262	1051	628	387	1894	2014	1069	1267	633	303	1160	1347	607	608	431	312	380	877	701	1139	1223	2150	336	455	1451	740	1687									
9	Число недействительных избирательных бюллетеней	577	12	1	4	6	5	32	23	5	63	13	10	2	12	3	11	24	16	27	10	1	40	10	6	17	20	6	16	7	2	0	23	8	7	2	2	8	10	14	19	8	23	1	0	22	2	24									
10	Число действительных избирательных бюллетеней	47635	613	429	403	1989	2043	1324	605	932	1501	804	1008	1232	904	793	834	1115	1066	1325	941	1266	1023	830	454	1927	2209	1173	1259	737	328	1372	1415	599	708	455	319	405	991	791	1184	1385	2150	344	456	1440	888	1666									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1320	30	0	20	40	40	40	25	25	40	25	25	30	30	25	25	30	30	30	25	30	40	25	20	40	40	25	30	25	40	40	40	0	0	25	20	20	25	25	40	40	40	25	25	40	25	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	577	11	0	3	25	22	7	6	4	18	4	11	17	17	18	11	12	19	17	9	16	23	8	3	19	23	10	16	11	8	15	32	0	0	4	10	5	10	7	16	7	28	6	16	20	10	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	733	3	0	11	12	8	17	12	7	8	6	3	9	12	6	14	10	12	15	22	9	7	19	8	7	56	84	14	55	50	18	24	0	0	0	77	17	4	13	13	11	9	17	12	11	5	6									
14	Число погашенных неиспользованных открепительных удостоверений	743	19	0	17	15	18	33	19	21	22	21	14	13	13	7	14	18	11	13	16	14	17	17	17	21	17	15	14	14	32	25	8	0	0	21	10	15	15	18	24	33	12	19	9	20	15	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	0	0	0	1	1	3	0	1	1	0	0	0	0	0	0	1	0	1	1	1	3	0	0	0	2	1	4	2	0	3	0	0	0	0	0	1	1	3	2	3	1	0	0	2	0	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	612	5	9	5	14	17	22	13	14	24	6	4	4	14	9	6	10	5	16	6	19	32	12	10	18	41	9	8	16	9	25	30	8	16	6	8	7	13	11	16	8	33	8	8	25	0	13									
		1.27%	0.80%	2.09%	1.23%	0.70%	0.83%	1.62%	2.07%	1.49%	1.53%	0.73%	0.39%	0.32%	1.53%	1.13%	0.71%	0.88%	0.46%	1.18%	0.63%	1.50%	3.01%	1.43%	2.17%	0.93%	1.84%	0.76%	0.63%	2.15%	2.73%	1.82%	2.09%	1.32%	2.24%	1.31%	2.49%	1.69%	1.30%	1.37%	1.33%	0.57%	1.52%	2.32%	1.75%	1.71%	0.00%	0.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1631	27	38	41	17	2	50	16	17	30	13	12	30	18	18	23	30	11	22	10	217	38	69	44	30	34	17	11	63	27	17	18	39	48	51	29	36	21	22	26	130	58	32	71	31	8	19									
		3.38%	4.32%	8.84%	10.07%	0.85%	0.10%	3.69%	2.55%	1.81%	1.92%	1.59%	1.18%	2.43%	1.97%	2.26%	2.72%	2.63%	1.02%	1.63%	1.05%	17.13%	3.57%	8.21%	9.57%	1.54%	1.53%	1.44%	0.86%	8.47%	8.18%	1.24%	1.25%	6.43%	6.71%	11.16%	9.03%	8.72%	2.10%	2.73%	2.16%	9.33%	2.67%	9.28%	15.57%	2.12%	0.90%	1.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	993	16	9	14	17	38	69	31	4	32	14	13	18	22	15	14	22	12	23	10	26	25	30	14	36	71	14	24	18	13	14	38	16	26	9	4	13	30	14	18	26	43	10	17	35	0	16									
		2.06%	2.56%	2.09%	3.44%	0.85%	1.86%	5.09%	4.94%	0.43%	2.05%	1.71%	1.28%	1.46%	2.40%	1.88%	1.66%	1.93%	1.11%	1.70%	1.05%	2.05%	2.35%	3.57%	3.04%	1.85%	3.19%	1.19%	1.88%	2.42%	3.94%	1.02%	2.64%	2.64%	3.64%	1.97%	1.25%	3.15%	2.99%	1.74%	1.50%	1.87%	1.98%	2.90%	3.73%	2.39%	0.00%	0.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29991	311	238	212	1498	1536	594	284	652	870	589	715	837	456	533	537	675	806	802	612	840	385	449	253	1198	1409	912	838	377	168	762	737	408	371	248	198	190	642	548	803	1038	1403	167	200	745	662	1283									
		62.21%	49.76%	55.35%	52.09%	75.09%	75.00%	43.81%	45.22%	69.58%	55.63%	72.09%	70.24%	67.83%	49.78%	66.96%	63.55%	59.26%	74.49%	59.32%	64.35%	66.30%	36.22%	53.45%	55.00%	61.63%	63.21%	77.35%	65.73%	50.67%	50.91%	55.54%	51.25%	67.22%	51.89%	54.27%	61.68%	46.00%	64.14%	68.07%	66.75%	74.52%	64.57%	48.41%	43.86%	50.96%	74.38%	75.92%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	247	2	6	6	7	5	5	4	2	3	1	6	6	6	3	1	4	2	8	5	7	10	5	5	9	12	4	10	7	3	16	10	6	9	4	3	6	6	3	6	5	7	2	3	5	0	2									
		0.51%	0.32%	1.40%	1.47%	0.35%	0.24%	0.37%	0.64%	0.21%	0.19%	0.12%	0.59%	0.49%	0.66%	0.38%	0.12%	0.35%	0.18%	0.59%	0.53%	0.55%	0.94%	0.60%	1.09%	0.46%	0.54%	0.34%	0.78%	0.94%	0.91%	1.17%	0.70%	0.99%	1.26%	0.88%	0.93%	1.45%	0.60%	0.37%	0.50%	0.36%	0.32%	0.58%	0.66%	0.34%	0.00%	0.12%									
24	"6. Политическая партия ""Гражданская Платформа"""	74	1	1	0	2	1	3	2	0	2	1	1	0	6	1	0	1	0	4	1	2	3	2	0	3	1	0	0	1	0	10	1	2	2	3	0	1	0	0	2	8	3	1	1	1	0	0									
		0.15%	0.16%	0.23%	0.00%	0.10%	0.05%	0.22%	0.32%	0.00%	0.13%	0.12%	0.10%	0.00%	0.66%	0.13%	0.00%	0.09%	0.00%	0.30%	0.11%	0.16%	0.28%	0.24%	0.00%	0.15%	0.04%	0.00%	0.00%	0.13%	0.00%	0.73%	0.07%	0.33%	0.28%	0.66%	0.00%	0.24%	0.00%	0.00%	0.17%	0.57%	0.14%	0.29%	0.22%	0.07%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4640	116	71	45	132	78	222	96	46	146	59	65	115	87	65	85	121	56	117	71	110	154	103	50	167	190	63	113	92	39	128	175	52	68	73	45	60	115	77	121	91	192	57	77	236	91	108									
		9.62%	18.56%	16.51%	11.06%	6.62%	3.81%	16.37%	15.29%	4.91%	9.34%	7.22%	6.39%	9.32%	9.50%	8.17%	10.06%	10.62%	5.18%	8.65%	7.47%	8.68%	14.49%	12.26%	10.87%	8.59%	8.52%	5.34%	8.86%	12.37%	11.82%	9.33%	12.17%	8.57%	9.51%	15.97%	14.02%	14.53%	11.49%	9.57%	10.06%	6.53%	8.84%	16.52%	16.89%	16.14%	10.22%	6.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	203	6	0	1	3	3	11	4	1	4	1	3	5	7	10	7	2	2	10	5	4	6	3	2	11	10	5	1	6	2	10	5	6	6	2	1	6	0	4	5	4	9	3	2	2	0	3									
		0.42%	0.96%	0.00%	0.25%	0.15%	0.15%	0.81%	0.64%	0.11%	0.26%	0.12%	0.29%	0.41%	0.76%	1.26%	0.83%	0.18%	0.18%	0.74%	0.53%	0.32%	0.56%	0.36%	0.43%	0.57%	0.45%	0.42%	0.08%	0.81%	0.61%	0.73%	0.35%	0.99%	0.84%	0.44%	0.31%	1.45%	0.00%	0.50%	0.42%	0.29%	0.41%	0.87%	0.44%	0.14%	0.00%	0.18%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	314	3	3	1	4	14	20	9	4	6	2	2	3	10	0	0	5	5	7	7	8	11	8	4	13	27	4	7	8	3	5	2	5	12	7	3	2	14	8	3	8	11	9	5	11	3	8									
		0.65%	0.48%	0.70%	0.25%	0.20%	0.68%	1.47%	1.43%	0.43%	0.38%	0.24%	0.20%	0.24%	1.09%	0.00%	0.00%	0.44%	0.46%	0.52%	0.74%	0.63%	1.03%	0.95%	0.87%	0.67%	1.21%	0.34%	0.55%	1.08%	0.91%	0.36%	0.14%	0.82%	1.68%	1.53%	0.93%	0.48%	1.40%	0.99%	0.25%	0.57%	0.51%	2.61%	1.10%	0.75%	0.34%	0.47%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	59	0	0	0	0	1	1	0	0	4	1	2	0	0	2	0	2	2	0	2	0	1	2	0	0	0	0	1	1	0	9	4	0	1	1	2	0	0	0	2	7	3	0	0	4	0	4									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.05%	0.07%	0.00%	0.00%	0.26%	0.12%	0.20%	0.00%	0.00%	0.25%	0.00%	0.18%	0.18%	0.00%	0.21%	0.00%	0.09%	0.24%	0.00%	0.00%	0.00%	0.00%	0.08%	0.13%	0.00%	0.66%	0.28%	0.00%	0.14%	0.22%	0.62%	0.00%	0.00%	0.00%	0.17%	0.50%	0.14%	0.00%	0.00%	0.27%	0.00%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	294	2	1	0	6	12	6	6	2	9	2	5	3	10	4	4	7	3	9	6	0	16	9	2	7	22	10	7	11	0	13	12	1	10	1	2	1	5	3	8	4	7	4	5	7	0	30									
