Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Кыштовская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719					
1	"Число избирателей, внесенных в списки избирателей"	11240	1316	672	870	1340	106	144	319	87	186	46	48	204	443	396	203	64	69	227	313	349	121	72	229	235	460	268	141	292	318	226	143	262	201	344	192	98	236					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10880	1230	615	770	1250	104	137	325	87	188	46	47	201	441	392	198	64	67	228	311	346	120	71	229	235	456	270	140	294	320	229	143	262	198	346	189	98	233					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6198	644	377	413	597	62	62	198	58	110	34	36	152	222	194	119	45	60	134	211	224	97	54	147	126	251	144	71	163	162	120	100	173	111	191	118	74	144					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	688	34	18	49	43	3	23	39	8	10	0	0	11	34	13	21	0	0	9	0	0	7	0	13	20	0	13	32	52	45	27	8	18	32	43	22	12	29					
6	Число погашенных избирательных бюллетеней	3994	552	220	308	610	39	52	88	21	68	12	11	38	185	185	58	19	7	85	100	122	16	17	69	89	205	113	37	79	113	82	35	71	55	112	49	12	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	688	34	18	49	43	3	23	39	8	10	0	0	11	34	13	21	0	0	9	0	0	7	0	13	20	0	13	32	52	45	27	8	18	32	43	22	12	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6198	644	377	413	597	62	62	198	58	110	34	36	152	222	194	119	45	60	134	211	224	97	54	147	126	251	144	71	163	162	120	100	173	111	191	118	74	144					
9	Число недействительных избирательных бюллетеней	58	9	1	2	8	0	2	1	0	0	0	0	0	3	0	6	0	0	0	1	1	0	0	2	2	1	1	0	0	0	3	2	3	0	2	2	0	6					
10	Число действительных избирательных бюллетеней	6828	669	394	460	632	65	83	236	66	120	34	36	163	253	207	134	45	60	143	210	223	104	54	158	144	250	156	103	215	207	144	106	188	143	232	138	86	167					
