Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Лениногорская городская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48583	1399	1166	1538	1265	957	1626	2352	2403	2097	2131	2318	2041	2141	2055	2225	2737	2539	2540	2379	2511	2663	2455	2698	347									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49200	1404	1182	1548	1261	974	1647	2375	2431	2124	2158	2345	2068	2171	2072	2258	2787	2577	2584	2428	2544	2701	2489	2725	347									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	40787	1185	976	1289	1043	733	1377	1987	2059	1763	1753	1942	1712	1749	1695	1880	2300	2134	2162	2076	2094	2211	2053	2267	347									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	867	12	21	36	41	81	10	15	33	62	58	32	35	55	52	13	29	25	37	9	14	54	34	109	0									
6	Число погашенных избирательных бюллетеней	7546	207	185	223	177	160	260	373	339	299	347	371	321	367	325	365	458	418	385	343	436	436	402	349	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	867	12	21	36	41	81	10	15	33	62	58	32	35	55	52	13	29	25	37	9	14	54	34	109	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	40787	1185	976	1289	1043	733	1377	1987	2059	1763	1753	1942	1712	1749	1695	1880	2300	2134	2162	2076	2094	2211	2053	2267	347									
9	Число недействительных избирательных бюллетеней	234	0	0	123	6	6	0	0	0	0	0	2	0	0	0	31	25	0	0	31	0	10	0	0	0									
10	Число действительных избирательных бюллетеней	41420	1197	997	1202	1078	808	1387	2002	2092	1825	1811	1972	1747	1804	1747	1862	2304	2159	2199	2054	2108	2255	2087	2376	347									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	944	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	60	45	40	40	40	40	40	39	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	542	5	12	11	9	14	12	14	22	23	21	20	23	29	16	27	50	40	40	40	32	25	33	24	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	1	0	0	0	2	3	3	2	0	1	3	0	5	3	0	6	3	0	0	6	3	4	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	402	35	28	29	31	26	28	26	18	17	19	20	17	11	24	13	10	5	0	0	8	15	7	15	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	1	1	2	0	1	1	0	2	4	0	3	0	4	1	1	2	0	1	4	1	3	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	127	0	4	2	2	9	3	11	3	9	1	3	7	5	12	4	6	0	9	7	15	2	13	0	0									
		0.30%	0.00%	0.40%	0.15%	0.18%	1.11%	0.22%	0.55%	0.14%	0.49%	0.06%	0.15%	0.40%	0.28%	0.69%	0.21%	0.26%	0.00%	0.41%	0.34%	0.71%	0.09%	0.62%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	217	0	2	5	5	13	7	16	6	18	5	2	11	6	14	4	16	0	18	11	23	17	18	0	0									
		0.52%	0.00%	0.20%	0.38%	0.46%	1.60%	0.50%	0.80%	0.29%	0.99%	0.28%	0.10%	0.63%	0.33%	0.80%	0.21%	0.69%	0.00%	0.82%	0.53%	1.09%	0.75%	0.86%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	232	0	7	7	3	7	7	4	11	14	2	5	2	8	17	2	31	0	14	32	21	30	8	0	0									
		0.56%	0.00%	0.70%	0.53%	0.28%	0.86%	0.50%	0.20%	0.53%	0.77%	0.11%	0.25%	0.11%	0.44%	0.97%	0.11%	1.33%	0.00%	0.64%	1.53%	0.99%	1.32%	0.38%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	35975	1047	862	1036	938	703	1210	1742	1826	1588	1576	1716	1522	1565	1520	1620	2026	1739	1913	1834	1834	1962	1816	2068	312									
		86.37%	87.47%	86.46%	78.19%	86.53%	86.36%	87.24%	87.01%	87.28%	87.01%	87.02%	86.93%	87.12%	86.75%	87.01%	85.58%	86.99%	80.55%	86.99%	87.96%	87.00%	86.62%	87.01%	87.04%	89.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	76	0	5	0	3	0	1	10	2	4	0	0	6	2	7	0	0	0	12	13	1	5	5	0	0									
		0.18%	0.00%	0.50%	0.00%	0.28%	0.00%	0.07%	0.50%	0.10%	0.22%	0.00%	0.00%	0.34%	0.11%	0.40%	0.00%	0.00%	0.00%	0.55%	0.62%	0.05%	0.22%	0.24%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	58	0	2	0	1	0	0	12	3	2	6	0	1	1	0	0	0	0	4	0	22	0	4	0	0									
		0.14%	0.00%	0.20%	0.00%	0.09%	0.00%	0.00%	0.60%	0.14%	0.11%	0.33%	0.00%	0.06%	0.06%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	1.04%	0.00%	0.19%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1280	50	30	36	64	24	57	30	76	49	43	77	54	90	61	120	54	18	47	53	45	53	61	71	17									
		3.07%	4.18%	3.01%	2.72%	5.90%	2.95%	4.11%	1.50%	3.63%	2.68%	2.37%	3.90%	3.09%	4.99%	3.49%	6.34%	2.32%	0.83%	2.14%	2.54%	2.13%	2.34%	2.92%	2.99%	4.90%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	84	0	0	0	0	3	0	16	2	5	9	0	8	5	3	2	0	0	21	4	2	1	3	0	0									
		0.20%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.80%	0.10%	0.27%	0.50%	0.00%	0.46%	0.28%	0.17%	0.11%	0.00%	0.00%	0.95%	0.19%	0.09%	0.04%	0.14%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	99	0	8	0	0	3	0	6	1	3	6	1	2	6	2	0	0	0	6	0	51	0	4	0	0									
		0.24%	0.00%	0.80%	0.00%	0.00%	0.37%	0.00%	0.30%	0.05%	0.16%	0.33%	0.05%	0.11%	0.33%	0.11%	0.00%	0.00%	0.00%	0.27%	0.00%	2.42%	0.00%	0.19%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	41	0	4	0	0	0	0	10	2	4	6	1	1	1	0	0	0	0	5	2	3	0	2	0	0									
		0.10%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.50%	0.10%	0.22%	0.33%	0.05%	0.06%	0.06%	0.00%	0.00%	0.00%	0.00%	0.23%	0.10%	0.14%	0.00%	0.10%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	223	0	1	0	0	7	7	24	4	11	1	4	17	7	8	4	33	0	32	16	25	6	16	0	0									
		0.54%	0.00%	0.10%	0.00%	0.00%	0.86%	0.50%	1.20%	0.19%	0.60%	0.06%	0.20%	0.97%	0.39%	0.46%	0.21%	1.42%	0.00%	1.46%	0.77%	1.19%	0.26%	0.77%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2158	53	33	103	58	25	67	87	80	72	146	122	67	99	81	88	52	389	67	51	51	140	67	142	18									
		5.18%	4.43%	3.31%	7.77%	5.35%	3.07%	4.83%	4.35%	3.82%	3.95%	8.06%	6.18%	3.84%	5.49%	4.64%	4.65%	2.23%	18.02%	3.05%	2.45%	2.42%	6.18%	3.21%	5.98%	5.19%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	100	0	12	0	1	0	0	8	4	4	0	4	2	5	1	9	23	0	8	0	7	4	8	0	0									
		0.24%	0.00%	1.20%	0.00%	0.09%	0.00%	0.00%	0.40%	0.19%	0.22%	0.00%	0.20%	0.11%	0.28%	0.06%	0.48%	0.99%	0.00%	0.36%	0.00%	0.33%	0.18%	0.38%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	750	47	27	13	3	14	28	26	72	42	10	37	47	4	21	9	63	13	43	31	8	35	62	95	0									
		1.80%	3.93%	2.71%	0.98%	0.28%	1.72%	2.02%	1.30%	3.44%	2.30%	0.55%	1.87%	2.69%	0.22%	1.20%	0.48%	2.71%	0.60%	1.96%	1.49%	0.38%	1.55%	2.97%	3.99%	0.00%									
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
