Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Апшеронская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357					
1	"Число избирателей, внесенных в списки избирателей"	66004	2631	2407	363	2534	1259	1872	1626	2303	2506	1491	2400	2573	2053	1989	1793	499	213	1861	1475	1715	2299	2356	2171	256	504	2030	911	904	684	686	196	632	1171	1173	166	379	322	172	1803	73	474	259	87	38	1358	242	738	673	649	1596	755	831	694	209	2052	677	221					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	66600	2692	2467	360	2590	1237	1862	1578	2151	2488	1548	2382	2563	2002	1979	1727	494	226	1835	1450	1677	2287	2310	2129	270	487	2115	972	1004	751	738	236	646	1254	1273	165	390	329	185	1793	76	489	280	81	46	1472	253	788	684	645	1610	728	841	738	230	2093	680	224					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	32878	1223	1057	168	1009	476	949	670	1077	1179	806	1222	1282	978	949	886	181	121	916	761	888	1146	1190	1030	122	216	975	478	572	377	433	149	301	429	648	92	169	147	135	849	41	221	124	63	15	798	171	417	307	323	973	479	416	383	155	1235	371	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3347	68	68	9	31	188	36	72	47	99	53	83	73	62	32	55	50	30	75	77	45	68	103	125	32	26	157	83	79	124	100	4	41	68	111	32	62	69	17	139	0	94	22	4	10	24	3	33	42	22	75	40	44	48	9	120	46	18					
6	Число погашенных избирательных бюллетеней	30375	1401	1342	183	1550	573	877	836	1027	1210	689	1077	1208	962	998	786	263	75	844	612	744	1073	1017	974	116	245	983	411	353	250	205	83	304	757	514	41	159	113	33	805	35	174	134	14	21	650	79	338	335	300	562	209	381	307	66	738	263	76					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3346	68	67	9	31	188	36	72	47	99	53	83	73	62	32	55	50	30	75	77	45	68	103	125	32	26	157	83	79	124	100	4	41	68	111	32	62	69	17	139	0	94	22	4	10	24	3	33	42	22	75	40	44	48	9	120	46	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32878	1223	1057	168	1009	476	949	670	1077	1179	806	1222	1282	978	949	886	181	121	916	761	888	1146	1190	1030	122	216	975	478	572	377	433	149	301	429	648	92	169	147	135	849	41	221	124	63	15	798	171	417	307	323	973	479	416	383	155	1235	371	130					
9	Число недействительных избирательных бюллетеней	777	17	20	2	5	22	10	18	7	14	19	22	34	12	32	17	8	3	14	18	16	24	128	8	7	5	17	3	5	2	8	5	2	26	17	3	15	3	7	28	0	1	0	0	0	19	2	15	22	13	16	0	8	11	3	35	5	4					
10	Число действительных избирательных бюллетеней	35447	1274	1104	175	1035	642	975	724	1117	1264	840	1283	1321	1028	949	924	223	148	977	820	917	1190	1165	1147	147	237	1115	558	646	499	525	148	340	471	742	121	216	213	145	960	41	314	146	67	25	803	172	435	327	332	1032	519	452	420	161	1320	412	144					
