Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																								
Дата голосования: 02.12.2007																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Наро-Фоминская																																																																																																								
																																																																																																								
Сводная таблица результатов выборов																																																																																																								
																																																																																																								
		Сумма	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669					
1	"Число избирателей, внесенных в списки избирателей"	158598	2908	1689	1631	2059	2378	2167	2200	2436	2542	2610	1061	1323	1440	785	288	1522	1738	2125	1162	1048	2750	2594	1731	2066	2755	1238	2520	2594	1196	580	136	538	1302	1616	1318	1471	999	1852	2148	1066	1175	1713	490	2161	2215	267	188	366	1342	1287	2547	1667	2703	3144	1522	2976	2369	2048	2698	2504	1284	2127	1532	1582	2236	2590	2616	2347	1088	2293	681	1513	530	559	2391	2284	1047	292	1254	535	802	654	1172	2863	1614	460	2132	1734	1245	2734	1854	1142	1030	1876	782	1285	1474					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	113400	1900	1200	1100	1400	1700	1500	1600	1700	1800	1900	700	900	1000	500	200	1100	1200	1500	800	700	2100	2000	1450	1600	1900	1400	1600	1700	800	400	150	400	900	1100	900	1000	700	1300	1500	800	800	1200	300	1600	1500	250	150	300	1000	900	2200	1300	2000	2400	1100	2000	1700	1500	2000	1800	900	1500	1000	1100	1500	1700	1800	1600	700	1600	400	1000	400	400	1500	1550	800	300	1000	500	600	500	900	2000	1100	300	1500	1200	800	2650	1300	850	700	1200	500	900	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	84644	1332	804	888	1117	1109	1041	1030	1184	1120	1185	472	591	759	297	119	759	831	959	527	606	1859	1835	1335	1265	1535	1062	1362	1471	566	375	32	246	583	746	584	699	411	949	973	426	487	701	193	1038	1038	132	106	180	781	739	2012	1078	1420	2112	674	1949	1172	1347	1433	1419	697	1046	688	709	988	1315	1529	1242	596	1249	302	637	351	287	1378	1273	610	287	809	304	478	311	607	1577	807	197	1115	886	645	1324	1083	618	532	1112	322	701	977					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3734	56	40	23	21	28	42	36	33	35	65	34	31	36	26	15	10	16	36	34	10	18	23	15	10	29	176	26	1	2	3	85	18	11	4	20	8	26	21	21	34	40	29	21	131	89	47	20	17	9	27	45	22	13	20	16	0	10	44	14	21	15	30	37	25	35	146	29	59	14	19	54	100	32	38	21	138	10	0	188	120	58	68	114	67	78	38	11	10	37	43	6	50	63	9	115	37	7					
6	Число погашенных избирательных бюллетеней	25021	512	356	189	262	563	416	534	483	645	650	194	278	205	177	66	331	353	505	239	84	223	142	100	325	336	162	212	228	232	22	33	136	306	350	296	293	263	330	506	340	273	470	86	431	373	71	24	103	210	134	143	200	567	268	410	51	518	109	553	360	188	424	275	366	477	239	242	299	90	332	44	263	17	75	101	139	180	13	3	76	64	121	179	356	215	65	374	304	118	1283	211	182	105	79	63	162	66					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3733	56	40	23	21	28	42	36	33	35	65	34	31	36	26	15	10	16	36	34	10	18	23	15	10	29	176	26	1	2	3	85	18	11	4	20	8	26	21	21	34	40	29	21	131	89	47	20	17	9	27	45	22	12	20	16	0	10	44	14	21	15	30	37	25	35	146	29	59	14	19	54	100	32	38	21	138	10	0	188	120	58	68	114	67	78	38	11	10	37	43	6	50	63	9	115	37	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	84598	1328	804	885	1117	1109	1041	1030	1184	1120	1185	472	590	759	297	119	759	831	959	527	606	1856	1835	1335	1262	1531	1062	1362	1471	566	375	32	246	583	746	584	699	410	949	973	426	484	701	191	1038	1038	132	106	180	781	737	2012	1078	1420	2112	674	1949	1172	1347	1433	1419	697	1046	688	709	988	1315	1529	1242	596	1249	302	637	351	287	1378	1259	607	287	809	304	478	311	607	1574	807	197	1115	886	645	1324	1083	618	532	1112	322	701	977					
9	Число недействительных избирательных бюллетеней	1027	16	3	8	15	11	11	20	14	14	12	8	15	15	0	1	5	7	8	4	4	43	13	15	24	12	13	21	9	5	2	1	5	8	10	11	5	1	17	11	4	7	12	1	11	15	4	0	1	10	17	18	7	20	21	6	17	14	31	19	5	11	14	15	10	23	15	15	19	7	18	7	5	7	4	10	0	8	0	10	5	9	6	10	22	14	8	7	6	6	24	13	10	3	9	2	6	12					
10	Число действительных избирательных бюллетеней	87304	1368	841	900	1123	1126	1072	1046	1203	1141	1238	498	606	780	323	133	764	840	987	557	612	1831	1845	1335	1248	1548	1225	1367	1463	563	376	116	259	586	740	593	702	435	953	983	456	517	718	211	1158	1112	175	126	196	780	747	2039	1093	1412	2111	684	1932	1168	1360	1428	1435	701	1062	710	724	1000	1446	1543	1282	603	1250	349	732	376	321	1389	1397	609	287	987	419	527	373	711	1619	871	227	1119	890	676	1343	1076	658	592	1112	435	732	972					
