Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																										
Дата голосования: 02.12.2007																																																																																																										
																																																																																																										
Наименование Избирательной комиссии:    Братская городская																																																																																																										
																																																																																																										
Сводная таблица результатов выборов																																																																																																										
																																																																																																										
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305					
1	"Число избирателей, внесенных в списки избирателей"	197406	1759	1599	2793	2070	1914	2108	1865	2036	2019	1823	2378	1729	2082	2121	1927	1918	2744	2886	2496	2613	2402	2001	1836	2863	2791	2162	2495	2333	2493	2351	2433	2235	2409	2675	2506	1833	2630	2590	2781	2588	2273	2479	2024	2346	2219	2206	1978	2054	2084	1896	2335	2111	207	290	1255	920	1339	1939	1907	1506	1477	1282	1153	2032	2196	1847	2277	2193	2114	2017	2369	2676	2490	1739	2826	2534	2066	1992	2222	193	303	1681	1938	2438	2234	2406	2231	837	2886	1108	929	997	955	170	2493	2094	2306	1290	1760					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	191882	1700	1500	2700	1900	1900	2000	1800	2000	2000	1800	2300	1700	2000	2000	1900	1800	2700	2900	2400	2600	2400	1900	1800	2800	2800	2000	2500	2300	2500	2300	2400	2200	2400	2600	2500	1700	2600	2600	2700	2500	2200	2300	2000	2300	2200	2200	1900	2000	2000	1800	2300	2000	203	299	1200	920	1300	1800	1800	1500	1400	1200	1100	1900	2200	1800	2300	2200	2000	2000	2300	2600	2500	1700	2200	2500	2000	2000	2200	210	250	1700	1900	2400	2200	2400	2000	800	2900	1000	900	900	900	200	2500	2000	2300	1300	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	106585	664	659	1254	1194	998	1067	988	1084	1058	893	1264	859	900	970	842	835	1585	1713	1452	1468	1311	1031	1046	1614	1574	1190	1338	1242	1305	1432	1413	1325	1411	1555	1373	1031	1380	1513	1499	1481	1082	1234	1095	1300	1269	1212	1180	1200	1140	1037	1324	1050	146	182	500	920	688	1041	850	798	850	580	607	1178	1328	1076	1295	1331	1179	1168	1414	1570	1426	979	2031	1431	1222	1126	1332	145	222	886	973	1320	1244	1333	924	437	1299	500	358	512	437	100	1257	1010	1065	547	834					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4581	84	85	59	46	46	35	36	30	56	42	49	47	27	42	87	57	55	62	52	45	48	37	45	46	36	51	38	53	56	32	30	28	39	34	47	22	10	39	37	37	281	99	28	18	29	20	40	22	35	40	20	96	55	105	150	0	40	30	37	77	44	25	50	58	12	17	20	20	8	23	27	35	66	33	14	18	38	52	75	36	7	38	39	35	36	34	111	19	47	40	68	36	21	65	43	77	58	57	50					
6	Число погашенных избирательных бюллетеней	80716	952	756	1387	660	856	898	776	886	886	865	987	794	1073	988	971	908	1060	1125	896	1087	1041	832	709	1140	1190	759	1124	1005	1139	836	957	847	950	1011	1080	647	1210	1048	1164	982	837	967	877	982	902	968	680	778	825	723	956	854	2	12	550	0	572	729	913	625	506	595	443	664	860	707	985	849	813	809	859	995	1008	688	155	1051	740	822	793	29	21	776	888	1045	920	1033	965	344	1554	460	474	352	442	35	1200	913	1177	696	816					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4581	84	85	59	46	46	35	36	30	56	42	49	47	27	42	87	57	55	62	52	45	48	37	45	46	36	51	38	53	56	32	30	28	39	34	47	22	10	39	37	37	281	99	28	18	29	20	40	22	35	40	20	96	55	105	150	0	40	30	37	77	44	25	50	58	12	17	20	20	8	23	27	35	66	33	14	18	38	52	75	36	7	38	39	35	36	34	111	19	47	40	68	36	21	65	43	77	58	57	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	106535	664	659	1254	1194	998	1067	987	1084	1058	893	1264	859	900	961	842	835	1585	1712	1449	1464	1311	1029	1044	1610	1570	1190	1338	1242	1305	1432	1410	1324	1411	1555	1373	1031	1378	1513	1499	1481	1081	1234	1093	1299	1269	1211	1179	1199	1140	1034	1324	1050	146	182	500	919	688	1041	850	798	850	580	607	1178	1328	1076	1295	1331	1179	1168	1413	1570	1425	979	2031	1430	1222	1126	1332	145	222	886	973	1320	1244	1333	924	437	1299	500	358	512	437	100	1257	1010	1065	547	834					
9	Число недействительных избирательных бюллетеней	881	5	11	9	13	13	6	3	7	20	7	7	8	9	7	8	11	7	21	11	9	13	5	9	16	8	6	9	11	7	9	10	9	8	11	11	8	9	8	9	19	12	19	12	8	11	12	13	8	2	10	10	4	2	3	0	24	5	13	2	12	5	9	3	14	16	11	10	6	11	12	16	11	10	7	24	7	8	3	13	1	0	10	12	4	8	7	7	3	14	2	1	6	4	1	10	6	8	4	8					
10	Число действительных избирательных бюллетеней	110235	743	733	1304	1227	1031	1096	1020	1107	1094	928	1306	898	918	996	921	881	1633	1753	1490	1500	1346	1061	1080	1640	1598	1235	1367	1284	1354	1455	1430	1343	1442	1578	1409	1045	1379	1544	1527	1499	1350	1314	1109	1309	1287	1219	1206	1213	1173	1064	1334	1142	199	284	650	895	723	1058	885	863	889	596	654	1222	1324	1082	1305	1345	1176	1179	1424	1594	1481	1005	2021	1441	1252	1175	1394	180	229	914	1000	1351	1272	1360	1028	453	1332	538	425	542	454	164	1290	1081	1115	600	876					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3727	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	50	30	30	30	30	30	30	40	40	30	30	30	60	50	30	32	50	30	50	100	30	50	40	30	30	30	30	30	30	40	30	30	30	50	30	10	10	30	10	30	30	30	30	100	30	30	35	50	50	50	55	50	50	40	40	40	40	100	100	40	40	40	10	30	40	30	60	45	50	100	30	45	30	40	30	30	10	30	30	35	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2647	7	10	21	16	24	17	24	19	30	22	21	21	20	20	23	12	20	47	23	27	27	20	17	29	38	36	13	22	23	40	37	18	32	37	30	35	80	30	37	30	20	19	20	26	24	26	35	17	25	22	43	22	0	0	4	0	14	17	21	19	46	19	25	35	37	50	49	51	47	48	37	29	30	36	59	35	37	35	40	0	9	36	21	51	35	40	35	12	36	13	31	15	9	0	27	26	33	23	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2321	8	5	15	9	15	15	16	11	8	12	20	11	5	12	17	14	13	24	24	18	22	16	13	16	19	18	11	8	22	17	15	14	7	19	13	88	14	17	29	15	17	14	7	13	5	6	10	14	8	14	15	31	10	21	19	43	10	19	14	20	44	19	19	20	16	13	9	13	17	18	16	25	13	29	730	20	28	11	23	21	19	12	12	15	7	12	22	13	16	11	10	21	13	18	4	16	9	8	4					
14	Число погашенных неиспользованных открепительных удостоверений	1080	23	20	9	14	6	13	6	11	10	8	9	9	10	10	7	18	10	3	7	3	3	10	13	1	2	4	17	8	7	20	13	12	0	13	0	15	20	0	13	10	10	11	10	4	6	4	5	13	5	8	7	8	10	10	26	10	16	13	9	11	54	11	5	0	13	0	1	4	3	2	3	11	10	4	41	65	3	5	0	10	21	4	9	9	10	10	65	18	9	17	9	15	21	10	3	4	2	7	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	0	0	0	0	3	0	3	1	0	1	0	1	0	1	0	0	1	0	3	1	0	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																										
18	1.Политическая партия «Аграрная партия России»	3087	18	13	25	34	27	25	31	20	38	24	38	19	25	17	24	17	44	51	54	45	33	30	31	41	46	47	38	36	36	44	51	30	43	37	42	21	32	46	54	44	44	37	29	34	38	41	44	34	35	35	46	25	4	14	18	19	20	25	35	33	28	15	22	27	36	38	27	48	24	37	43	51	45	37	45	47	47	25	40	6	5	18	28	38	33	41	25	18	32	14	7	13	4	6	33	34	42	13	14					
		2.78%	2.41%	1.75%	1.90%	2.74%	2.59%	2.27%	3.03%	1.80%	3.41%	2.57%	2.89%	2.10%	2.70%	1.69%	2.58%	1.91%	2.68%	2.87%	3.60%	2.98%	2.43%	2.81%	2.85%	2.48%	2.86%	3.79%	2.76%	2.78%	2.65%	3.01%	3.54%	2.22%	2.97%	2.33%	2.96%	1.99%	2.31%	2.96%	3.52%	2.90%	3.23%	2.78%	2.59%	2.58%	2.93%	3.33%	3.61%	2.78%	2.98%	3.26%	3.42%	2.18%	1.99%	4.88%	2.77%	2.07%	2.75%	2.33%	3.95%	3.77%	3.13%	2.48%	3.35%	2.18%	2.69%	3.48%	2.05%	3.55%	2.02%	3.11%	2.99%	3.18%	3.02%	3.66%	2.20%	3.25%	3.73%	2.12%	2.84%	3.31%	2.18%	1.95%	2.77%	2.80%	2.58%	2.99%	2.42%	3.95%	2.38%	2.59%	1.64%	2.37%	0.87%	3.64%	2.54%	3.13%	3.74%	2.15%	1.58%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1029	4	4	8	11	4	10	2	7	6	7	9	3	6	10	6	8	21	19	14	17	15	9	6	15	18	16	11	9	9	18	17	15	22	18	18	10	0	12	13	9	11	18	10	18	12	9	24	18	12	10	17	13	2	1	9	12	2	7	4	10	7	2	7	19	13	10	13	22	16	18	19	14	19	6	32	12	13	6	6	2	0	14	6	11	11	14	4	6	7	4	0	2	3	1	10	11	7	2	5					
		0.93%	0.53%	0.54%	0.61%	0.89%	0.38%	0.91%	0.20%	0.63%	0.54%	0.75%	0.69%	0.33%	0.65%	0.99%	0.65%	0.90%	1.28%	1.07%	0.93%	1.13%	1.10%	0.84%	0.55%	0.91%	1.12%	1.29%	0.80%	0.69%	0.66%	1.23%	1.18%	1.11%	1.52%	1.13%	1.27%	0.95%	0.00%	0.77%	0.85%	0.59%	0.81%	1.35%	0.89%	1.37%	0.92%	0.73%	1.97%	1.47%	1.02%	0.93%	1.26%	1.13%	0.99%	0.35%	1.38%	1.31%	0.27%	0.65%	0.45%	1.14%	0.78%	0.33%	1.07%	1.54%	0.97%	0.91%	0.99%	1.63%	1.35%	1.51%	1.32%	0.87%	1.27%	0.59%	1.56%	0.83%	1.03%	0.51%	0.43%	1.10%	0.00%	1.52%	0.59%	0.81%	0.86%	1.02%	0.39%	1.32%	0.52%	0.74%	0.00%	0.36%	0.66%	0.61%	0.77%	1.01%	0.62%	0.33%	0.57%					
20	3.Политическая партия «Демократическая партия России»	160	1	1	2	2	4	0	1	1	2	0	4	1	1	2	2	0	4	0	0	0	1	3	2	3	4	2	0	3	1	2	1	1	6	2	1	3	2	2	1	2	1	2	0	0	0	2	0	2	0	1	6	3	1	0	3	11	1	2	0	1	1	1	0	0	1	3	3	1	1	1	3	0	4	0	5	3	1	3	1	0	0	2	0	0	4	1	1	0	3	1	0	2	1	0	3	1	1	2	0					
		0.14%	0.13%	0.13%	0.15%	0.16%	0.38%	0.00%	0.10%	0.09%	0.18%	0.00%	0.30%	0.11%	0.11%	0.20%	0.22%	0.00%	0.24%	0.00%	0.00%	0.00%	0.07%	0.28%	0.18%	0.18%	0.25%	0.16%	0.00%	0.23%	0.07%	0.14%	0.07%	0.07%	0.41%	0.13%	0.07%	0.28%	0.14%	0.13%	0.07%	0.13%	0.07%	0.15%	0.00%	0.00%	0.00%	0.16%	0.00%	0.16%	0.00%	0.09%	0.45%	0.26%	0.50%	0.00%	0.46%	1.20%	0.14%	0.19%	0.00%	0.11%	0.11%	0.17%	0.00%	0.00%	0.07%	0.27%	0.23%	0.07%	0.08%	0.08%	0.21%	0.00%	0.27%	0.00%	0.24%	0.21%	0.08%	0.25%	0.07%	0.00%	0.00%	0.22%	0.00%	0.00%	0.31%	0.07%	0.10%	0.00%	0.22%	0.19%	0.00%	0.36%	0.22%	0.00%	0.23%	0.09%	0.09%	0.33%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	11812	51	60	99	115	133	91	101	115	96	73	119	97	81	97	90	70	211	205	165	159	123	101	106	216	175	121	120	150	131	179	126	117	154	177	142	98	92	186	129	176	132	134	108	141	121	133	151	137	120	134	137	144	26	33	61	26	45	124	100	94	85	86	89	145	140	135	148	141	106	154	179	242	200	114	134	149	161	166	223	22	25	95	117	168	155	178	106	56	160	50	39	74	41	20	126	170	118	65	82					
		10.63%	6.82%	8.06%	7.54%	9.27%	12.74%	8.26%	9.87%	10.32%	8.62%	7.81%	9.06%	10.71%	8.74%	9.67%	9.69%	7.85%	12.87%	11.56%	10.99%	10.54%	9.05%	9.47%	9.73%	13.04%	10.90%	9.75%	8.72%	11.58%	9.63%	12.23%	8.75%	8.65%	10.62%	11.14%	10.00%	9.31%	6.63%	11.98%	8.40%	11.59%	9.69%	10.05%	9.63%	10.71%	9.32%	10.80%	12.39%	11.22%	10.21%	12.48%	10.19%	12.57%	12.94%	11.50%	9.38%	2.83%	6.18%	11.58%	11.27%	10.74%	9.51%	14.21%	13.55%	11.73%	10.45%	12.35%	11.25%	10.44%	8.93%	12.93%	12.43%	15.08%	13.41%	11.26%	6.55%	10.29%	12.78%	14.09%	15.85%	12.15%	10.92%	10.28%	11.56%	12.40%	12.11%	13.02%	10.24%	12.28%	11.89%	9.26%	9.15%	13.50%	8.95%	12.12%	9.69%	15.64%	10.51%	10.76%	9.28%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1734	6	3	14	26	20	14	9	12	11	11	9	5	8	10	8	7	12	18	30	15	7	9	6	20	16	30	26	35	29	29	14	14	26	28	10	16	14	15	29	12	13	30	18	22	32	22	29	23	25	13	19	11	0	2	3	7	1	4	8	19	14	6	14	21	36	32	34	23	28	46	73	22	38	17	39	25	28	23	40	4	1	12	7	26	23	22	9	6	27	8	3	20	10	1	14	18	15	7	8					
		1.56%	0.80%	0.40%	1.07%	2.10%	1.92%	1.27%	0.88%	1.08%	0.99%	1.18%	0.69%	0.55%	0.86%	0.99%	0.86%	0.78%	0.73%	1.01%	1.99%	0.99%	0.52%	0.84%	0.55%	1.21%	0.99%	2.42%	1.89%	2.70%	2.13%	1.98%	0.97%	1.04%	1.79%	1.76%	0.70%	1.52%	1.01%	0.97%	1.89%	0.79%	0.95%	2.25%	1.61%	1.67%	2.47%	1.79%	2.38%	1.88%	2.13%	1.21%	1.41%	0.96%	0.00%	0.70%	0.46%	0.76%	0.14%	0.37%	0.90%	2.17%	1.57%	0.99%	2.13%	1.70%	2.69%	2.93%	2.59%	1.70%	2.36%	3.86%	5.07%	1.37%	2.55%	1.68%	1.91%	1.73%	2.22%	1.95%	2.84%	2.21%	0.44%	1.30%	0.69%	1.92%	1.80%	1.61%	0.87%	1.32%	2.01%	1.48%	0.70%	3.65%	2.18%	0.61%	1.08%	1.66%	1.34%	1.16%	0.90%					
23	6.Политическая партия «Партия социальной справедливости»	288	3	1	3	3	5	2	3	5	3	4	5	0	2	2	1	4	5	4	5	5	2	6	1	10	9	7	2	4	0	3	2	6	6	5	3	2	5	4	4	3	1	6	4	2	1	7	3	5	9	4	4	2	0	1	0	3	0	2	3	2	5	0	1	0	4	3	2	2	1	3	4	7	2	1	9	3	2	3	0	0	0	0	1	2	2	2	3	2	1	2	2	1	0	0	3	3	1	1	2					
		0.26%	0.40%	0.13%	0.23%	0.24%	0.48%	0.18%	0.29%	0.45%	0.27%	0.43%	0.38%	0.00%	0.22%	0.20%	0.11%	0.45%	0.30%	0.23%	0.33%	0.33%	0.15%	0.56%	0.09%	0.60%	0.56%	0.56%	0.15%	0.31%	0.00%	0.20%	0.14%	0.44%	0.41%	0.31%	0.21%	0.19%	0.36%	0.26%	0.26%	0.20%	0.07%	0.45%	0.36%	0.15%	0.08%	0.57%	0.25%	0.41%	0.77%	0.37%	0.30%	0.17%	0.00%	0.35%	0.00%	0.33%	0.00%	0.19%	0.34%	0.23%	0.56%	0.00%	0.15%	0.00%	0.30%	0.27%	0.15%	0.15%	0.08%	0.25%	0.28%	0.44%	0.13%	0.10%	0.44%	0.21%	0.16%	0.25%	0.00%	0.00%	0.00%	0.00%	0.10%	0.15%	0.16%	0.15%	0.29%	0.44%	0.07%	0.37%	0.47%	0.18%	0.00%	0.00%	0.23%	0.28%	0.09%	0.17%	0.23%					
24	7.Политическая партия «Либерально-демократическая партия России»	16574	121	130	193	201	148	157	140	163	166	151	209	154	143	155	142	126	213	217	211	180	182	175	169	229	243	182	215	164	193	221	227	219	208	245	218	168	258	229	209	211	183	196	197	216	197	206	147	190	165	145	181	165	34	31	101	387	65	214	146	118	139	87	97	201	193	196	215	176	193	164	159	217	210	148	336	214	173	143	208	22	32	130	155	221	170	222	160	69	192	63	72	67	76	15	186	151	144	93	96					
		14.92%	16.18%	17.47%	14.70%	16.21%	14.18%	14.25%	13.69%	14.63%	14.90%	16.15%	15.92%	16.99%	15.43%	15.45%	15.29%	14.13%	12.99%	12.23%	14.06%	11.93%	13.39%	16.42%	15.52%	13.83%	15.13%	14.67%	15.63%	12.66%	14.18%	15.10%	15.76%	16.20%	14.34%	15.42%	15.35%	15.95%	18.59%	14.76%	13.61%	13.90%	13.44%	14.70%	17.57%	16.40%	15.18%	16.73%	12.06%	15.56%	14.04%	13.50%	13.47%	14.40%	16.92%	10.80%	15.54%	42.11%	8.93%	19.98%	16.46%	13.49%	15.55%	14.38%	14.76%	16.26%	14.40%	17.93%	16.35%	13.03%	16.26%	13.77%	11.04%	13.52%	14.08%	14.62%	16.43%	14.78%	13.73%	12.14%	14.78%	12.15%	13.97%	14.07%	15.32%	16.31%	13.28%	16.24%	15.46%	15.13%	14.26%	11.67%	16.90%	12.23%	16.59%	9.09%	14.31%	13.89%	12.82%	15.40%	10.86%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11143	57	42	99	99	110	121	120	84	107	71	131	75	65	77	95	62	175	215	176	192	175	121	127	160	167	140	173	145	119	149	143	153	140	144	137	95	92	139	146	134	150	127	106	125	113	116	139	119	134	107	148	118	18	25	38	22	56	55	60	77	85	41	53	112	155	97	122	110	103	134	149	161	158	107	168	166	147	140	168	14	25	119	101	166	110	165	101	33	183	77	51	69	61	22	179	120	132	80	134					
		10.03%	7.62%	5.65%	7.54%	7.98%	10.54%	10.98%	11.73%	7.54%	9.61%	7.59%	9.98%	8.28%	7.01%	7.68%	10.23%	6.95%	10.67%	12.12%	11.73%	12.72%	12.88%	11.35%	11.66%	9.66%	10.40%	11.28%	12.57%	11.20%	8.74%	10.18%	9.93%	11.32%	9.66%	9.06%	9.65%	9.02%	6.63%	8.96%	9.51%	8.83%	11.01%	9.53%	9.46%	9.49%	8.71%	9.42%	11.40%	9.75%	11.40%	9.96%	11.01%	10.30%	8.96%	8.71%	5.85%	2.39%	7.69%	5.14%	6.76%	8.80%	9.51%	6.78%	8.07%	9.06%	11.57%	8.87%	9.28%	8.14%	8.68%	11.25%	10.35%	10.03%	10.60%	10.57%	8.22%	11.46%	11.67%	11.88%	11.94%	7.73%	10.92%	12.88%	9.98%	12.25%	8.59%	12.07%	9.76%	7.24%	13.60%	14.26%	11.97%	12.59%	13.32%	13.33%	13.77%	11.04%	11.75%	13.25%	15.16%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1325	5	11	9	5	14	5	6	13	6	7	17	13	8	13	11	9	13	21	20	13	18	4	12	13	12	13	7	11	10	15	12	14	20	20	11	18	11	18	19	19	16	12	14	14	14	8	13	15	12	8	19	6	0	3	7	7	16	13	20	23	5	8	12	20	39	17	17	37	20	12	20	24	34	14	31	23	24	23	14	1	5	11	19	15	11	18	11	10	20	8	4	3	7	4	9	9	13	8	9					
