Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																																																								
																																																																																																																								
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																																																																								
																																																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																								
																																																																																																																								
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №1410	УИК №1411	УИК №1412	УИК №1414	УИК №1416	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1431	УИК №1433	УИК №1436	УИК №1443	УИК №1445	УИК №1447	УИК №1448	УИК №1451	УИК №1453	УИК №1454	УИК №1455	УИК №1457	УИК №1458	УИК №1459	УИК №1462	УИК №1463	УИК №1468	УИК №1472	УИК №1473	УИК №1475	УИК №1477	УИК №1478	УИК №1479	УИК №1485	УИК №1486	УИК №1487	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1496	УИК №1499	УИК №1501	УИК №1504	УИК №1506	УИК №1510	УИК №1511	УИК №1522	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1538	УИК №1539	УИК №1542	УИК №1544	УИК №1554	УИК №1555	УИК №1559					
1	"Число избирателей, внесенных в списки"	120351	2428	2204	2623	2223	1791	2553	2563	2667	2275	3022	2077	3052	2589	2092	1723	2860	2984	3100	2896	2751	2996	2972	3029	1616	2766	2727	2300	2819	2431	1831	2086	1011	2883	2775	2013	3066	2232	2232	3130	3107	1485	2792	3028	3006	2709	2766	1310	39	10	81	30	30	85	94	91	30	68	71	32	26	25	25	29	22	20	21	17	24	20	10	50	125	89	85	30	17	29	28	18	18	26	21	17	18	17	14	30	333	327	29	29	26	25	27	22	28	17	28	14	35	37	18	18	30	29	28	40	17	64	22	346	24	86					
2	"Число бюллетеней, полученных участковыми комиссиями"	111864	2300	2100	2600	2100	1700	2500	2500	2600	2100	2900	2000	2900	2500	2000	1600	2800	2900	2800	2800	2600	2800	2700	2100	1400	2600	2600	2200	2600	2300	1700	2000	900	2600	1900	1900	2900	2100	2100	3000	2200	1300	2700	2800	2900	2600	2600	1300	39	10	81	30	30	85	94	91	30	68	71	32	27	25	25	29	25	20	21	17	24	20	10	50	0	89	85	30	17	29	28	18	18	26	21	17	18	17	14	30	333	327	29	29	26	25	27	22	28	17	28	14	35	37	18	18	30	29	28	40	17	64	22	0	24	86					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	46253	1003	624	896	911	520	998	1035	986	885	1263	586	1208	870	588	660	1004	1145	1176	1011	1037	1237	1183	1593	761	744	865	894	1082	1011	609	879	454	1061	1134	691	1115	716	957	1058	1370	515	659	1053	1013	998	1083	402	39	10	81	30	30	85	94	91	30	68	71	32	26	25	25	29	22	20	21	17	24	20	10	50	0	89	82	30	17	29	28	18	18	26	21	17	18	17	14	30	290	327	29	28	26	25	27	22	28	17	28	14	35	37	18	18	30	27	28	40	17	64	21	0	24	86					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	942	17	12	14	30	10	19	20	18	15	26	16	19	7	12	9	20	43	25	63	18	23	25	83	16	19	25	32	7	20	24	8	17	23	3	14	14	13	13	13	11	15	16	11	8	25	16	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	64669	1280	1464	1690	1159	1170	1483	1445	1596	1200	1611	1398	1673	1623	1400	931	1776	1712	1599	1726	1545	1540	1492	424	623	1837	1710	1274	1511	1269	1067	1113	429	1516	763	1195	1771	1371	1130	1929	819	770	2025	1736	1879	1577	1501	863	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0					
7	Число бюллетеней в переносных ящиках для голосования	1237	17	12	14	30	10	19	20	18	15	26	16	19	7	12	9	20	43	25	63	18	23	25	83	16	19	25	32	7	20	24	8	17	23	3	14	14	13	13	13	11	15	16	11	8	25	16	35	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	26	0	0	0	0	0	0	14	0	0	0	0	0	0	0	40	0	64	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	45908	1003	624	891	909	519	996	1035	986	898	1263	586	1198	870	588	660	992	1145	1172	1009	1037	1233	1183	1590	760	740	865	894	1077	1011	609	879	454	1061	1129	691	1115	716	957	1055	1370	515	659	1053	1013	998	1083	402	39	10	81	30	30	85	94	91	30	68	0	32	26	25	25	29	22	20	0	17	24	20	10	50	0	89	82	0	17	29	28	18	18	26	21	17	18	17	14	30	290	327	0	28	0	25	27	22	28	17	28	0	35	37	18	18	30	27	28	0	17	0	21	0	24	86					
9	Число недействительных бюллетеней	657	14	7	17	21	17	15	9	12	13	18	7	11	16	18	0	8	19	36	6	12	6	25	22	14	8	6	17	12	4	0	8	10	32	36	11	14	7	14	8	23	6	12	0	21	18	25	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных бюллетеней	46488	1006	629	888	918	512	1000	1046	992	900	1271	595	1206	861	582	669	1004	1169	1161	1066	1043	1250	1183	1651	762	751	884	909	1072	1027	633	879	461	1052	1096	694	1115	722	956	1060	1358	524	663	1064	1000	1005	1074	421	39	10	81	30	30	85	94	91	30	68	71	32	26	25	25	29	22	20	21	17	24	20	10	50	0	89	81	30	17	29	28	18	18	26	21	17	18	17	14	30	288	327	29	28	26	25	24	22	28	17	28	14	35	37	18	18	30	27	28	40	17	64	21	0	24	86					
