Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Кинешемская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544					
1	"Число избирателей, внесенных в списки"	20252	470	343	302	385	1186	1546	621	405	340	219	1377	313	1025	1384	245	472	198	292	332	1649	767	849	1766	1578	1381	807					
2	"Число бюллетеней, полученных участковыми комиссиями"	20050	470	330	290	380	1180	1500	600	400	330	210	1380	310	1010	1370	230	450	190	280	330	1620	750	860	1700	1670	1370	840					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9034	231	192	130	182	564	643	204	174	139	157	637	105	497	657	131	236	108	130	174	755	265	374	718	653	639	339					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1960	44	48	39	108	140	152	165	108	97	20	69	63	179	79	60	42	45	71	64	63	49	39	50	81	53	32					
6	Число погашенных бюллетеней	9056	195	90	121	90	476	705	231	118	94	33	674	142	334	634	39	172	37	79	92	802	436	447	932	936	678	469					
7	Число бюллетеней в переносных ящиках для голосования	1960	44	48	39	108	140	152	165	108	97	20	69	63	179	79	60	42	45	71	64	63	49	39	50	81	53	32					
8	Число бюллетеней в стационарных ящиках для голосования	9034	231	192	130	182	564	643	204	174	139	157	637	105	497	657	131	236	108	130	174	755	265	374	718	653	639	339					
9	Число недействительных бюллетеней	123	0	5	3	0	12	9	4	2	3	3	9	3	6	3	0	3	1	0	1	10	3	13	6	7	11	6					
10	Число действительных бюллетеней	10871	275	235	166	290	692	786	365	280	233	174	697	165	670	733	191	275	152	201	237	808	311	400	762	727	681	365					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	210	5	4	3	4	12	15	6	4	3	2	14	3	10	15	2	5	2	3	4	17	8	10	18	17	14	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	0	0	2	0	12	2	1	0	1	1	3	0	7	13	0	0	0	1	4	2	4	3	2	3	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	4	1	1	0	5	1	1	1	0	1	3	0	5	12	2	33	3	0	1	4	0	1	3	1	3	2					
14	Число погашенных открепительных удостоверений	144	5	4	1	4	0	13	5	4	2	1	11	3	3	2	2	5	2	2	0	15	4	7	16	14	11	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	187	2	6	1	7	16	11	3	4	4	6	18	2	12	4	7	8	5	5	5	8	1	5	14	14	11	8					
		1.70%	0.72%	2.5%	0.59%	2.41%	2.27%	1.38%	0.81%	1.41%	1.69%	3.38%	2.54%	1.19%	1.77%	0.54%	3.66%	2.87%	3.26%	2.48%	2.10%	0.97%	0.31%	1.21%	1.82%	1.90%	1.58%	2.15%					
