Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    район Восточное Измайлово 																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №3669	УИК №3670									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41537	1976	408	2037	1679	2131	1875	2065	2119	1901	2166	2324	2028	2058	2322	500	1750	1650	2301	2111	2196	1941	1789	131	79									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30533	1400	418	1500	1200	1600	1400	1500	1500	1400	1600	1700	1500	1500	1700	400	1300	1200	1700	1500	1600	1400	1300	135	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15481	699	144	854	590	749	657	755	769	638	765	923	666	745	871	153	634	614	906	748	881	792	759	90	79									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	954	29	264	28	42	45	31	53	29	20	38	14	16	39	24	9	22	29	22	20	74	48	17	41	0									
6	Число погашенных избирательных бюллетеней	14098	672	10	618	568	806	712	692	702	742	797	763	818	716	805	238	644	557	772	732	645	560	524	4	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	954	29	264	28	42	45	31	53	29	20	38	14	16	39	24	9	22	29	22	20	74	48	17	41	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15411	699	144	852	590	749	657	734	763	638	761	917	650	745	870	153	634	613	904	748	876	791	754	90	79									
9	Число недействительных избирательных бюллетеней	306	12	17	17	7	15	14	19	18	14	15	13	10	14	13	1	21	10	9	17	23	15	12	0	0									
10	Число действительных избирательных бюллетеней	16059	716	391	863	625	779	674	768	774	644	784	918	656	770	881	161	635	632	917	751	927	824	759	131	79									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	549	20	0	30	25	25	20	10	30	20	33	30	20	25	22	39	20	15	30	26	50	30	29	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	462	11	0	28	17	15	20	10	30	19	33	18	16	21	22	30	20	15	20	26	39	30	22	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	556	20	0	42	34	5	16	35	73	32	31	14	15	11	32	17	13	7	12	11	45	15	66	0	10									
