Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Бейская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15722	465	241	158	1294	200	228	1193	340	213	2084	1072	983	88	494	191	199	240	146	576	1114	805	1027	641	108	930	564	128									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14760	440	230	140	1070	190	210	1140	320	200	2000	1000	920	80	480	180	190	230	140	550	1060	780	980	600	90	880	540	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5772	147	124	80	413	88	96	338	111	81	915	429	383	43	176	66	77	71	69	205	314	276	430	186	45	347	230	32									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	528	50	10	5	81	9	21	35	10	2	23	23	39	4	14	5	7	0	1	17	54	27	21	15	2	23	30	0									
6	Число погашенных избирательных бюллетеней	8460	243	96	55	576	93	93	767	199	117	1062	548	498	33	290	109	106	159	70	328	692	477	529	399	43	510	280	88									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	528	50	10	5	81	9	21	35	10	2	23	23	39	4	14	5	7	0	1	17	54	27	21	15	2	23	30	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5772	147	124	80	413	88	96	338	111	81	915	429	383	43	176	66	77	71	69	205	314	276	430	186	45	347	230	32									
9	Число недействительных избирательных бюллетеней	141	5	4	0	9	6	2	5	5	6	23	10	10	2	5	2	3	2	1	3	5	2	15	2	1	3	8	2									
10	Число действительных избирательных бюллетеней	6159	192	130	85	485	91	115	368	116	77	915	442	412	45	185	69	81	69	69	219	363	301	436	199	46	367	252	30									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	15	5	5	30	5	5	30	10	5	50	25	20	5	15	5	5	5	5	15	30	20	30	15	5	20	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	112	4	3	1	2	0	2	10	0	0	17	2	6	5	15	2	1	5	2	1	4	0	12	5	0	4	9	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	136	6	3	4	3	3	2	5	2	1	22	5	6	3	5	3	1	2	2	1	6	2	8	19	3	12	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	288	11	2	4	28	5	3	20	10	5	33	23	14	0	0	3	4	0	3	14	26	20	18	10	5	16	6	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	0	0	0	0	0	0	0	0	19	4	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	55	4	2	0	3	1	0	1	2	1	6	6	3	0	2	0	1	1	0	3	4	8	5	0	0	1	1	0									
		0.87%	2.03%	1.49%	0.00%	0.61%	1.03%	0.00%	0.27%	1.65%	1.20%	0.64%	1.33%	0.71%	0.00%	1.05%	0.00%	1.19%	1.41%	0.00%	1.35%	1.09%	2.64%	1.11%	0.00%	0.00%	0.27%	0.38%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	233	12	4	6	19	4	3	17	6	9	34	13	16	1	10	0	5	1	4	9	17	9	13	3	2	9	4	3									
		3.70%	6.09%	2.99%	7.06%	3.85%	4.12%	2.56%	4.56%	4.96%	10.84%	3.62%	2.88%	3.79%	2.13%	5.26%	0.00%	5.95%	1.41%	5.71%	4.05%	4.62%	2.97%	2.88%	1.49%	4.26%	2.43%	1.54%	9.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	97	4	0	1	7	3	2	6	2	2	21	6	9	2	4	0	0	0	0	2	3	8	6	2	0	6	1	0									
		1.54%	2.03%	0.00%	1.18%	1.42%	3.09%	1.71%	1.61%	1.65%	2.41%	2.24%	1.33%	2.13%	4.26%	2.11%	0.00%	0.00%	0.00%	0.00%	0.90%	0.82%	2.64%	1.33%	0.99%	0.00%	1.62%	0.38%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2682	91	90	44	206	63	65	128	53	38	324	147	157	23	82	45	31	47	30	106	178	154	183	79	31	145	130	12									
