Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Балашихинская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75					
1	"Число избирателей, внесенных в списки избирателей"	164161	2243	2212	2419	2547	2308	2662	2495	2044	2212	1993	2250	1650	2552	2532	2522	2533	2575	2002	2180	869	2734	2641	2556	2397	1971	1986	2013	2314	2222	2003	2474	2161	2941	2887	2376	2655	1304	1876	2387	2355	2621	1291	2834	2726	2525	2145	2014	2417	1509	1522	2740	2250	1818	1362	1106	2710	2857	2557	2725	2732	2095	2591	579	411	1848	2654	2789	2761	2590	2855	1553	2468	1837	786	830					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	164600	2100	2000	2400	2500	2300	2600	2400	2000	2200	2000	2200	1600	2600	2500	2500	2500	2500	2000	2100	900	2800	2600	2500	2400	2000	2000	2000	2300	2200	2000	2400	2100	2800	2800	2300	2600	1300	1900	2400	2300	2300	2500	2500	2600	2400	2100	2000	2400	1400	1400	2700	2700	1800	1300	1100	2800	2900	2600	3000	2800	2300	2500	500	400	2900	2700	2800	2500	2900	2800	1500	2500	1900	700	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	98052	1793	1113	1261	1261	1186	1306	1268	1088	1214	1090	1172	1015	1658	1577	1510	1686	1407	1087	1171	387	1654	1497	1349	1191	1016	1081	1003	1148	1345	1253	1579	1228	1651	1547	1264	1259	804	1012	1639	1275	1111	1189	2017	1434	1317	1042	1174	1454	845	946	1593	1671	1070	843	448	1986	1718	1589	1594	2130	1362	1594	314	250	1839	1841	1520	1748	1326	1883	1246	1992	1666	482	773					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3696	124	172	130	52	58	49	34	56	43	62	48	67	67	42	24	22	35	23	9	66	29	24	12	45	23	60	21	32	45	36	27	17	40	22	42	165	11	21	41	38	329	102	87	40	26	38	38	29	4	13	57	102	62	63	40	42	98	49	15	71	73	34	16	25	9	2	28	73	6	14	26	22	32	75	22					
6	Число погашенных избирательных бюллетеней	62852	183	715	1009	1187	1056	1245	1098	856	943	848	980	518	875	881	966	792	1058	890	920	447	1117	1079	1139	1164	961	859	976	1120	810	711	794	855	1109	1231	994	1176	485	867	720	987	860	1209	396	1126	1057	1020	788	917	551	441	1050	927	668	394	612	772	1084	962	1391	599	865	872	170	125	1052	857	1252	679	1568	903	228	486	202	143	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3696	124	172	130	52	58	49	34	56	43	62	48	67	67	42	24	22	35	23	9	66	29	24	12	45	23	60	21	32	45	36	27	17	40	22	42	165	11	21	41	38	329	102	87	40	26	38	38	29	4	13	57	102	62	63	40	42	98	49	15	71	73	34	16	25	9	2	28	73	6	14	26	22	32	75	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	97868	1793	1104	1261	1261	1185	1302	1261	1086	1212	1087	1172	1009	1658	1577	1510	1686	1384	1087	1171	387	1654	1497	1349	1191	1016	1081	1003	1147	1345	1253	1579	1228	1651	1542	1261	1259	804	1012	1598	1272	1104	1189	2015	1433	1317	1042	1174	1454	843	946	1593	1671	1070	839	448	1986	1718	1587	1592	2124	1357	1594	314	250	1839	1839	1513	1725	1323	1877	1246	1992	1666	482	771					
9	Число недействительных избирательных бюллетеней	1105	12	15	2	11	14	9	11	11	14	22	15	15	13	26	21	32	22	8	9	7	17	17	15	1	24	11	16	22	19	8	23	0	31	15	19	17	19	0	12	16	17	0	28	28	11	13	16	18	17	6	17	4	9	6	5	13	17	11	25	20	14	13	8	1	24	23	15	26	18	17	16	15	14	1	28					
10	Число действительных избирательных бюллетеней	100459	1905	1261	1389	1302	1229	1342	1284	1131	1241	1127	1205	1061	1712	1593	1513	1676	1397	1102	1171	446	1666	1504	1346	1235	1015	1130	1008	1157	1371	1281	1583	1245	1660	1549	1284	1407	796	1033	1627	1294	1416	1291	2074	1445	1332	1067	1196	1465	830	953	1633	1769	1123	896	483	2015	1799	1625	1582	2175	1416	1615	322	274	1824	1818	1526	1772	1311	1874	1256	1999	1684	556	765					
