Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Нижний Новгород, Автозаводская Северная"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	117049	2503	2472	2284	2449	2226	2005	1965	2289	2248	2014	2134	2523	1716	1935	2234	1640	1445	2095	2146	2233	2191	1758	1672	2223	2004	1971	1857	2238	1970	2161	1837	2652	1974	1945	1639	1914	2464	2170	2377	2013	1908	2499	1229	1451	2018	1769	1414	1587	2019	2070	2379	2196	1960	2665	1724	1840	2735									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	109597	2400	2400	2200	2350	2100	1950	1900	2200	2150	1950	2050	2400	1900	1850	2100	1550	1400	2000	2050	2150	2100	1650	1600	2150	1950	1900	1800	2150	1900	2050	1750	2550	1900	1900	1600	1850	2350	2100	2300	1950	1850	2400	430	1400	1950	1700	1350	481	1950	2000	2300	2100	586	2550	1650	1750	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37868	787	730	793	1024	960	596	528	789	671	559	771	847	771	559	579	461	348	508	609	588	657	584	439	543	561	516	486	739	608	678	612	784	757	618	573	524	790	725	984	598	554	821	424	877	632	676	538	441	912	718	841	739	572	942	494	496	937									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1726	114	60	4	38	0	5	6	0	20	56	18	9	54	18	39	3	14	2	67	26	11	20	19	1	14	4	1	112	50	110	6	9	59	9	43	43	37	2	11	43	8	4	6	14	7	47	44	40	9	5	16	62	14	58	57	153	25									
6	Число погашенных избирательных бюллетеней	70003	1499	1610	1403	1288	1140	1349	1366	1411	1459	1335	1261	1544	1075	1273	1482	1086	1038	1490	1374	1536	1432	1046	1142	1606	1375	1380	1313	1299	1242	1262	1132	1757	1084	1273	984	1283	1523	1373	1305	1309	1288	1575	0	509	1311	977	768	0	1029	1277	1443	1299	0	1550	1099	1101	1638									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1725	114	60	4	38	0	5	6	0	20	56	18	9	54	18	39	3	14	2	67	26	11	20	19	1	14	4	1	112	50	110	6	9	59	9	43	43	37	2	11	43	8	4	6	14	7	47	44	39	9	5	16	62	14	58	57	153	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37848	787	730	793	1024	960	596	528	789	671	559	771	847	771	559	579	461	346	508	609	586	657	580	439	543	561	516	486	739	608	678	612	784	757	617	569	524	790	725	984	598	554	821	423	877	632	676	538	439	912	718	841	739	570	941	494	495	937									
9	Число недействительных избирательных бюллетеней	929	33	22	23	12	5	22	14	8	22	14	17	15	48	12	10	10	15	23	0	24	34	19	12	22	28	14	24	16	16	12	19	17	42	16	9	13	10	20	11	17	20	15	7	8	29	13	0	7	16	10	27	4	3	18	8	7	17									
10	Число действительных избирательных бюллетеней	38644	868	768	774	1050	955	579	520	781	669	601	772	841	777	565	608	454	345	487	676	588	634	581	446	522	547	506	463	835	642	776	599	776	774	610	603	554	817	707	984	624	542	810	422	883	610	710	582	471	905	713	830	797	581	981	543	641	945									
