Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Ивантеевская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348					
1	"Число избирателей, внесенных в списки"	12407	511	1044	268	941	350	702	1802	1300	1945	181	780	557	529	374	448	675					
2	"Число бюллетеней, полученных участковыми комиссиями"	12290	510	1050	268	930	335	688	1790	1260	1920	183	780	552	528	367	439	690					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8273	373	482	210	582	235	546	1205	962	1260	138	585	266	403	290	367	369					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	697	18	157	3	71	5	42	30	19	67	5	47	36	22	13	8	154					
6	Число погашенных бюллетеней	3320	119	411	55	277	95	100	555	279	593	40	148	250	103	64	64	167					
7	Число бюллетеней в переносных ящиках для голосования	697	18	157	3	71	5	42	30	19	67	5	47	36	22	13	8	154					
8	Число бюллетеней в стационарных ящиках для голосования	8254	373	482	210	582	235	546	1205	943	1260	138	585	266	403	290	367	369					
9	Число недействительных бюллетеней	192	0	9	0	2	2	21	97	6	17	0	0	18	6	0	14	0					
10	Число действительных бюллетеней	8759	391	630	213	651	238	567	1138	956	1310	143	632	284	419	303	361	523					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	310	10	20	10	20	10	20	40	40	40	10	20	15	15	10	10	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	53	0	2	0	6	0	1	13	8	19	0	1	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	3	2	1	0	1	9	4	6	1	2	2	2	1	3	2	3					
14	Число погашенных открепительных удостоверений	257	10	18	10	14	10	19	27	32	21	10	19	12	15	10	10	20					
15	Число открепительных удостоверений выданных ТИК	4	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	112	2	10	4	8	3	7	13	15	9	3	10	8	4	4	2	10					
		1.25%	0.51%	1.56%	1.87%	1.22%	1.25%	1.19%	1.05%	1.55%	0.67%	2.09%	1.58%	2.64%	0.94%	1.32%	0.53%	1.91%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	44	1	0	1	4	1	0	9	7	8	4	0	1	1	2	2	3					
		0.49%	0.25%	0.0%	0.46%	0.61%	0.41%	0.0%	0.72%	0.72%	0.60%	2.79%	0.0%	0.33%	0.23%	0.66%	0.53%	0.57%					
