Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Сурская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612					
1	"Число избирателей, внесенных в списки избирателей"	16088	717	302	164	516	138	127	82	718	408	284	340	70	183	170	85	1038	121	448	117	1918	2230	1650	166	146	251	469	258	166	320	183	468	103	153	203	67	382	418	261	248					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16520	760	320	160	550	140	130	90	740	410	310	360	70	190	170	90	1090	110	460	120	1970	2250	1650	170	150	240	500	260	170	340	190	500	100	150	220	70	390	410	270	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9734	532	131	105	353	107	93	65	484	223	184	270	51	144	123	67	660	77	273	87	1034	1206	803	112	87	119	308	156	90	215	114	316	65	73	126	45	214	316	156	150					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1801	59	69	23	37	19	11	14	99	107	21	20	5	28	26	7	85	17	54	13	80	87	66	32	28	53	46	36	50	43	40	74	22	64	49	15	103	82	61	56					
6	Число погашенных избирательных бюллетеней	4985	169	120	32	160	14	26	11	157	80	105	70	14	18	21	16	345	16	133	20	856	957	781	26	35	68	146	68	30	82	36	110	13	13	45	10	73	12	53	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1801	59	69	23	37	19	11	14	99	107	21	20	5	28	26	7	85	17	54	13	80	87	66	32	28	53	46	36	50	43	40	74	22	64	49	15	103	82	61	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9734	532	131	105	353	107	93	65	484	223	184	270	51	144	123	67	660	77	273	87	1034	1206	803	112	87	119	308	156	90	215	114	316	65	73	126	45	214	316	156	150					
9	Число недействительных избирательных бюллетеней	58	4	2	0	2	1	0	0	4	0	2	1	0	4	0	0	7	0	1	0	9	4	7	3	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	2					
10	Число действительных избирательных бюллетеней	11477	587	198	128	388	125	104	79	579	330	203	289	56	168	149	74	738	94	326	100	1105	1289	862	141	114	172	354	190	140	258	153	390	87	137	175	60	317	398	216	204					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	495	30	10	5	20	5	5	5	25	15	20	22	3	15	5	5	30	5	20	5	20	25	20	5	5	5	50	10	5	10	5	20	5	5	10	5	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	495	30	10	5	20	5	5	5	25	15	20	22	3	15	5	5	30	5	20	5	20	25	20	5	5	5	50	10	5	10	5	20	5	5	10	5	10	10	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	106	9	1	3	0	1	1	2	2	2	0	1	0	2	0	0	2	6	4	2	8	21	4	0	1	2	5	2	3	2	2	3	0	1	1	1	3	5	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	1.Политическая партия «Аграрная партия России»	270	13	4	2	8	3	3	0	11	8	4	14	1	8	1	4	28	1	20	2	29	25	13	3	6	3	4	1	5	5	2	2	2	0	11	2	5	3	10	4					
