Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Невинномысская городская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840					
1	"Число избирателей, внесенных в список"	99396	1687	1925	2686	2347	1729	276	2545	1547	1715	1800	2044	2053	2015	1458	1717	1605	2787	2714	2662	1886	1884	2938	2767	2586	2855	2607	2375	2249	3028	2678	2150	2720	2954	1409	2206	2621	1959	2756	2629	1125	1854	1991	2623	1419	2303	1512					
2	Число полученных избирательных бюллетеней	90537	1513	1734	2415	2101	1555	500	2440	1377	1532	1662	1889	1863	1812	1306	1560	1439	2563	2447	2410	1714	1711	2665	2527	2366	2602	2380	2174	2108	2774	2439	1936	2438	2624	1265	1965	2341	1793	2510	2353	1082	1681	1824	2368	1305	2133	1341					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64401	980	1307	1684	1587	1192	0	1388	1043	1127	1289	1433	1418	1343	991	1196	1094	2043	1889	1895	1027	1142	2121	2004	1607	1985	1818	1567	1108	2180	1914	1496	1784	1918	758	1289	1428	1361	1878	1673	674	1136	1322	1708	808	1141	655					
5	"Число избирательных бюллетеней, выданных вне помещения"	2077	86	24	53	24	28	273	12	6	44	62	38	28	50	38	40	49	38	45	39	51	13	22	20	33	40	29	30	46	32	6	7	18	8	48	73	65	11	27	74	65	53	55	41	50	149	34					
6	Число погашенных избирательных бюллетеней	24064	447	403	678	490	335	227	1040	328	361	311	418	417	419	277	324	296	482	513	476	636	556	527	503	726	577	533	577	954	562	519	433	636	698	459	603	848	421	605	606	343	492	447	619	447	843	652					
7	Число избирательных бюллетеней в переносных ящиках	2076	86	24	53	24	28	272	12	6	44	62	38	28	50	38	40	49	38	45	39	51	13	22	20	33	40	29	30	46	32	6	7	18	8	48	73	65	11	27	74	65	53	55	41	50	149	34					
8	Число бюллетеней в стационарных ящиках для голосования	64385	980	1307	1683	1587	1192	0	1388	1043	1124	1289	1433	1418	1343	991	1195	1090	2043	1889	1895	1027	1142	2121	2004	1606	1985	1817	1567	1108	2180	1913	1492	1784	1918	758	1289	1428	1361	1878	1673	674	1136	1322	1708	808	1141	655					
9	Число недействительных избирательных бюллетеней	392	10	13	11	8	7	4	19	8	7	7	5	7	21	12	5	6	7	5	11	13	6	10	6	7	8	5	5	3	21	6	4	3	6	7	13	15	6	9	13	5	7	7	8	11	11	4					
10	Число действительных избирательных бюллетеней	66069	1056	1318	1725	1603	1213	268	1381	1041	1161	1344	1466	1439	1372	1017	1230	1133	2074	1929	1923	1065	1149	2133	2018	1632	2017	1841	1592	1151	2191	1913	1495	1799	1920	799	1349	1478	1366	1896	1734	734	1182	1370	1741	847	1279	685					
11	Число полученных открепительных  удостоверений	1293	20	25	35	35	20	0	35	20	20	20	35	35	35	20	20	20	35	35	35	20	20	35	35	35	35	35	35	35	28	35	35	35	40	20	20	35	25	40	35	20	25	30	40	20	15	10					
12	Число выданных открепительных удостоверений	845	12	16	12	12	14	0	13	18	20	18	26	17	23	18	19	16	31	19	22	11	15	21	20	28	24	25	20	12	21	28	18	20	33	11	18	19	14	35	11	10	14	24	38	14	9	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	709	11	12	15	20	8	240	7	11	22	22	8	6	17	22	13	17	11	42	13	4	1	6	6	10	6	10	9	4	3	9	4	14	9	4	9	6	7	3	5	10	5	9	16	7	7	9					
14	Число неиспользованных открепительных удостоверений	448	8	9	23	23	6	0	22	2	0	2	9	18	12	2	1	4	4	16	13	9	5	14	15	7	11	10	15	23	7	7	17	15	7	9	2	16	11	5	24	10	11	6	2	6	6	4					
15	"Число открепительных удостоверений, выданных в ТИК"	55	0	2	5	0	1	0	0	0	1	3	1	1	0	1	0	0	1	1	2	1	4	4	3	0	1	0	3	0	1	2	1	1	2	0	0	0	0	2	1	1	2	1	3	0	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	3211	43	70	77	63	40	15	45	29	66	65	83	76	58	42	59	78	137	150	100	37	47	121	87	71	120	120	97	34	45	77	67	103	94	49	57	74	74	90	91	42	59	54	72	41	53	39					
		4.83%	4.03%	5.26%	4.44%	3.91%	3.28%	5.51%	3.21%	2.76%	5.65%	4.81%	5.64%	5.26%	4.16%	4.08%	4.78%	6.85%	6.58%	7.76%	5.17%	3.43%	4.07%	5.65%	4.30%	4.33%	5.93%	6.50%	6.07%	2.95%	2.03%	4.01%	4.47%	5.72%	4.88%	6.08%	4.19%	4.96%	5.39%	4.72%	5.21%	5.68%	4.96%	3.92%	4.12%	4.78%	4.11%	5.66%					
19	. Малышкин Олег Александрович	1316	33	28	30	28	22	2	35	27	30	22	25	26	16	19	22	32	26	29	38	31	21	46	24	38	34	42	33	21	41	32	37	39	52	16	27	34	33	38	40	6	29	20	32	17	33	10					
		1.98%	3.10%	2.10%	1.73%	1.74%	1.80%	0.74%	2.50%	2.57%	2.57%	1.63%	1.70%	1.80%	1.15%	1.85%	1.78%	2.81%	1.25%	1.50%	1.96%	2.88%	1.82%	2.15%	1.19%	2.32%	1.68%	2.28%	2.07%	1.82%	1.85%	1.67%	2.47%	2.16%	2.70%	1.99%	1.98%	2.28%	2.41%	1.99%	2.29%	0.81%	2.44%	1.45%	1.83%	1.98%	2.56%	1.45%					
20	. Миронов Сергей Михайлович	393	3	12	8	9	8	4	11	5	7	6	9	16	8	9	4	5	9	6	13	3	3	21	11	9	16	7	16	2	16	9	5	4	8	5	11	7	11	13	14	3	6	9	11	7	7	7					
		0.59%	0.28%	0.90%	0.46%	0.56%	0.66%	1.47%	0.79%	0.48%	0.60%	0.44%	0.61%	1.11%	0.57%	0.87%	0.32%	0.44%	0.43%	0.31%	0.67%	0.28%	0.26%	0.98%	0.54%	0.55%	0.79%	0.38%	1.00%	0.17%	0.72%	0.47%	0.33%	0.22%	0.42%	0.62%	0.81%	0.47%	0.80%	0.68%	0.80%	0.41%	0.50%	0.65%	0.63%	0.82%	0.54%	1.02%					
21	. Путин Владимир Владимирович	46132	743	919	1228	1058	859	198	1036	807	771	919	962	941	975	711	823	762	1419	1304	1311	728	842	1543	1434	1166	1412	1250	1088	794	1730	1434	1105	1286	1420	519	901	1006	952	1314	1139	506	802	956	1180	557	852	470					
		69.41%	69.70%	69.05%	70.74%	65.67%	70.41%	72.79%	74.00%	76.93%	66.01%	68.02%	65.40%	65.08%	69.99%	69.10%	66.64%	66.90%	68.19%	67.43%	67.79%	67.53%	72.90%	72.00%	70.85%	71.14%	69.73%	67.71%	68.13%	68.80%	78.21%	74.73%	73.72%	71.37%	73.73%	64.39%	66.15%	67.38%	69.39%	68.98%	65.20%	68.47%	67.45%	69.43%	67.47%	64.92%	66.05%	68.21%					
22	. Хакамада Ирина Муцуовна	2559	35	60	51	72	41	2	48	34	54	42	58	54	41	48	47	46	74	93	82	33	49	101	91	67	74	77	69	39	58	83	63	78	81	27	48	68	66	93	56	21	29	35	74	31	41	25					
		3.85%	3.28%	4.51%	2.94%	4.47%	3.36%	0.74%	3.43%	3.24%	4.62%	3.11%	3.94%	3.73%	2.94%	4.66%	3.81%	4.04%	3.56%	4.81%	4.24%	3.06%	4.24%	4.71%	4.50%	4.09%	3.65%	4.17%	4.32%	3.38%	2.62%	4.33%	4.20%	4.33%	4.21%	3.35%	3.52%	4.55%	4.81%	4.88%	3.21%	2.84%	2.44%	2.54%	4.23%	3.61%	3.18%	3.63%					
23	. Харитонов Николай Михайлович	10117	157	173	271	319	202	35	159	105	198	255	293	272	237	156	230	169	321	265	291	206	146	210	294	224	291	269	245	218	227	180	166	238	192	161	261	251	180	268	332	134	227	238	302	173	270	106					
