Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Красносулинская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	60144	2072	1573	1746	1569	969	1035	1058	1024	1472	469	1770	2091	1581	1153	1581	1782	1666	1859	1296	1163	796	1175	1470	345	871	1291	113	625	836	317	1869	524	440	548	250	482	609	329	278	574	252	361	285	160	413	76	1388	1548	655	2318	750	261	301	995	364	315	1312	411	427	171	926	221	936	731	1741	155									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50832	1639	1225	1418	1246	761	840	802	806	1176	369	1431	1686	1256	936	1232	1439	1278	1464	1049	922	630	943	1185	311	780	1248	102	568	751	302	1672	479	394	495	240	464	581	283	262	531	226	332	256	145	369	67	1242	1421	585	2119	676	231	270	888	329	289	1200	368	384	154	803	199	840	659	1445	139									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27119	1047	896	800	541	349	285	322	350	474	155	598	1020	598	354	635	608	752	720	613	363	245	475	439	298	613	868	102	453	516	152	1040	217	171	188	144	346	298	102	86	391	176	215	132	56	263	37	782	479	210	790	363	195	200	687	281	201	662	233	144	100	593	157	388	275	783	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4035	66	48	24	34	29	17	275	69	164	80	19	96	43	139	69	82	73	47	140	20	13	39	58	0	36	70	0	59	39	73	163	30	36	97	38	37	57	49	68	40	23	44	50	40	12	7	97	91	40	82	72	0	27	109	22	9	37	12	21	24	86	6	197	218	173	0									
6	Число погашенных избирательных бюллетеней	19678	526	281	594	671	383	538	205	387	538	134	814	570	615	443	528	749	453	697	296	539	372	429	688	13	131	310	0	56	196	77	469	232	187	210	58	81	226	132	108	100	27	73	74	49	94	23	363	851	335	1247	241	36	43	92	26	79	501	123	219	30	124	36	255	166	489	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4035	66	48	24	34	29	17	275	69	164	80	19	96	43	139	69	82	73	47	140	20	13	39	58	0	36	70	0	59	39	73	163	30	36	97	38	37	57	49	68	40	23	44	50	40	12	7	97	91	40	82	72	0	27	109	22	9	37	12	21	24	86	6	197	218	173	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27042	1044	896	800	541	349	285	322	350	474	155	598	1020	598	354	635	608	679	720	613	363	245	475	439	298	613	868	102	453	516	151	1040	217	171	188	144	346	298	102	86	391	176	215	132	56	263	37	782	479	210	790	363	195	200	687	281	201	662	233	144	100	593	157	388	275	783	93									
9	Число недействительных избирательных бюллетеней	520	40	20	16	12	12	14	0	3	6	2	22	41	9	8	14	17	3	11	4	2	1	9	8	0	4	12	0	5	6	0	10	6	4	2	2	4	0	1	0	8	0	0	0	0	4	1	6	20	13	26	7	3	0	4	40	0	33	0	4	0	0	0	8	2	11	0									
10	Число действительных избирательных бюллетеней	30557	1070	924	808	563	366	288	597	416	632	233	595	1075	632	485	690	673	749	756	749	381	257	505	489	298	645	926	102	507	549	224	1193	241	203	283	180	379	355	150	154	423	199	259	182	96	271	43	873	550	237	846	428	192	227	792	263	210	666	245	161	124	679	163	577	491	945	93									
