Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Сельцовская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889					
1	"Число избирателей, внесенных в списки избирателей"	15509	2374	2563	2354	2484	618	1471	2012	1367	266					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15400	2360	2550	2350	2480	610	1460	1990	1350	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7418	1148	1365	1222	1153	357	581	934	553	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	340	27	23	38	60	7	57	78	23	27					
6	Число погашенных избирательных бюллетеней	7642	1185	1162	1090	1267	246	822	978	774	118					
7	Число избирательных бюллетеней в переносных ящиках для голосования	340	27	23	38	60	7	57	78	23	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7418	1148	1365	1222	1153	357	581	934	553	105					
9	Число недействительных избирательных бюллетеней	71	10	7	10	8	5	8	9	14	0					
10	Число действительных избирательных бюллетеней	7687	1165	1381	1250	1205	359	630	1003	562	132					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	222	35	35	35	35	14	18	20	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	54	17	12	6	8	1	3	5	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	53	10	14	2	6	2	3	5	6	5					
14	Число погашенных неиспользованных открепительных удостоверений	168	18	23	29	27	13	15	15	18	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	129	14	24	26	26	8	7	14	9	1					
		1.66%	1.19%	1.73%	2.06%	2.14%	2.20%	1.10%	1.38%	1.56%	0.76%					
19	2.Всероссийская политическая партия «Гражданская Сила»	49	5	15	8	4	5	2	2	6	2					
		0.63%	0.43%	1.08%	0.63%	0.33%	1.37%	0.31%	0.20%	1.04%	1.52%					
20	3.Политическая партия «Демократическая партия России»	3	0	1	0	0	1	0	0	1	0					
		0.04%	0.00%	0.07%	0.00%	0.00%	0.27%	0.00%	0.00%	0.17%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1566	202	291	280	254	87	135	221	68	28					
		20.19%	17.19%	20.97%	22.22%	20.94%	23.90%	21.16%	21.84%	11.81%	21.21%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	41	4	2	12	5	1	3	12	1	1					
		0.53%	0.34%	0.14%	0.95%	0.41%	0.27%	0.47%	1.19%	0.17%	0.76%					
23	6.Политическая партия «Партия социальной справедливости»	16	0	3	3	3	0	4	1	0	2					
		0.21%	0.00%	0.22%	0.24%	0.25%	0.00%	0.63%	0.10%	0.00%	1.52%					
24	7.Политическая партия «Либерально-демократическая партия России»	482	87	76	75	92	19	25	63	33	12					
		6.21%	7.40%	5.48%	5.95%	7.58%	5.22%	3.92%	6.23%	5.73%	9.09%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	743	96	120	149	102	40	72	90	55	19					
		9.58%	8.17%	8.65%	11.83%	8.41%	10.99%	11.29%	8.89%	9.55%	14.39%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	54	9	12	4	7	2	6	10	4	0					
		0.70%	0.77%	0.86%	0.32%	0.58%	0.55%	0.94%	0.99%	0.69%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4537	733	818	680	701	192	376	587	383	67					
		58.48%	62.38%	58.93%	53.97%	57.79%	52.75%	58.93%	58.00%	66.49%	50.76%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	67	15	19	13	11	4	0	3	2	0					
		0.86%	1.28%	1.37%	1.03%	0.91%	1.10%	0.00%	0.30%	0.35%	0.00%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
