Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Череповецкая																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918					
1	"Число избирателей, внесенных в списки избирателей"	31631	897	1225	880	175	137	206	159	567	150	263	190	349	1051	285	2083	1187	238	207	1862	409	136	143	856	248	1057	288	297	330	147	1661	1516	1474	140	217	342	347	139	439	1738	2074	538	470	318	414	876	364	70	123	331	2018					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31480	920	1200	870	180	130	220	170	580	140	250	180	370	1060	280	2050	1200	220	200	1840	440	150	160	890	270	1080	280	300	380	130	1600	1470	1470	140	210	330	330	140	450	1670	2050	520	480	330	420	860	390	75	125	330	1950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16424	396	684	458	98	65	86	49	304	42	154	84	127	507	184	1385	464	67	60	1066	170	73	67	483	37	621	116	128	87	95	979	751	857	88	77	191	134	85	207	957	1175	399	133	143	137	466	182	37	59	82	1128					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3806	163	58	138	27	33	40	54	51	63	30	37	109	144	14	81	188	101	87	48	105	18	51	52	177	34	34	26	180	28	36	119	41	18	62	32	87	28	111	73	58	7	248	97	124	117	78	12	44	154	89					
6	Число погашенных избирательных бюллетеней	11250	361	458	274	55	32	94	67	225	35	66	59	134	409	82	584	548	52	53	726	165	59	42	355	56	425	130	146	113	7	585	600	572	34	71	107	109	27	132	640	817	114	99	90	159	277	130	26	22	94	733					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3806	163	58	138	27	33	40	54	51	63	30	37	109	144	14	81	188	101	87	48	105	18	51	52	177	34	34	26	180	28	36	119	41	18	62	32	87	28	111	73	58	7	248	97	124	117	78	12	44	154	89					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16421	396	683	458	98	65	86	49	304	42	154	84	127	507	184	1385	464	67	60	1065	170	73	67	483	37	621	116	128	87	95	979	751	857	88	77	191	134	85	207	957	1175	399	133	143	137	466	182	37	59	82	1127					
9	Число недействительных избирательных бюллетеней	135	3	8	4	1	0	0	0	3	0	1	1	2	4	0	17	3	1	3	7	0	0	0	6	0	2	1	1	1	0	13	8	4	0	0	0	3	0	1	7	11	0	0	0	0	7	2	0	1	0	9					
10	Число действительных избирательных бюллетеней	20092	556	733	592	124	98	126	103	352	105	183	120	234	647	198	1449	649	167	144	1106	275	91	118	529	214	653	149	153	266	123	1002	862	894	106	139	223	218	113	317	1023	1222	406	381	240	261	576	258	49	102	236	1207					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1488	45	25	43	17	20	20	20	25	20	10	20	35	25	10	55	40	11	20	50	35	20	20	70	29	40	20	20	75	25	50	50	45	20	25	25	25	20	25	40	40	25	38	25	20	30	35	10	20	25	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1064	45	20	43	16	1	20	20	21	1	3	2	30	22	8	55	18	2	3	32	35	20	20	70	29	32	7	8	75	22	31	20	31	6	6	1	21	14	25	16	25	7	38	18	10	27	33	3	8	24	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	437	13	9	11	7	4	7	2	8	4	10	5	8	10	2	26	15	9	3	6	2	3	0	11	13	13	10	6	6	13	26	20	21	0	5	4	8	3	7	16	7	9	11	7	3	10	15	3	5	0	21					
14	Число погашенных неиспользованных открепительных удостоверений	424	0	5	0	1	19	0	0	4	19	7	18	5	3	2	0	22	9	17	18	0	0	0	0	0	8	13	12	0	3	19	30	14	14	19	24	4	6	0	24	15	18	0	7	10	3	2	7	12	1	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	1.Политическая партия «Аграрная партия России»	1406	35	37	60	8	3	4	0	19	2	6	5	18	34	5	121	84	19	7	90	18	14	4	61	15	43	7	8	26	12	33	30	32	3	8	7	32	5	63	53	86	21	23	17	14	48	23	4	1	9	129					
