Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Соль-Илецкая городская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41452	577	312	1173	820	1202	179	265	479	575	1009	203	711	717	427	313	373	1136	447	115	762	364	322	835	283	651	765	866	532	653	707	235	676	67	669	106	322	1792	1470	1349	936	1716	1660	1741	1307	1284	2071	611	1006	1059	1184	1333	1085									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41395	571	321	1174	826	1231	182	266	465	585	1013	198	725	700	437	310	353	1133	461	109	775	361	315	853	282	658	765	865	530	652	705	230	685	66	684	115	321	1771	1480	1349	941	1712	1651	1726	1300	1273	2090	591	1008	1051	1167	1328	1035									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14701	211	127	411	405	427	57	117	197	259	451	95	299	322	184	132	147	447	226	45	333	151	160	282	75	260	379	254	166	194	260	117	244	32	246	36	139	514	416	450	246	534	527	498	403	419	788	203	284	308	374	488	362									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1109	36	19	71	24	44	8	11	26	13	61	14	13	41	13	8	19	52	21	12	43	32	16	75	3	28	12	23	19	41	7	20	23	3	36	7	8	6	14	22	7	50	12	33	0	3	6	9	4	2	11	26	2									
6	Число погашенных избирательных бюллетеней	25585	324	175	692	397	760	117	138	242	313	501	89	413	337	240	170	187	634	214	52	399	178	139	496	204	370	374	588	345	417	438	93	418	31	402	72	174	1251	1050	877	688	1128	1112	1195	897	851	1296	379	720	741	782	814	671									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1109	36	19	71	24	44	8	11	26	13	61	14	13	41	13	8	19	52	21	12	43	32	16	75	3	28	12	23	19	41	7	20	23	3	36	7	8	6	14	22	7	50	12	33	0	3	6	9	4	2	11	26	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14699	211	127	411	405	427	57	117	197	259	451	95	299	322	184	132	147	447	226	45	333	151	160	282	75	260	379	254	166	194	260	117	244	32	246	36	139	514	416	450	246	534	527	498	401	419	788	203	284	308	374	488	362									
9	Число недействительных избирательных бюллетеней	504	8	5	12	12	16	1	4	11	8	8	5	4	12	18	5	6	20	12	1	0	4	6	11	1	7	14	6	6	7	12	7	8	0	12	0	9	31	19	17	15	16	14	11	14	21	12	10	16	0	6	16	8									
10	Число действительных избирательных бюллетеней	15304	239	141	470	417	455	64	124	212	264	504	104	308	351	179	135	160	479	235	56	376	179	170	346	77	281	377	271	179	228	255	130	259	35	270	43	138	489	411	455	238	568	525	520	387	401	782	202	272	310	379	498	356									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	3	2	6	3	9	0	2	4	4	6	2	8	5	3	2	2	8	5	2	8	3	3	5	2	5	5	6	6	1	4	12	4	0	2	0	0	10	7	8	7	7	7	7	7	7	9	3	7	7	1	7	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	202	3	2	5	3	8	0	0	2	4	6	1	8	5	3	2	2	8	5	0	7	1	0	5	0	4	4	6	6	1	2	12	3	0	2	0	0	10	6	8	7	4	7	7	4	3	9	3	3	1	1	5	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	130	3	1	7	3	1	1	1	2	0	2	2	1	3	1	1	4	9	7	0	0	1	3	0	1	1	3	2	3	3	2	3	1	2	1	1	3	7	3	1	2	8	1	3	4	1	3	0	2	2	3	2	9									
14	Число погашенных неиспользованных открепительных удостоверений	48	0	0	1	0	1	0	2	2	0	0	1	0	0	0	0	0	0	0	2	1	2	3	0	2	1	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	3	0	0	3	4	0	0	4	6	0	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	3	2	2	3	3	3	3	2	0	1	1	2	3	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	114	1	1	6	1	3	0	0	1	2	2	0	2	5	0	5	0	3	5	2	0	1	2	2	1	0	2	1	2	1	1	0	2	0	2	0	1	4	1	5	2	5	3	6	5	4	6	1	1	4	4	4	2									
		0.72%	0.40%	0.68%	1.24%	0.23%	0.64%	0.00%	0.00%	0.45%	0.74%	0.39%	0.00%	0.64%	1.38%	0.00%	3.57%	0.00%	0.60%	2.02%	3.51%	0.00%	0.55%	1.14%	0.56%	1.28%	0.00%	0.51%	0.36%	1.08%	0.43%	0.37%	0.00%	0.75%	0.00%	0.71%	0.00%	0.68%	0.77%	0.23%	1.06%	0.79%	0.86%	0.56%	1.13%	1.25%	0.95%	0.76%	0.47%	0.35%	1.29%	1.04%	0.78%	0.55%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	647	11	8	71	13	16	3	3	8	18	24	5	9	16	11	10	4	20	11	2	11	7	3	16	2	9	14	8	2	13	10	3	9	2	13	1	8	28	24	14	6	22	16	22	14	9	12	4	21	14	13	14	20									
		4.09%	4.45%	5.48%	14.73%	3.03%	3.40%	4.62%	2.34%	3.59%	6.62%	4.69%	4.59%	2.88%	4.41%	5.58%	7.14%	2.41%	4.01%	4.45%	3.51%	2.93%	3.83%	1.70%	4.48%	2.56%	3.13%	3.58%	2.89%	1.08%	5.53%	3.75%	2.19%	3.37%	5.71%	4.61%	2.33%	5.44%	5.38%	5.58%	2.97%	2.37%	3.77%	2.97%	4.14%	3.49%	2.13%	1.51%	1.89%	7.29%	4.52%	3.38%	2.72%	5.49%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	212	4	2	3	1	9	0	2	5	4	1	0	2	8	4	3	1	8	0	0	12	1	1	9	9	8	2	2	2	2	5	1	3	0	4	0	1	8	4	5	7	7	7	13	8	3	7	0	3	6	6	7	2									
		1.34%	1.62%	1.37%	0.62%	0.23%	1.91%	0.00%	1.56%	2.24%	1.47%	0.20%	0.00%	0.64%	2.20%	2.03%	2.14%	0.60%	1.60%	0.00%	0.00%	3.19%	0.55%	0.57%	2.52%	11.54%	2.78%	0.51%	0.72%	1.08%	0.85%	1.87%	0.73%	1.12%	0.00%	1.42%	0.00%	0.68%	1.54%	0.93%	1.06%	2.77%	1.20%	1.30%	2.45%	1.99%	0.71%	0.88%	0.00%	1.04%	1.94%	1.56%	1.36%	0.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6684	115	45	252	179	191	20	44	57	130	233	24	172	150	80	63	80	255	113	23	180	108	93	187	26	120	199	128	95	108	137	81	112	25	133	29	55	178	139	165	92	219	202	209	154	165	316	87	108	114	144	201	149									
		42.28%	46.56%	30.82%	52.28%	41.72%	40.55%	30.77%	34.38%	25.56%	47.79%	45.51%	22.02%	55.13%	41.32%	40.61%	45.00%	48.19%	51.10%	45.75%	40.35%	47.87%	59.02%	52.84%	52.38%	33.33%	41.67%	50.90%	46.21%	51.35%	45.96%	51.31%	59.12%	41.95%	71.43%	47.16%	67.44%	37.41%	34.23%	32.33%	34.96%	36.36%	37.50%	37.48%	39.36%	38.40%	39.10%	39.80%	41.04%	37.50%	36.77%	37.40%	39.11%	40.93%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	64	5	1	2	1	1	1	0	1	1	0	0	1	1	1	0	0	0	2	1	0	0	0	1	0	2	2	0	1	1	0	0	1	0	1	0	1	2	6	2	2	2	2	1	1	2	4	2	2	1	0	4	2									
		0.40%	2.02%	0.68%	0.41%	0.23%	0.21%	1.54%	0.00%	0.45%	0.37%	0.00%	0.00%	0.32%	0.28%	0.51%	0.00%	0.00%	0.00%	0.81%	1.75%	0.00%	0.00%	0.00%	0.28%	0.00%	0.69%	0.51%	0.00%	0.54%	0.43%	0.00%	0.00%	0.37%	0.00%	0.35%	0.00%	0.68%	0.38%	1.40%	0.42%	0.79%	0.34%	0.37%	0.19%	0.25%	0.47%	0.50%	0.94%	0.69%	0.32%	0.00%	0.78%	0.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	52	1	0	2	0	2	0	0	0	0	1	4	1	1	0	0	1	5	1	0	2	1	1	0	0	2	3	0	1	1	0	2	1	0	2	0	0	0	3	1	0	3	2	2	2	0	1	0	0	1	2	0	0									
		0.33%	0.40%	0.00%	0.41%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.20%	3.67%	0.32%	0.28%	0.00%	0.00%	0.60%	1.00%	0.40%	0.00%	0.53%	0.55%	0.57%	0.00%	0.00%	0.69%	0.77%	0.00%	0.54%	0.43%	0.00%	1.46%	0.37%	0.00%	0.71%	0.00%	0.00%	0.00%	0.70%	0.21%	0.00%	0.51%	0.37%	0.38%	0.50%	0.00%	0.13%	0.00%	0.00%	0.32%	0.52%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3123	31	40	93	82	105	16	29	62	66	81	16	50	90	32	31	19	43	44	23	50	37	35	19	8	51	65	55	52	37	27	13	46	6	26	4	40	96	69	130	61	131	129	134	87	90	201	48	50	72	86	127	88									
		19.76%	12.55%	27.40%	19.29%	19.11%	22.29%	24.62%	22.66%	27.80%	24.26%	15.82%	14.68%	16.03%	24.79%	16.24%	22.14%	11.45%	8.62%	17.81%	40.35%	13.30%	20.22%	19.89%	5.32%	10.26%	17.71%	16.62%	19.86%	28.11%	15.74%	10.11%	9.49%	17.23%	17.14%	9.22%	9.30%	27.21%	18.46%	16.05%	27.54%	24.11%	22.43%	23.93%	25.24%	21.70%	21.33%	25.31%	22.64%	17.36%	23.23%	22.34%	24.71%	24.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	40	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	4	2	1	0	3	0	2	1	3	5	0	2	3	2	0	0									
		0.25%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.45%	0.37%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.20%	0.40%	1.75%	0.00%	0.00%	0.00%	0.28%	0.00%	0.35%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.77%	0.47%	0.21%	0.00%	0.51%	0.00%	0.38%	0.25%	0.71%	0.63%	0.00%	0.69%	0.97%	0.52%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	94	1	0	1	3	0	1	1	1	1	5	1	0	1	1	0	3	0	1	0	3	0	1	1	1	2	2	0	2	0	2	0	4	0	0	0	0	4	3	1	0	3	3	2	3	5	13	0	1	4	6	5	2									
