Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
"Наименование Избирательной комиссии:    Кемерово, Центральная"																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №1766	УИК №1767									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	74744	1628	1307	1284	2242	1582	1552	1781	1374	1753	1673	1837	1424	1330	1783	2256	2578	2262	2132	2169	1624	1621	1636	1778	1942	2069	2746	2219	1766	1841	1916	2162	2417	2023	2133	2070	2197	2733	2825	427	652									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	72100	1600	1250	1250	2150	1500	1500	1750	1300	1700	1600	1800	1350	1300	1700	2100	2450	2150	2000	2100	1550	1550	1600	1700	1900	2000	2650	2100	1700	1700	1900	2100	2300	1950	2050	2000	2100	2650	2650	500	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	58262	1221	982	975	1499	1161	1162	1271	1009	1351	1485	1324	1136	970	1248	1690	1937	1777	1691	1601	1496	1232	1245	1380	1770	1937	2317	1682	1541	1259	1606	1649	2004	1525	1633	1509	1790	2396	2214	387	200									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2418	33	64	91	149	31	42	111	31	27	21	54	30	62	102	20	43	33	19	88	33	42	15	40	94	28	72	27	66	141	24	49	29	31	24	55	29	30	46	40	452									
6	Число погашенных избирательных бюллетеней	11420	346	204	184	502	308	296	368	260	322	94	422	184	268	350	390	470	340	290	411	21	276	340	280	36	35	261	391	93	300	270	402	267	394	393	436	281	224	390	73	248									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2418	33	64	91	149	31	42	111	31	27	21	54	30	62	102	20	43	33	19	88	33	42	15	40	94	28	72	27	66	141	24	49	29	31	24	55	29	30	46	40	452									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	58118	1211	981	973	1499	1159	1148	1271	1005	1348	1485	1319	1132	967	1248	1685	1936	1774	1690	1601	1490	1216	1227	1378	1768	1937	2316	1682	1541	1259	1604	1647	2001	1525	1632	1500	1786	2396	2214	367	200									
9	Число недействительных избирательных бюллетеней	432	9	0	0	31	0	8	2	2	5	12	41	0	4	20	17	44	8	14	5	10	9	9	0	0	0	10	14	0	13	12	1	69	0	14	20	15	4	10	0	0									
10	Число действительных избирательных бюллетеней	60104	1235	1045	1064	1617	1190	1182	1380	1034	1370	1494	1332	1162	1025	1330	1688	1935	1799	1695	1684	1513	1249	1233	1418	1862	1965	2378	1695	1607	1387	1616	1695	1961	1556	1642	1535	1800	2422	2250	407	652									
