Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																								
Дата голосования: 02.12.2007																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Азовская районная																																																																																								
																																																																																								
Сводная таблица результатов выборов																																																																																								
																																																																																								
		Сумма	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2514	УИК №2585	УИК №2613					
1	"Число избирателей, внесенных в списки избирателей"	70381	1421	874	366	595	101	319	106	401	1079	475	519	136	1468	245	421	398	492	1087	836	1156	809	1940	1190	1700	1639	124	1060	697	1863	1097	1233	385	147	324	2173	2457	2301	1369	475	1824	1772	762	248	127	1362	405	1279	506	423	683	631	200	738	1157	1052	1185	216	166	1065	814	1213	1517	1821	1785	1963	695	536	950	1355	231	244	144	306	197	212	190	133	237	2390	1932	237					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	67717	1395	820	351	590	107	314	106	382	1050	450	520	134	1444	240	416	393	478	1050	815	1100	760	1889	1100	1550	1580	124	915	650	1770	1071	1200	380	146	337	2120	2420	2150	1320	457	1757	1729	760	240	125	1280	395	1100	491	400	643	630	200	752	1100	1020	1100	213	162	1038	814	1180	1460	1760	1745	1940	675	535	930	1320	225	240	146	308	187	200	190	128	238	2304	1727	236					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	49935	979	610	227	355	56	213	80	234	827	407	367	73	1094	191	315	288	386	840	617	902	695	979	634	932	905	64	755	391	1357	884	928	267	139	241	1210	1552	1337	680	384	1285	1511	496	238	99	916	284	828	410	265	581	574	189	632	777	689	928	168	160	763	806	1140	1017	1287	1565	1330	634	511	811	948	144	217	133	245	170	169	162	128	204	1565	1342	219					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3064	105	112	22	83	31	60	16	67	38	6	11	37	182	23	67	25	0	62	36	18	7	57	40	18	40	28	68	197	76	53	21	19	0	3	16	25	51	33	3	24	13	24	0	13	50	32	63	49	29	42	4	5	88	56	124	79	13	0	52	0	12	52	54	55	53	21	9	10	96	16	0	0	13	0	22	0	0	3	27	105	0					
6	Число погашенных избирательных бюллетеней	14718	311	98	102	152	20	41	10	81	185	37	142	24	168	26	34	80	92	148	162	180	58	853	426	600	635	32	92	62	337	134	251	94	7	93	894	843	762	607	70	448	205	240	2	13	314	79	209	32	106	20	52	6	32	267	207	93	32	2	223	8	28	391	419	125	557	20	15	109	276	65	23	13	50	17	9	28	0	31	712	280	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3064	105	112	22	83	31	60	16	67	38	6	11	37	182	23	67	25	0	62	36	18	7	57	40	18	40	28	68	197	76	53	21	19	0	3	16	25	51	33	3	24	13	24	0	13	50	32	63	49	29	42	4	5	88	56	124	79	13	0	52	0	12	52	54	55	53	21	9	10	96	16	0	0	13	0	22	0	0	3	27	105	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49935	979	610	227	355	56	213	80	234	827	407	367	73	1094	191	315	288	386	840	617	902	695	979	634	932	905	64	755	391	1357	884	928	267	139	241	1210	1552	1337	680	384	1285	1511	496	238	99	916	284	828	410	265	581	574	189	632	777	689	928	168	160	763	806	1140	1017	1287	1565	1330	634	511	811	948	144	217	133	245	170	169	162	128	204	1565	1342	219					
9	Число недействительных избирательных бюллетеней	187	0	0	3	0	0	1	0	0	0	2	0	0	12	0	0	19	0	1	5	0	1	6	4	4	2	0	0	0	24	4	0	0	0	0	10	8	7	6	0	0	0	0	0	0	3	0	4	0	0	1	5	0	0	6	6	0	1	0	0	0	0	0	10	4	7	0	0	0	2	1	0	0	0	1	0	0	0	0	7	10	0					
10	Число действительных избирательных бюллетеней	52812	1084	722	246	438	87	272	96	301	865	411	378	110	1264	214	382	294	386	901	648	920	701	1030	670	946	943	92	823	588	1409	933	949	286	139	244	1216	1569	1381	707	387	1309	1524	520	238	112	963	316	887	459	294	622	573	194	720	827	807	1007	180	160	815	806	1152	1069	1331	1616	1376	655	520	821	1042	159	217	133	258	169	191	162	128	207	1585	1437	219					
