Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Сут-Хольская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в списки избирателей"	4740	688	343	524	1717	527	324	617					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4812	697	359	535	1722	543	335	621					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	391	80	5	68	43	53	32	110					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4181	599	312	435	1627	453	276	479					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	154	9	26	21	47	21	16	14					
6	Число погашенных избирательных бюллетеней	86	9	16	11	5	16	11	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	545	89	31	89	90	74	48	124					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4166	599	307	435	1617	453	276	479					
9	Число недействительных избирательных бюллетеней	29	3	0	0	12	11	2	1					
10	Число действительных избирательных бюллетеней	4682	685	338	524	1695	516	322	602					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	32	0	7	8	8	1	0	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	11	0	1	6	3	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	14	0	1	1	11	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	21	0	6	2	5	0	0	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	7	0	0	0	3	2	2	0					
		0.15%	0.00%	0.00%	0.00%	0.18%	0.38%	0.62%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	5	0	0	0	5	0	0	0					
		0.11%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	0	1	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	49	2	1	0	39	1	2	4					
		1.04%	0.29%	0.30%	0.00%	2.28%	0.19%	0.62%	0.66%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	3	1	0	0	2	0	0	0					
		0.06%	0.15%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	9	0	0	0	7	0	2	0					
		0.19%	0.00%	0.00%	0.00%	0.41%	0.00%	0.62%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	32	0	1	0	21	1	7	2					
		0.68%	0.00%	0.30%	0.00%	1.23%	0.19%	2.16%	0.33%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	10	1	0	0	7	1	1	0					
		0.21%	0.15%	0.00%	0.00%	0.41%	0.19%	0.31%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4565	681	336	524	1610	511	307	596					
		96.90%	98.98%	99.41%	10.00%	94.32%	96.96%	94.75%	98.84%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1	0	0	0	1	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
