Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Сут-Хольская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128					
1	"Число избирателей, внесенных в список избирателей"	5020	665	361	517	2037	524	321	595					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5109	705	365	508	2044	546	328	613					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	231	76	0	21	0	8	33	93					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4484	560	329	465	1878	485	277	490					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	184	23	32	22	59	26	10	12					
6	Число погашенных избирательных бюллетеней	210	46	4	0	107	27	8	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	415	99	32	43	59	34	43	105					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4484	560	329	465	1878	485	277	490					
9	Число недействительных избирательных бюллетеней	10	0	0	3	0	4	0	3					
10	Число действительных избирательных бюллетеней	4889	659	361	505	1937	515	320	592					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	59	7	5	11	19	6	4	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	40	7	0	11	12	6	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	7	0	1	3	2	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	19	0	5	0	7	0	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	14	2	0	2	10	0	0	0					
		0.29%	0.30%	0.00%	0.39%	0.52%	0.00%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	0	0	0	6	0	0	0					
		0.12%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	48	4	1	6	24	9	0	4					
		0.98%	0.61%	0.28%	1.18%	1.24%	1.73%	0.00%	0.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4821	653	360	497	1897	506	320	588					
		98.41%	99.09%	99.72%	97.83%	97.93%	97.50%	100.00%	98.82%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
