Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Алексеевская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714					
1	"Число избирателей, внесенных в списки избирателей"	19676	1408	1121	1122	1018	939	1094	1011	56	643	1005	342	360	294	98	442	120	540	168	64	177	197	272	94	110	157	382	273	352	155	37	447	69	312	136	206	368	343	135	292	156	189	380	351	281	521	192	504	169	179	395					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19453	1372	1070	1070	1011	940	1075	1000	54	640	1000	340	355	290	98	438	122	540	172	57	178	203	277	94	111	157	382	269	330	149	40	445	69	315	136	209	372	343	138	292	156	188	378	353	278	521	192	503	169	179	383					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19027	1328	1047	1045	945	912	1064	980	54	637	976	340	346	290	98	428	114	538	168	57	175	195	271	94	110	156	375	251	330	149	37	431	66	309	136	206	368	343	134	291	153	177	375	347	276	499	183	498	168	174	383					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	221	32	23	8	25	7	11	10	0	2	21	0	9	0	0	9	6	0	0	0	0	0	0	0	0	0	7	18	0	0	0	4	3	3	0	0	0	0	0	0	0	9	0	3	0	6	5	0	0	0	0					
6	Число погашенных избирательных бюллетеней	205	12	0	17	41	21	0	10	0	1	3	0	0	0	0	1	2	2	4	0	3	8	6	0	1	1	0	0	0	0	3	10	0	3	0	3	4	0	4	1	3	2	3	3	2	16	4	5	1	5	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	221	32	23	8	25	7	11	10	0	2	21	0	9	0	0	9	6	0	0	0	0	0	0	0	0	0	7	18	0	0	0	4	3	3	0	0	0	0	0	0	0	9	0	3	0	6	5	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19025	1328	1047	1045	945	912	1064	980	54	637	976	340	346	290	98	428	114	538	168	57	175	195	271	94	110	156	375	251	330	149	37	431	66	309	136	206	368	343	134	291	153	177	375	347	276	499	183	496	168	174	383					
9	Число недействительных избирательных бюллетеней	37	0	11	3	6	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	19209	1360	1059	1050	964	919	1075	990	54	636	997	340	355	290	98	435	118	538	168	57	175	195	269	94	110	155	382	269	330	149	37	433	69	312	136	203	368	343	133	291	153	186	374	350	276	505	188	496	168	174	383					
