Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Прибайкальская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492					
1	"Число избирателей, внесенных в список"	19923	99	143	722	1063	212	611	196	363	164	363	55	129	408	241	711	3030	1219	631	755	135	144	245	693	1399	579	1505	839	314	344	315	1503	134	659					
2	Число полученных избирательных бюллетеней	20017	114	152	730	1080	202	614	187	387	162	360	58	140	414	241	717	2964	1250	644	754	137	135	248	724	1400	577	1500	850	316	339	321	1500	140	660					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11882	58	88	373	571	90	344	145	278	148	266	40	86	248	113	409	1607	990	371	490	99	108	147	415	741	355	712	455	177	222	243	984	79	430					
5	"Число избирательных бюллетеней, выданных вне помещения"	1533	5	26	118	155	66	59	13	40	0	8	10	10	24	63	99	167	16	95	63	6	4	18	75	80	52	49	55	25	24	12	72	15	9					
6	Число погашенных избирательных бюллетеней	6602	51	38	239	354	46	211	29	69	14	86	8	44	142	65	209	1190	244	178	201	32	23	83	234	579	170	739	340	114	93	66	444	46	221					
7	Число избирательных бюллетеней в переносных ящиках	1533	5	26	118	155	66	59	13	40	0	8	10	10	24	63	99	167	16	95	63	6	4	18	75	80	52	49	55	25	24	12	72	15	9					
8	Число бюллетеней в стационарных ящиках для голосования	11881	58	88	373	571	90	344	145	278	148	266	40	86	248	113	409	1607	990	371	490	99	108	147	415	740	355	712	455	177	222	243	984	79	430					
9	Число недействительных избирательных бюллетеней	182	0	0	6	5	0	9	0	6	4	3	1	2	6	3	6	21	0	2	6	1	3	0	4	10	8	16	12	4	5	4	17	1	17					
10	Число действительных избирательных бюллетеней	13232	63	114	485	721	156	394	158	312	144	271	49	94	266	173	502	1753	1006	464	547	104	109	165	486	810	399	745	498	198	241	251	1039	93	422					
