Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																		
Дата голосования: 04.12.2011																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Самара, Кировская"																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570					
1	"Число избирателей, внесенных в список избирателей"	191408	2360	2357	2846	1897	1955	1717	1741	2041	1973	2046	1986	2376	2038	1857	2344	1804	2377	2435	2371	2600	2613	2621	2424	2421	2482	2537	2791	2638	2041	1801	2406	2344	2188	2398	2403	2368	2110	97	2717	2501	880	375	549	1969	495	2459	1629	1427	1231	1571	1724	1394	1743	2324	1799	1442	2829	2603	2350	2184	153	873	2469	1819	2643	2383	2170	2731	2471	2132	1856	2361	2717	2574	2260	2654	2605	2216	2166	2460	2449	2097	96	2845	2247	2486	2805	2688	2820	2843	2320					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	188350	2200	2300	2800	1900	1900	1700	1700	2000	2000	2000	2000	2300	2000	1900	2300	1800	2300	2400	2300	2600	2600	2600	2300	2400	2400	2500	2300	2600	2000	1800	2400	2300	2100	2400	2400	2300	2100	100	2700	2500	900	300	500	1900	500	2400	1600	1400	1200	1500	1600	1300	1700	2300	1700	1400	2800	2600	2300	2200	170	800	2500	1800	2600	2400	2100	2700	2500	2100	1900	2400	2700	2600	2200	2600	2500	2200	2200	2500	2500	2100	80	2800	2200	2500	2800	2700	2800	2800	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	82608	1018	1054	1213	746	773	683	730	925	905	902	925	1059	852	645	983	745	1046	1034	998	1062	1131	1064	1032	1032	1145	1118	1224	971	701	738	1017	1063	947	1110	1177	996	1021	95	1133	1127	379	148	253	679	324	1162	625	615	446	574	470	489	589	1084	641	541	1101	1040	1144	1003	126	352	1188	647	1339	1012	973	1247	999	913	708	972	1314	1276	1139	1115	1217	1004	1043	1287	1157	1034	71	1528	859	975	1197	1338	1278	1160	693					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2827	4	23	16	26	26	22	22	42	19	83	26	21	21	15	45	34	27	24	42	61	30	24	32	37	26	39	22	21	35	22	25	34	26	21	33	32	47	0	34	38	15	5	13	29	133	23	56	58	32	47	32	90	66	31	38	43	24	32	37	34	27	15	21	35	15	26	19	17	25	26	21	33	31	19	39	35	39	38	29	28	31	37	6	18	24	36	27	22	30	28	15					
6	Число погашенных избирательных бюллетеней	102915	1178	1223	1571	1128	1101	995	948	1033	1076	1015	1049	1220	1127	1240	1272	1021	1227	1342	1260	1477	1439	1512	1236	1331	1229	1343	1054	1608	1264	1040	1358	1203	1127	1269	1190	1272	1032	5	1533	1335	506	147	234	1192	43	1215	919	727	722	879	1098	721	1045	1185	1021	816	1675	1528	1119	1163	17	433	1291	1118	1246	1362	1108	1436	1476	1161	1171	1395	1355	1305	1022	1450	1244	1158	1128	1185	1312	1029	3	1254	1317	1489	1576	1340	1492	1612	1592					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2827	4	23	16	26	26	22	22	42	19	83	26	21	21	15	45	34	27	24	42	61	30	24	32	37	26	39	22	21	35	22	25	34	26	21	33	32	47	0	34	38	15	5	13	29	133	23	56	58	32	47	32	90	66	31	38	43	24	32	37	34	27	15	21	35	15	26	19	17	25	26	21	33	31	19	39	35	39	38	29	28	31	37	6	18	24	36	27	22	30	28	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	82554	1006	1051	1213	746	773	683	730	925	905	902	925	1059	852	645	983	745	1046	1034	998	1061	1131	1059	1032	1023	1145	1117	1224	971	701	738	1017	1061	947	1110	1177	995	1020	95	1133	1127	379	148	253	679	324	1162	625	615	446	574	470	489	589	1084	641	541	1100	1040	1144	1003	126	352	1185	647	1339	1012	973	1245	999	913	708	970	1313	1276	1139	1115	1217	1004	1043	1281	1157	1034	71	1528	859	975	1196	1338	1278	1160	690					
9	Число недействительных избирательных бюллетеней	1867	15	28	61	20	10	16	6	17	30	12	25	22	21	10	17	21	26	10	15	22	13	17	19	14	25	21	26	27	4	23	21	24	23	14	24	23	25	0	21	17	3	1	6	35	9	31	16	21	5	14	13	7	12	31	9	11	24	13	46	41	9	4	31	18	36	25	26	30	34	22	15	18	31	35	31	30	38	28	31	23	28	21	3	25	22	23	22	33	18	13	11					
10	Число действительных избирательных бюллетеней	83514	995	1046	1168	752	789	689	746	950	894	973	926	1058	852	650	1011	758	1047	1048	1025	1100	1148	1066	1045	1046	1146	1135	1220	965	732	737	1021	1071	950	1117	1186	1004	1042	95	1146	1148	391	152	260	673	448	1154	665	652	473	607	489	572	643	1084	670	573	1100	1059	1135	996	144	363	1175	664	1318	1013	966	1232	990	917	714	985	1313	1260	1147	1120	1218	1014	1041	1286	1160	1050	74	1521	861	988	1201	1327	1290	1175	694					
