Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Вурнарская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196					
1	"Число избирателей, внесенных в списки"	29326	2085	2072	1552	2412	311	526	471	686	285	373	454	216	467	219	198	163	112	882	72	552	506	622	257	1106	256	970	321	476	298	568	427	449	343	127	458	276	639	389	531	817	376	217	268	394	252	455	204	496	411	473	445	623	550	218					
2	"Число бюллетеней, полученных участковыми комиссиями"	26044	1863	1634	1375	2110	280	480	420	615	260	335	411	195	412	190	180	145	104	795	70	497	450	563	230	1010	227	860	287	428	270	501	385	408	310	116	406	245	575	350	475	722	333	200	240	358	227	417	182	445	370	426	401	565	500	191					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15649	975	867	763	1174	218	301	238	315	149	182	244	100	311	151	131	109	48	339	56	298	230	399	176	497	146	463	206	236	204	254	274	259	255	92	296	203	365	187	367	399	243	143	152	222	130	278	122	290	258	294	234	323	336	147					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1292	36	28	36	30	12	18	6	11	16	6	25	42	14	13	5	12	18	4	0	43	32	11	4	28	21	120	25	24	10	60	28	55	16	11	12	11	39	15	26	54	23	11	17	37	40	12	14	60	22	24	23	17	10	5					
6	Число погашенных бюллетеней	9103	852	739	576	906	50	161	176	289	95	147	142	53	87	26	44	24	38	452	14	156	188	153	50	485	60	277	56	168	56	187	83	94	39	13	98	31	171	148	82	269	67	46	71	99	57	127	46	95	90	108	144	225	154	39					
7	Число бюллетеней в переносных ящиках для голосования	1292	36	28	36	30	12	18	6	11	16	6	25	42	14	13	5	12	18	4	0	43	32	11	4	28	21	120	25	24	10	60	28	55	16	11	12	11	39	15	26	54	23	11	17	37	40	12	14	60	22	24	23	17	10	5					
8	Число бюллетеней в стационарных ящиках для голосования	15598	975	817	763	1174	218	301	237	315	149	182	244	100	311	151	131	109	48	339	56	298	230	399	176	497	146	463	206	236	204	254	274	259	255	92	296	203	365	187	367	399	243	143	152	222	130	278	122	290	258	294	234	323	336	147					
9	Число недействительных бюллетеней	884	32	28	30	23	14	2	20	23	9	18	16	4	12	6	2	7	3	35	3	16	34	30	9	20	17	16	13	28	5	24	8	11	13	0	3	14	25	18	14	42	17	37	13	0	10	32	12	7	16	14	26	16	16	21					
10	Число действительных бюллетеней	16006	979	817	769	1181	216	317	223	303	156	170	253	138	313	158	134	114	63	308	53	325	228	380	171	505	150	567	218	232	209	290	294	303	258	103	305	200	379	184	379	411	249	117	156	259	160	258	124	343	264	304	231	324	330	131					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	720	52	48	37	57	8	13	12	17	7	9	11	5	11	5	5	4	3	22	2	14	12	16	6	28	6	24	8	12	7	14	11	11	9	3	11	7	16	10	13	20	9	5	7	10	6	11	5	12	10	12	11	16	14	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	140	20	19	18	22	1	0	1	4	0	0	0	0	1	0	3	0	1	1	0	0	2	1	0	4	0	3	0	0	7	1	0	0	1	2	3	0	2	1	3	8	1	0	3	1	1	1	0	0	0	1	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	116	4	10	2	11	0	0	3	3	3	1	1	0	0	2	1	2	2	3	1	3	6	3	1	2	4	6	2	2	3	4	1	1	1	1	0	1	1	2	1	1	0	2	3	2	0	0	1	0	4	2	2	2	1	2					
14	Число погашенных открепительных удостоверений	580	32	29	19	35	7	13	11	13	7	9	11	5	10	5	2	4	2	21	2	14	10	15	6	24	6	21	8	12	0	13	11	11	8	1	8	7	14	9	10	12	8	5	4	9	5	10	5	12	10	11	9	16	13	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	309	11	11	13	16	3	6	3	12	2	5	7	2	5	8	3	2	2	9	1	5	5	6	1	11	4	14	2	7	5	11	3	6	7	0	1	5	8	3	4	12	4	0	1	10	2	5	5	8	4	3	9	4	11	2					
		1.82%	1.08%	1.30%	1.62%	1.32%	1.30%	1.88%	1.23%	3.68%	1.21%	2.65%	2.60%	1.40%	1.53%	4.87%	2.20%	1.65%	3.03%	2.62%	1.78%	1.46%	1.90%	1.46%	0.55%	2.09%	2.39%	2.40%	0.86%	2.69%	2.33%	3.50%	0.99%	1.91%	2.58%	0.0%	0.32%	2.33%	1.98%	1.48%	1.01%	2.64%	1.50%	0.0%	0.59%	3.86%	1.17%	1.72%	3.67%	2.28%	1.42%	0.94%	3.50%	1.17%	3.17%	1.31%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	299	29	23	9	22	3	1	2	6	3	0	28	1	9	2	0	2	1	11	3	5	3	5	6	5	3	17	0	17	1	8	4	1	4	1	3	0	7	0	1	18	2	0	2	1	1	4	0	2	3	4	2	6	6	2					
		1.77%	2.86%	2.72%	1.12%	1.82%	1.30%	0.31%	0.82%	1.84%	1.81%	0.0%	10.40%	0.70%	2.76%	1.21%	0.0%	1.65%	1.51%	3.20%	5.35%	1.46%	1.14%	1.21%	3.33%	0.95%	1.79%	2.91%	0.0%	6.53%	0.46%	2.54%	1.32%	0.31%	1.47%	0.97%	0.97%	0.0%	1.73%	0.0%	0.25%	3.97%	0.75%	0.0%	1.18%	0.38%	0.58%	1.37%	0.0%	0.57%	1.07%	1.25%	0.77%	1.76%	1.73%	1.31%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	271	12	11	20	11	2	3	4	6	3	4	7	2	2	3	6	0	0	5	0	10	4	3	5	7	2	15	4	6	0	8	2	1	5	2	6	0	4	0	5	3	7	0	2	4	4	13	5	5	6	6	12	4	7	3					
		1.60%	1.18%	1.30%	2.50%	0.91%	0.86%	0.94%	1.64%	1.84%	1.81%	2.12%	2.60%	1.40%	0.61%	1.82%	4.41%	0.0%	0.0%	1.45%	0.0%	2.93%	1.52%	0.73%	2.77%	1.33%	1.19%	2.57%	1.73%	2.30%	0.0%	2.54%	0.66%	0.31%	1.84%	1.94%	1.94%	0.0%	0.99%	0.0%	1.27%	0.66%	2.63%	0.0%	1.18%	1.54%	2.35%	4.48%	3.67%	1.42%	2.14%	1.88%	4.66%	1.17%	2.02%	1.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	217	17	7	13	18	1	6	3	5	1	0	5	0	2	0	2	7	4	3	1	11	2	8	1	5	1	7	4	7	0	1	2	1	7	1	3	3	5	1	1	4	1	0	3	2	1	5	2	14	5	1	4	5	2	2					
		1.28%	1.68%	0.82%	1.62%	1.49%	0.43%	1.88%	1.23%	1.53%	0.60%	0.0%	1.85%	0.0%	0.61%	0.0%	1.47%	5.78%	6.06%	0.87%	1.78%	3.22%	0.76%	1.95%	0.55%	0.95%	0.59%	1.20%	1.73%	2.69%	0.0%	0.31%	0.66%	0.31%	2.58%	0.97%	0.97%	1.40%	1.23%	0.49%	0.25%	0.88%	0.37%	0.0%	1.77%	0.77%	0.58%	1.72%	1.47%	4.0%	1.78%	0.31%	1.55%	1.47%	0.57%	1.31%					
22	"5. ""За Русь Святую"""	83	7	4	4	4	1	3	1	1	1	3	2	0	2	0	0	1	0	2	0	1	1	2	1	4	0	3	1	0	1	0	0	1	3	1	2	1	3	0	3	2	1	0	1	2	1	1	6	0	0	0	1	1	2	1					
		0.49%	0.69%	0.47%	0.50%	0.33%	0.43%	0.94%	0.41%	0.30%	0.60%	1.59%	0.74%	0.0%	0.61%	0.0%	0.0%	0.82%	0.0%	0.58%	0.0%	0.29%	0.38%	0.48%	0.55%	0.76%	0.0%	0.51%	0.43%	0.0%	0.46%	0.0%	0.0%	0.31%	1.10%	0.97%	0.64%	0.46%	0.74%	0.0%	0.76%	0.44%	0.37%	0.0%	0.59%	0.77%	0.58%	0.34%	4.41%	0.0%	0.0%	0.0%	0.38%	0.29%	0.57%	0.65%					
23	"6. ""Объединенная Российская партия ""Русь"""	60	4	5	3	4	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	2	0	1	1	0	3	1	0	0	0	0	3	1	2	0	0	2	2	2	0	0	1	1	1	2	1	0	0	4	1	4	1					
		0.35%	0.39%	0.59%	0.37%	0.33%	0.43%	0.31%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.58%	0.38%	0.24%	1.11%	0.0%	0.59%	0.17%	0.0%	1.15%	0.46%	0.0%	0.0%	0.0%	0.0%	2.91%	0.32%	0.93%	0.0%	0.0%	0.50%	0.44%	0.75%	0.0%	0.0%	0.38%	0.58%	0.34%	1.47%	0.28%	0.0%	0.0%	1.55%	0.29%	1.15%	0.65%					
24	"7. ""Новый курс - Автомобильная Россия"""	54	4	5	0	7	0	2	0	0	0	1	1	0	0	0	0	2	0	3	0	0	2	0	1	1	1	2	0	0	3	1	2	1	2	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	2	1	0	1	1	1					
		0.31%	0.39%	0.59%	0.0%	0.58%	0.0%	0.62%	0.0%	0.0%	0.0%	0.53%	0.37%	0.0%	0.0%	0.0%	0.0%	1.65%	0.0%	0.87%	0.0%	0.0%	0.76%	0.0%	0.55%	0.19%	0.59%	0.34%	0.0%	0.0%	1.40%	0.31%	0.66%	0.31%	0.73%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.22%	0.37%	0.64%	0.59%	0.38%	0.0%	0.0%	0.73%	0.0%	0.71%	0.31%	0.0%	0.29%	0.28%	0.65%					
25	"8. ""Народно-республиканская партия России"""	53	2	1	4	3	1	0	0	0	1	3	1	0	2	0	0	0	0	1	0	1	0	1	1	2	3	0	1	0	1	2	0	2	0	0	1	0	2	0	1	1	0	1	0	2	1	1	1	2	1	0	4	0	2	0					
		0.31%	0.19%	0.11%	0.50%	0.24%	0.43%	0.0%	0.0%	0.0%	0.60%	1.59%	0.37%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.29%	0.0%	0.24%	0.55%	0.38%	1.79%	0.0%	0.43%	0.0%	0.46%	0.63%	0.0%	0.63%	0.0%	0.0%	0.32%	0.0%	0.49%	0.0%	0.25%	0.22%	0.0%	0.64%	0.0%	0.77%	0.58%	0.34%	0.73%	0.57%	0.35%	0.0%	1.55%	0.0%	0.57%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	44	0	3	2	3	0	2	1	1	0	0	0	0	1	0	0	2	0	0	0	1	1	0	2	2	0	1	2	2	1	1	0	1	1	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0	2	2	1	2	1					
		0.26%	0.0%	0.35%	0.25%	0.24%	0.0%	0.62%	0.41%	0.30%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	1.65%	0.0%	0.0%	0.0%	0.29%	0.38%	0.0%	1.11%	0.38%	0.0%	0.17%	0.86%	0.76%	0.46%	0.31%	0.0%	0.31%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.37%	0.64%	0.59%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.77%	0.29%	0.57%	0.65%					
27	"10. ""Аграрная партия России"""	1609	57	55	51	53	38	39	15	22	26	31	23	2	11	8	20	1	9	17	5	50	21	44	30	72	19	38	29	32	26	17	14	41	16	1	16	20	36	13	24	42	97	24	35	38	17	35	16	75	21	18	24	68	41	16					
		9.52%	5.63%	6.50%	6.38%	4.40%	16.52%	12.22%	6.17%	6.74%	15.75%	16.48%	8.55%	1.40%	3.38%	4.87%	14.70%	0.82%	13.63%	4.95%	8.92%	14.66%	8.01%	10.73%	16.66%	13.71%	11.37%	6.51%	12.55%	12.30%	12.14%	5.41%	4.63%	13.05%	5.90%	0.97%	5.19%	9.34%	8.91%	6.43%	6.10%	9.27%	36.46%	15.58%	20.71%	14.67%	10.0%	12.06%	11.76%	21.42%	7.49%	5.66%	9.33%	20.0%	11.84%	10.52%					
28	"11. ""Истинные патриоты России"""	20	2	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0	0					
