Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
Наименование Избирательной комиссии:    ТИК г.Соликамска																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640	УИК №3641	УИК №3642	УИК №3643	УИК №3644	УИК №3645					
1	"Число избирателей, внесенных в списки избирателей"	73704	2206	1033	1496	1028	2912	1915	2739	2705	2739	1208	2983	2747	1885	1687	1487	1530	856	2407	2050	2784	982	1852	2664	2962	2233	767	2188	840	817	2994	2845	1931	1493	460	824	982	1064	1259	829	289	1064	1398	348	72	150					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	71170	2050	1000	1450	1000	2800	1850	2700	2650	2700	1150	2900	2700	1850	1650	1450	1450	800	2250	1950	2700	850	1800	2600	2900	2200	750	2150	800	750	2950	2750	1850	1450	400	800	950	1000	1200	800	250	1000	1350	348	72	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38032	924	456	674	498	1524	1062	1558	1575	1518	626	1561	1478	993	898	783	658	346	1285	1190	1566	512	1046	1376	1564	1192	458	1221	379	415	1491	1327	914	788	206	270	353	453	646	341	134	528	782	339	72	52					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1432	28	12	37	16	65	12	21	40	54	11	40	47	17	38	33	84	20	71	9	11	31	13	24	38	37	12	23	9	37	149	45	62	32	8	12	25	16	24	28	12	13	18	0	0	98					
6	Число погашенных избирательных бюллетеней	31706	1098	532	739	486	1211	776	1121	1035	1128	513	1299	1175	840	714	634	708	434	894	751	1123	307	741	1200	1298	971	280	906	412	298	1310	1378	874	630	186	518	572	531	530	431	104	459	550	9	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1432	28	12	37	16	65	12	21	40	54	11	40	47	17	38	33	84	20	71	9	11	31	13	24	38	37	12	23	9	37	149	45	62	32	8	12	25	16	24	28	12	13	18	0	0	98					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38008	924	456	674	498	1512	1061	1557	1574	1517	626	1561	1478	993	895	783	658	346	1284	1190	1566	512	1046	1376	1563	1192	458	1219	379	415	1491	1327	914	787	206	270	353	453	646	341	134	528	782	339	72	52					
9	Число недействительных избирательных бюллетеней	332	7	2	6	2	14	11	9	11	14	8	7	15	10	8	11	3	3	10	15	10	3	6	8	17	9	6	7	2	4	19	22	4	9	4	2	2	2	8	3	2	3	5	8	1	0					
10	Число действительных избирательных бюллетеней	39108	945	466	705	512	1563	1062	1569	1603	1557	629	1594	1510	1000	925	805	739	363	1345	1184	1567	540	1053	1392	1584	1220	464	1235	386	448	1621	1350	972	810	210	280	376	467	662	366	144	538	795	331	71	150					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1610	50	20	30	20	60	40	60	60	60	30	60	60	40	40	40	40	30	50	50	60	20	40	60	60	50	20	50	20	20	60	60	40	30	10	20	20	20	30	20	10	20	30	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	517	7	12	13	6	17	13	7	17	22	7	21	11	23	12	12	8	4	14	17	25	17	15	18	19	16	7	18	11	7	17	13	18	10	5	6	10	7	8	4	5	8	10	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	429	7	3	7	2	7	6	3	15	15	11	5	11	10	5	8	3	3	3	6	14	42	9	6	12	4	4	9	4	8	9	7	11	7	2	3	2	6	6	3	7	5	4	108	0	7					
14	Число погашенных неиспользованных открепительных удостоверений	1093	43	8	17	14	43	27	53	43	38	23	39	49	17	28	28	32	26	36	33	35	3	25	42	41	34	13	32	9	13	43	47	22	20	5	14	10	13	22	16	5	12	20	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	1.Политическая партия «Аграрная партия России»	815	12	4	14	14	33	26	51	48	47	12	41	26	22	32	11	20	3	29	24	27	5	19	17	36	32	17	22	6	6	28	14	20	20	2	1	11	10	12	8	5	8	14	4	1	1					
		2.07%	1.26%	0.85%	1.97%	2.72%	2.09%	2.42%	3.23%	2.97%	2.99%	1.88%	2.56%	1.70%	2.18%	3.43%	1.35%	2.70%	0.82%	2.14%	2.00%	1.71%	0.92%	1.79%	1.21%	2.25%	2.60%	3.62%	1.77%	1.55%	1.33%	1.71%	1.02%	2.05%	2.44%	0.93%	0.35%	2.91%	2.13%	1.79%	2.17%	3.42%	1.48%	1.75%	1.18%	1.39%	0.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	233	5	1	3	1	12	5	7	12	9	6	10	11	7	4	2	1	3	8	15	11	1	5	4	8	6	3	8	3	3	9	11	7	6	0	1	1	3	4	2	3	3	4	3	0	2					
		0.59%	0.53%	0.21%	0.42%	0.19%	0.76%	0.47%	0.44%	0.74%	0.57%	0.94%	0.62%	0.72%	0.69%	0.43%	0.25%	0.13%	0.82%	0.59%	1.25%	0.70%	0.18%	0.47%	0.29%	0.50%	0.49%	0.64%	0.64%	0.77%	0.66%	0.55%	0.80%	0.72%	0.73%	0.00%	0.35%	0.26%	0.64%	0.60%	0.54%	2.05%	0.55%	0.50%	0.88%	0.00%	1.33%					
20	3.Политическая партия «Демократическая партия России»	46	3	1	3	1	0	2	3	0	2	2	0	1	0	0	0	1	1	2	2	0	0	0	1	2	2	0	2	0	1	2	2	0	0	0	0	0	0	3	0	0	1	1	4	0	1					
		0.12%	0.32%	0.21%	0.42%	0.19%	0.00%	0.19%	0.19%	0.00%	0.13%	0.31%	0.00%	0.07%	0.00%	0.00%	0.00%	0.13%	0.27%	0.15%	0.17%	0.00%	0.00%	0.00%	0.07%	0.12%	0.16%	0.00%	0.16%	0.00%	0.22%	0.12%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.18%	0.13%	1.18%	0.00%	0.67%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2920	51	34	37	46	136	85	108	138	128	24	128	125	72	91	66	44	22	107	74	110	31	59	107	121	131	47	112	15	54	136	100	59	56	11	13	18	19	45	35	8	38	62	6	6	5					
		7.40%	5.36%	7.26%	5.20%	8.95%	8.62%	7.92%	6.84%	8.55%	8.15%	3.77%	7.99%	8.20%	7.13%	9.75%	8.09%	5.93%	6.01%	7.90%	6.17%	6.98%	5.71%	5.57%	7.64%	7.56%	10.66%	10.00%	9.02%	3.87%	11.95%	8.29%	7.29%	6.05%	6.84%	5.14%	4.61%	4.76%	4.05%	6.72%	9.49%	5.48%	7.02%	7.75%	1.77%	8.33%	3.33%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	564	8	6	11	4	14	23	24	34	28	14	25	15	19	12	16	11	8	21	9	27	4	20	24	28	21	6	21	3	1	13	12	11	8	3	2	5	5	14	8	4	6	9	4	0	3					
		1.43%	0.84%	1.28%	1.55%	0.78%	0.89%	2.14%	1.52%	2.11%	1.78%	2.20%	1.56%	0.98%	1.88%	1.29%	1.96%	1.48%	2.19%	1.55%	0.75%	1.71%	0.74%	1.89%	1.71%	1.75%	1.71%	1.28%	1.69%	0.77%	0.22%	0.79%	0.87%	1.13%	0.98%	1.40%	0.71%	1.32%	1.07%	2.09%	2.17%	2.74%	1.11%	1.13%	1.18%	0.00%	2.00%					
23	6.Политическая партия «Партия социальной справедливости»	76	0	0	2	2	2	2	3	5	0	3	0	3	2	2	1	2	0	3	2	0	3	3	2	6	1	2	6	3	0	3	1	1	4	1	1	1	0	1	1	0	0	1	1	0	0					
		0.19%	0.00%	0.00%	0.28%	0.39%	0.13%	0.19%	0.19%	0.31%	0.00%	0.47%	0.00%	0.20%	0.20%	0.21%	0.12%	0.27%	0.00%	0.22%	0.17%	0.00%	0.55%	0.28%	0.14%	0.37%	0.08%	0.43%	0.48%	0.77%	0.00%	0.18%	0.07%	0.10%	0.49%	0.47%	0.35%	0.26%	0.00%	0.15%	0.27%	0.00%	0.00%	0.13%	0.29%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	5276	157	66	127	67	217	146	212	201	228	108	206	225	151	126	119	106	51	189	158	219	61	150	187	201	115	62	172	61	36	220	165	131	102	24	44	55	56	73	38	13	64	85	63	6	13					
		13.38%	16.49%	14.10%	17.86%	13.04%	13.76%	13.61%	13.43%	12.45%	14.51%	16.95%	12.87%	14.75%	14.95%	13.50%	14.58%	14.29%	13.93%	13.95%	13.18%	13.89%	11.23%	14.16%	13.36%	12.55%	9.36%	13.19%	13.85%	15.72%	7.96%	13.41%	12.03%	13.42%	12.45%	11.21%	15.60%	14.55%	11.94%	10.90%	10.30%	8.90%	11.83%	10.63%	18.58%	8.33%	8.67%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2626	47	31	32	50	88	102	107	116	112	38	100	106	75	64	43	45	19	72	85	115	44	92	106	114	89	36	88	13	37	100	76	81	57	13	9	8	27	42	15	9	38	68	6	2	9					
		6.66%	4.94%	6.62%	4.50%	9.73%	5.58%	9.51%	6.78%	7.19%	7.13%	5.97%	6.25%	6.95%	7.43%	6.86%	5.27%	6.06%	5.19%	5.31%	7.09%	7.29%	8.10%	8.69%	7.57%	7.12%	7.24%	7.66%	7.09%	3.35%	8.19%	6.10%	5.54%	8.30%	6.96%	6.07%	3.19%	2.12%	5.76%	6.27%	4.07%	6.16%	7.02%	8.50%	1.77%	2.78%	6.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	279	5	5	5	0	13	6	11	11	11	4	12	8	9	8	6	1	3	11	10	9	6	7	7	12	11	6	10	2	6	11	4	11	4	2	2	3	1	7	2	2	3	6	2	1	3					
		0.71%	0.53%	1.07%	0.70%	0.00%	0.82%	0.56%	0.70%	0.68%	0.70%	0.63%	0.75%	0.52%	0.89%	0.86%	0.74%	0.13%	0.82%	0.81%	0.83%	0.57%	1.10%	0.66%	0.50%	0.75%	0.90%	1.28%	0.81%	0.52%	1.33%	0.67%	0.29%	1.13%	0.49%	0.93%	0.71%	0.79%	0.21%	1.04%	0.54%	1.37%	0.55%	0.75%	0.59%	1.39%	2.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	25766	654	312	466	321	1034	643	1017	1008	963	412	1040	970	623	579	526	500	250	889	794	1025	382	688	914	1033	792	279	765	278	298	1080	949	639	550	154	207	273	341	455	252	98	374	537	236	55	111					
		65.33%	68.70%	66.67%	65.54%	62.45%	65.57%	59.93%	64.45%	62.45%	61.30%	64.68%	64.96%	63.61%	61.68%	62.06%	64.46%	67.39%	68.31%	65.61%	66.22%	64.99%	70.35%	64.97%	65.29%	64.52%	64.44%	59.36%	61.59%	71.65%	65.93%	65.85%	69.17%	65.47%	67.16%	71.96%	73.40%	72.22%	72.71%	67.91%	68.29%	67.12%	69.13%	67.13%	69.62%	76.39%	74.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	507	3	6	5	6	14	22	26	30	29	6	32	20	20	7	15	8	3	14	11	24	3	10	23	23	20	6	29	2	6	19	16	12	3	0	0	1	5	6	5	2	3	8	2	0	2					
		1.29%	0.32%	1.28%	0.70%	1.17%	0.89%	2.05%	1.65%	1.86%	1.85%	0.94%	1.99%	1.31%	1.98%	0.75%	1.84%	1.08%	0.82%	1.03%	0.92%	1.52%	0.55%	0.94%	1.64%	1.44%	1.63%	1.28%	2.33%	0.52%	1.33%	1.16%	1.17%	1.23%	0.37%	0.00%	0.00%	0.26%	1.07%	0.90%	1.36%	1.37%	0.55%	1.00%	0.59%	0.00%	1.33%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
