Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
"Наименование Избирательной комиссии:    Новокузнецк, Кузнецкая"																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35227	1991	2072	2055	2117	2140	1991	2126	1034	2322	2302	2278	500	2353	2001	2043	1897	2049	1956									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34200	1800	2000	2000	2000	2000	1800	2100	1000	2300	2200	2200	1000	2300	1900	2000	1800	2000	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28300	1589	1648	1685	1724	1698	1622	1577	816	1850	1827	1820	500	1879	1659	1678	1529	1629	1570									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1467	84	96	29	38	86	73	215	45	108	110	102	0	125	41	41	85	95	94									
6	Число погашенных избирательных бюллетеней	4433	127	256	286	238	216	105	308	139	342	263	278	500	296	200	281	186	276	136									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1467	84	96	29	38	86	73	215	45	108	110	102	0	125	41	41	85	95	94									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28300	1589	1648	1685	1724	1698	1622	1577	816	1850	1827	1820	500	1879	1659	1678	1529	1629	1570									
9	Число недействительных избирательных бюллетеней	180	15	10	13	14	10	16	9	6	10	11	10	6	10	6	9	10	7	8									
10	Число действительных избирательных бюллетеней	29587	1658	1734	1701	1748	1774	1679	1783	855	1948	1926	1912	494	1994	1694	1710	1604	1717	1656									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1487	92	85	85	85	85	85	100	85	85	85	85	0	105	85	85	85	85	85									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	552	37	16	26	22	24	34	44	38	48	24	30	0	17	17	46	35	42	52									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	353	14	27	25	13	2	7	12	41	18	31	14	19	10	27	20	14	29	30									
14	Число погашенных неиспользованных открепительных удостоверений	935	55	69	59	63	61	51	56	47	37	61	55	0	88	68	39	50	43	33									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	4	1	0	0	0	0	0	1	0	1	0	0	0	0	2	3	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	25	1	1	1	1	2	1	1	1	2	2	2	0	2	1	2	1	2	2									
		0.08%	0.06%	0.06%	0.06%	0.06%	0.11%	0.06%	0.06%	0.12%	0.10%	0.10%	0.10%	0.00%	0.10%	0.06%	0.12%	0.06%	0.12%	0.12%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	414	25	26	25	22	21	20	25	12	24	27	27	7	29	24	26	23	27	24									
		1.39%	1.49%	1.49%	1.46%	1.25%	1.18%	1.18%	1.40%	1.39%	1.23%	1.39%	1.40%	1.40%	1.45%	1.41%	1.51%	1.43%	1.57%	1.44%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.06%	0.00%	0.06%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21168	1189	1256	1212	1269	1275	1190	1266	634	1389	1381	1353	340	1422	1224	1241	1148	1202	1177									
		71.11%	71.07%	72.02%	70.71%	72.02%	71.47%	70.21%	70.65%	73.64%	70.94%	71.30%	70.40%	68.00%	70.96%	72.00%	72.19%	71.13%	69.72%	70.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1									
		0.03%	0.06%	0.00%	0.06%	0.00%	0.00%	0.06%	0.00%	0.00%	0.05%	0.05%	0.05%	0.00%	0.05%	0.06%	0.00%	0.00%	0.00%	0.06%									
24	"6. Политическая партия ""Гражданская Платформа"""	37	2	1	1	2	3	2	2	1	3	3	2	1	2	2	3	2	3	2									
		0.12%	0.12%	0.06%	0.06%	0.11%	0.17%	0.12%	0.11%	0.12%	0.15%	0.15%	0.10%	0.20%	0.10%	0.12%	0.17%	0.12%	0.17%	0.12%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2524	130	135	145	149	151	142	148	67	163	169	176	59	190	144	134	124	151	147									
		8.48%	7.77%	7.74%	8.46%	8.46%	8.46%	8.38%	8.26%	7.78%	8.32%	8.72%	9.16%	11.80%	9.48%	8.47%	7.80%	7.68%	8.76%	8.83%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1									
		0.02%	0.00%	0.06%	0.00%	0.06%	0.00%	0.06%	0.00%	0.00%	0.05%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.06%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	2	0	1	0	0	3	0	0	1	0	1	0	1	0	0	3	0	1									
		0.04%	0.12%	0.00%	0.06%	0.00%	0.00%	0.18%	0.00%	0.00%	0.05%	0.00%	0.05%	0.00%	0.05%	0.00%	0.00%	0.19%	0.00%	0.06%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	48	2	1	3	3	1	4	3	1	4	2	3	1	4	3	2	4	3	4									
		0.16%	0.12%	0.06%	0.18%	0.17%	0.06%	0.24%	0.17%	0.12%	0.20%	0.10%	0.16%	0.20%	0.20%	0.18%	0.12%	0.25%	0.17%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	428	24	27	23	26	23	26	26	13	29	28	26	7	27	25	25	23	24	26									
		1.44%	1.43%	1.55%	1.34%	1.48%	1.29%	1.53%	1.45%	1.51%	1.48%	1.45%	1.35%	1.40%	1.35%	1.47%	1.45%	1.43%	1.39%	1.56%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2489	148	145	151	137	158	142	153	61	171	165	166	46	149	133	147	137	156	124									
		8.36%	8.85%	8.31%	8.81%	7.78%	8.86%	8.38%	8.54%	7.08%	8.73%	8.52%	8.64%	9.20%	7.44%	7.82%	8.55%	8.49%	9.05%	7.45%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	555	30	33	32	34	29	33	36	16	35	36	35	9	40	32	30	31	32	32									
		1.86%	1.79%	1.89%	1.87%	1.93%	1.63%	1.95%	2.01%	1.86%	1.79%	1.86%	1.82%	1.80%	1.99%	1.88%	1.75%	1.92%	1.86%	1.92%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1866	104	108	106	104	111	114	123	49	125	112	119	22	127	105	99	107	116	115									
		6.27%	6.22%	6.19%	6.18%	5.90%	6.22%	6.73%	6.86%	5.69%	6.38%	5.78%	6.19%	4.40%	6.34%	6.18%	5.76%	6.63%	6.73%	6.91%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
