Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Нижнекамская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327					
1	"Число избирателей, внесенных в список"	26176	1180	1038	329	1063	1109	620	311	218	708	353	210	576	278	477	186	379	281	432	437	492	262	275	712	617	645	510	314	370	526	1092	2599	2607	2547	2423					
2	Число полученных избирательных бюллетеней	26294	1191	1032	327	1069	1101	621	308	216	702	348	199	572	279	477	187	373	283	434	438	488	263	306	714	615	637	509	311	363	526	1088	2635	2633	2585	2464					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22739	881	814	299	935	898	569	297	174	665	333	194	568	275	459	178	371	257	411	426	438	262	268	648	509	484	455	284	363	518	1032	2201	2061	2167	2045					
5	"Число избирательных бюллетеней, выданных вне помещения"	786	103	98	6	23	33	30	5	17	14	6	5	0	0	0	0	0	0	12	10	28	0	7	7	63	122	37	16	0	0	44	9	25	24	42					
6	Число погашенных избирательных бюллетеней	2769	207	120	22	111	170	22	6	25	23	9	0	4	4	18	9	2	26	11	2	22	1	31	59	43	31	17	11	0	8	12	425	547	394	377					
7	Число избирательных бюллетеней в переносных ящиках	786	103	98	6	23	33	30	5	17	14	6	5	0	0	0	0	0	0	12	10	28	0	7	7	63	122	37	16	0	0	44	9	25	24	42					
8	Число бюллетеней в стационарных ящиках для голосования	22739	881	814	299	935	898	569	297	174	665	333	194	568	275	459	178	371	257	411	426	438	262	268	648	509	484	455	284	363	518	1032	2201	2061	2167	2045					
9	Число недействительных избирательных бюллетеней	175	0	8	1	9	5	0	0	0	2	20	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	2	6	55	1	3	28	6	13	10					
10	Число действительных избирательных бюллетеней	23350	984	904	304	949	926	599	302	191	677	319	198	568	275	458	178	371	257	423	436	466	262	275	655	568	606	490	294	308	517	1073	2182	2080	2178	2077					
11	Число полученных открепительных  удостоверений	784	30	25	15	30	30	20	15	12	20	15	12	20	12	17	12	15	12	17	17	17	12	15	20	20	20	17	15	15	17	30	60	60	60	60					
12	Число выданных открепительных удостоверений	299	8	11	8	4	6	1	0	1	1	0	3	3	1	0	1	0	0	11	5	4	0	1	4	1	5	4	1	0	1	7	46	41	60	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	207	3	7	11	3	3	4	4	1	10	9	12	7	0	3	2	9	0	5	0	8	1	6	7	7	10	4	5	5	5	12	9	14	13	8					
14	Число неиспользованных открепительных удостоверений	485	22	14	7	26	24	19	15	11	19	15	9	17	11	17	11	15	12	6	12	13	12	14	16	19	15	13	14	15	16	23	14	19	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	16	3	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	613	33	28	19	34	39	10	1	4	3	9	7	9	0	3	3	2	4	4	6	3	0	0	12	28	12	2	6	2	15	21	63	93	62	76					
		2.61%	3.35%	3.07%	6.23%	3.55%	4.19%	1.67%	0.33%	2.09%	0.44%	2.65%	3.52%	1.58%	0.00%	0.65%	1.69%	0.54%	1.56%	0.95%	1.38%	0.64%	0.00%	0.00%	1.83%	4.90%	1.98%	0.41%	2.00%	0.55%	2.90%	1.95%	2.85%	4.46%	2.83%	3.64%					
19	. Малышкин Олег Александрович	336	12	16	4	17	13	2	0	2	3	4	1	0	1	2	0	3	1	2	4	1	0	0	8	11	25	10	2	13	8	13	51	38	33	36					
		1.43%	1.22%	1.75%	1.31%	1.77%	1.40%	0.33%	0.00%	1.05%	0.44%	1.18%	0.50%	0.00%	0.36%	0.44%	0.00%	0.81%	0.39%	0.47%	0.92%	0.21%	0.00%	0.00%	1.22%	1.92%	4.13%	2.03%	0.67%	3.58%	1.54%	1.21%	2.31%	1.82%	1.51%	1.72%					
20	. Миронов Сергей Михайлович	185	17	14	0	8	7	2	2	0	6	1	0	0	0	2	0	0	5	0	1	1	0	3	10	3	2	0	4	1	6	3	23	30	14	20					
		0.79%	1.73%	1.54%	0.00%	0.84%	0.75%	0.33%	0.66%	0.00%	0.88%	0.29%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	1.95%	0.00%	0.23%	0.21%	0.00%	1.09%	1.53%	0.52%	0.33%	0.00%	1.33%	0.28%	1.16%	0.28%	1.04%	1.44%	0.64%	0.96%					
21	. Путин Владимир Владимирович	19462	732	783	241	687	778	529	293	183	615	283	183	546	266	420	160	350	213	412	413	444	262	256	573	460	480	451	240	272	422	869	1688	1581	1774	1603					
		82.73%	74.39%	85.86%	79.02%	71.71%	83.57%	88.31%	97.02%	95.81%	90.57%	83.48%	91.96%	96.13%	96.73%	91.50%	89.89%	94.34%	82.88%	97.40%	94.72%	95.28%	100.00%	93.09%	87.48%	80.42%	79.21%	91.67%	80.00%	74.93%	81.47%	80.76%	76.38%	75.79%	80.97%	76.81%					
22	. Хакамада Ирина Муцуовна	348	22	16	4	16	20	6	1	0	9	7	1	0	0	3	3	4	1	0	0	2	0	0	7	9	4	2	0	2	6	13	62	47	29	52					
		1.48%	2.24%	1.75%	1.31%	1.67%	2.15%	1.00%	0.33%	0.00%	1.33%	2.06%	0.50%	0.00%	0.00%	0.65%	1.69%	1.08%	0.39%	0.00%	0.00%	0.43%	0.00%	0.00%	1.07%	1.57%	0.66%	0.41%	0.00%	0.55%	1.16%	1.21%	2.81%	2.25%	1.32%	2.49%					
23	. Харитонов Николай Михайлович	2088	144	47	34	174	57	44	4	2	38	14	5	13	8	27	8	12	31	4	11	15	0	16	40	48	74	17	41	17	57	147	241	230	220	248					
		8.88%	14.63%	5.15%	11.15%	18.16%	6.12%	7.35%	1.32%	1.05%	5.60%	4.13%	2.51%	2.29%	2.91%	5.88%	4.49%	3.23%	12.06%	0.95%	2.52%	3.22%	0.00%	5.82%	6.11%	8.39%	12.21%	3.46%	13.67%	4.68%	11.00%	13.66%	10.90%	11.03%	10.04%	11.88%					
																																									
24	Против всех	318	24	0	2	13	12	6	1	0	3	1	1	0	0	1	4	0	2	1	1	0	0	0	5	9	9	8	1	1	3	7	54	61	46	42					
		1.35%	2.44%	0.00%	0.66%	1.36%	1.29%	1.00%	0.33%	0.00%	0.44%	0.29%	0.50%	0.00%	0.00%	0.22%	2.25%	0.00%	0.78%	0.24%	0.23%	0.00%	0.00%	0.00%	0.76%	1.57%	1.49%	1.63%	0.33%	0.28%	0.58%	0.65%	2.44%	2.92%	2.10%	2.01%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
