Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Дмитриевская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13951	1911	2097	1613	874	422	123	224	1542	442	207	210	296	64	325	590	611	135	166	160	98	280	170	109	226	157	521	230	148									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11364	1548	1685	1322	709	342	101	182	1263	365	169	171	235	54	259	478	494	112	138	134	81	230	142	90	188	130	422	187	133									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6701	839	948	660	360	254	64	89	708	224	93	97	166	47	151	373	361	54	100	94	60	111	77	70	107	82	302	136	74									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1083	42	84	77	48	45	20	50	129	31	39	25	46	5	53	27	17	40	26	25	9	47	31	15	42	14	40	37	19									
6	Число погашенных избирательных бюллетеней	3580	667	653	585	301	43	17	43	426	110	37	49	23	2	55	78	116	18	12	15	12	72	34	5	39	34	80	14	40									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1083	42	84	77	48	45	20	50	129	31	39	25	46	5	53	27	17	40	26	25	9	47	31	15	42	14	40	37	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6701	839	948	660	360	254	64	89	708	224	93	97	166	47	151	373	361	54	100	94	60	111	77	70	107	82	302	136	74									
9	Число недействительных избирательных бюллетеней	121	21	13	7	11	5	1	1	11	4	3	1	4	0	0	4	6	1	0	0	0	4	3	0	6	1	11	3	0									
10	Число действительных избирательных бюллетеней	7663	860	1019	730	397	294	83	138	826	251	129	121	208	52	204	396	372	93	126	119	69	154	105	85	143	95	331	170	93									
