Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Тотемская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19055	1000	983	1009	942	1372	1191	956	339	210	334	155	506	221	247	157	478	160	271	137	143	1094	1131	997	247	160	1160	748	1219	288	384	249	236	331									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17500	900	900	900	900	1100	1100	900	300	200	300	150	500	200	250	150	400	150	250	100	150	1000	1000	1000	200	150	1100	750	1100	250	350	250	250	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7589	382	360	391	452	574	431	430	160	120	123	64	157	94	60	82	144	32	129	55	48	460	672	464	111	49	391	260	400	59	160	97	75	103									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	976	35	37	11	18	24	14	18	33	20	40	7	54	18	37	11	21	23	28	6	24	62	13	35	23	8	71	50	51	25	36	43	27	53									
6	Число погашенных избирательных бюллетеней	8935	483	503	498	430	502	655	452	107	60	137	79	289	88	153	57	235	95	93	39	78	478	315	501	66	93	638	440	649	166	154	110	148	144									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	976	35	37	11	18	24	14	18	33	20	40	7	54	18	37	11	21	23	28	6	24	62	13	35	23	8	71	50	51	25	36	43	27	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7588	382	360	391	452	574	431	429	160	120	123	64	157	94	60	82	144	32	129	55	48	460	672	464	111	49	391	260	400	59	160	97	75	103									
9	Число недействительных избирательных бюллетеней	164	11	3	4	7	8	6	16	3	3	1	0	6	0	4	4	9	2	4	3	3	12	14	7	0	0	10	8	4	2	2	2	5	1									
10	Число действительных избирательных бюллетеней	8400	406	394	398	463	590	439	431	190	137	162	71	205	112	93	89	156	53	153	58	69	510	671	492	134	57	452	302	447	82	194	138	97	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1050	100	30	30	30	150	30	30	30	20	30	20	30	20	20	30	30	20	30	30	30	30	30	30	20	20	30	20	30	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	273	10	4	5	13	15	9	8	6	13	1	4	14	5	5	6	1	2	9	6	8	11	15	15	12	3	10	20	10	3	8	6	12	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	188	4	8	7	10	5	9	13	14	4	6	1	6	3	1	2	1	3	4	2	1	12	35	7	4	2	3	4	5	1	5	5	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	777	90	26	25	17	135	21	22	24	7	29	16	16	15	15	24	29	18	21	24	22	19	15	15	8	17	20	0	20	17	12	14	8	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	4	4	1	2	1	5	4	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	4	4	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	79	5	0	6	1	7	6	5	0	1	1	0	2	2	1	0	2	2	1	0	0	4	12	5	0	0	2	5	1	0	5	2	1	0									
		0.92%	1.20%	0.00%	1.49%	0.21%	1.17%	1.35%	1.12%	0.00%	0.71%	0.61%	0.00%	0.95%	1.79%	1.03%	0.00%	1.21%	3.64%	0.64%	0.00%	0.00%	0.77%	1.75%	1.00%	0.00%	0.00%	0.43%	1.61%	0.22%	0.00%	2.55%	1.43%	0.98%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	265	19	19	19	11	11	18	17	7	7	1	1	4	2	5	1	6	1	8	2	2	10	9	15	5	1	11	7	13	3	11	6	1	12									
		3.09%	4.56%	4.79%	4.73%	2.34%	1.84%	4.04%	3.80%	3.63%	5.00%	0.61%	1.41%	1.90%	1.79%	5.15%	1.08%	3.64%	1.82%	5.10%	3.28%	2.78%	1.92%	1.31%	3.01%	3.73%	1.75%	2.38%	2.26%	2.88%	3.57%	5.61%	4.29%	0.98%	7.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	309	13	16	11	21	30	18	14	0	3	7	1	8	4	4	3	12	1	3	4	1	24	21	21	2	2	14	12	14	3	9	9	1	3									
		3.61%	3.12%	4.03%	2.74%	4.47%	5.02%	4.04%	3.13%	0.00%	2.14%	4.29%	1.41%	3.79%	3.57%	4.12%	3.23%	7.27%	1.82%	1.91%	6.56%	1.39%	4.60%	3.07%	4.21%	1.49%	3.51%	3.03%	3.87%	3.10%	3.57%	4.59%	6.43%	0.98%	1.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3461	159	138	146	154	218	149	166	115	60	83	39	89	32	49	38	67	35	74	30	26	225	336	174	48	29	199	137	176	36	70	64	56	44									
		40.41%	38.13%	34.76%	36.32%	32.77%	36.45%	33.48%	37.14%	59.59%	42.86%	50.92%	54.93%	42.18%	28.57%	50.52%	40.86%	40.61%	63.64%	47.13%	49.18%	36.11%	43.10%	49.05%	34.87%	35.82%	50.88%	43.07%	44.19%	39.02%	42.86%	35.71%	45.71%	54.90%	28.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	53	2	3	0	3	10	0	5	1	0	0	0	1	1	0	0	2	0	1	0	1	3	3	4	1	0	7	0	3	0	0	1	0	1									
		0.62%	0.48%	0.76%	0.00%	0.64%	1.67%	0.00%	1.12%	0.52%	0.00%	0.00%	0.00%	0.47%	0.89%	0.00%	0.00%	1.21%	0.00%	0.64%	0.00%	1.39%	0.57%	0.44%	0.80%	0.75%	0.00%	1.52%	0.00%	0.67%	0.00%	0.00%	0.71%	0.00%	0.64%									
