Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Байконурская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  5348	УИК  5349	УИК  5350	УИК  5351	УИК  5352	УИК  5353	УИК  5354	УИК  5355					
1	"Число избирателей, внесенных в списки"	21413	3106	3212	3047	2545	2476	2418	2708	1901					
2	"Число бюллетеней, полученных участковыми комиссиями"	16805	2101	2099	2100	2000	2000	1905	2300	2300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	277	0	0	0	0	0	0	277	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13283	2032	2042	1921	1555	1491	1578	1286	1378					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	161	13	17	15	0	13	18	20	65					
6	Число погашенных бюллетеней	3084	56	40	164	445	496	309	717	857					
7	Число бюллетеней в переносных ящиках для голосования	437	13	17	15	0	13	18	296	65					
8	Число бюллетеней в стационарных ящиках для голосования	13256	2030	2035	1906	1555	1490	1578	1284	1378					
9	Число недействительных бюллетеней	127	19	30	7	15	16	11	18	11					
10	Число действительных бюллетеней	13566	2024	2022	1914	1540	1487	1585	1562	1432					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	246	35	32	35	30	36	35	25	18					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	206	28	29	34	21	28	33	19	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	2	3	0	2	11	8	2	25					
14	Число погашенных открепительных удостоверений	40	7	3	1	9	8	2	6	4					
15	Число открепительных удостоверений выданных ТИК	4	1	0	0	0	0	0	1	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	207	30	38	20	25	22	40	18	14					
		1.51%	1.46%	1.85%	1.04%	1.60%	1.46%	2.50%	1.13%	0.97%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	526	73	84	82	53	47	76	57	54					
		3.84%	3.57%	4.09%	4.26%	3.40%	3.12%	4.76%	3.60%	3.74%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	321	45	43	48	48	40	37	39	21					
		2.34%	2.20%	2.09%	2.49%	3.08%	2.66%	2.31%	2.46%	1.45%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	682	105	110	76	72	72	95	79	73					
		4.98%	5.13%	5.36%	3.95%	4.63%	4.79%	5.95%	5.0%	5.05%					
22	"5. ""За Русь Святую"""	55	9	5	10	4	7	4	9	7					
		0.40%	0.44%	0.24%	0.52%	0.25%	0.46%	0.25%	0.56%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	3	3	6	4	2	1	9	7					
		0.25%	0.14%	0.14%	0.31%	0.25%	0.13%	0.06%	0.56%	0.48%					
24	"7. ""Новый курс - Автомобильная Россия"""	102	11	22	19	13	12	8	7	10					
		0.74%	0.53%	1.07%	0.98%	0.83%	0.79%	0.50%	0.44%	0.69%					
25	"8. ""Народно-республиканская партия России"""	12	1	1	3	1	2	2	1	1					
		0.08%	0.04%	0.04%	0.15%	0.06%	0.13%	0.12%	0.06%	0.06%					
26	"9. ""Российская экологическая партия ""Зеленые"""	84	17	11	6	14	8	9	13	6					
		0.61%	0.83%	0.53%	0.31%	0.90%	0.53%	0.56%	0.82%	0.41%					
27	"10. ""Аграрная партия России"""	143	29	9	26	18	18	13	18	12					
		1.04%	1.41%	0.43%	1.35%	1.15%	1.19%	0.81%	1.13%	0.83%					
28	"11. ""Истинные патриоты России"""	16	2	3	2	1	1	2	2	3					
		0.11%	0.09%	0.14%	0.10%	0.06%	0.06%	0.12%	0.12%	0.20%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	99	19	24	12	9	6	8	8	13					
		0.72%	0.93%	1.16%	0.62%	0.57%	0.39%	0.50%	0.50%	0.90%					
30	"13. ""Демократическая партия России"""	29	6	0	2	9	3	2	6	1					
		0.21%	0.29%	0.0%	0.10%	0.57%	0.19%	0.12%	0.37%	0.06%					
31	"14. ""Великая Россия - Евразийский Союз"""	76	7	14	9	11	10	8	4	13					
		0.55%	0.34%	0.68%	0.46%	0.70%	0.66%	0.50%	0.25%	0.90%					
32	"15. ""Партия СЛОН"""	26	6	2	5	1	0	4	3	5					
		0.18%	0.29%	0.09%	0.26%	0.06%	0.0%	0.25%	0.18%	0.34%					
33	"16. ""Родина"" (народно-патриотический союз)"""	853	148	140	109	95	93	119	69	80					
		6.22%	7.24%	6.82%	5.67%	6.10%	6.18%	7.45%	4.36%	5.54%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	2	6	4	4	5	4	5	5					
		0.25%	0.09%	0.29%	0.20%	0.25%	0.33%	0.25%	0.31%	0.34%					
35	"18. ""ЛДПР"""	1580	230	251	218	183	136	169	213	180					
		11.53%	11.25%	12.23%	11.34%	11.76%	9.04%	10.58%	13.48%	12.47%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	405	67	66	54	42	62	46	49	19					
		2.95%	3.27%	3.21%	2.81%	2.70%	4.12%	2.88%	3.10%	1.31%					
37	"20. ""Политическая партия ""Единая Россия"""	6498	938	950	970	716	737	726	747	714					
		47.45%	45.91%	46.29%	50.49%	46.04%	49.03%	45.48%	47.27%	49.48%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	4	4	4	4	1	2	1	0					
		0.14%	0.19%	0.19%	0.20%	0.25%	0.06%	0.12%	0.06%	0.0%					
39	"22. ""Развитие предпринимательства"""	49	4	4	9	7	4	7	4	10					
		0.35%	0.19%	0.19%	0.46%	0.45%	0.26%	0.43%	0.25%	0.69%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	919	133	106	133	124	120	107	105	91					
		6.71%	6.51%	5.16%	6.92%	7.97%	7.98%	6.70%	6.64%	6.30%					
															
41	Против всех	794	135	126	87	82	79	96	96	93					
		5.79%	6.60%	6.14%	4.52%	5.27%	5.25%	6.01%	6.07%	6.44%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
