Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    район Северное Тушино																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №3293					
1	"Число избирателей, внесенных в списки избирателей"	94330	2440	2685	2061	2696	2483	2391	2944	2835	2684	2622	2442	2417	2192	2496	2834	2143	2330	2730	2145	2605	2758	2407	2310	2011	2012	2066	2466	2663	2630	2760	2305	2203	2462	2301	2624	2546	2604	2519	403	105					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	81505	2000	2500	2000	2500	2000	2000	2500	2500	2000	2000	2000	2000	2000	2000	2500	2000	2000	2500	2000	2000	2500	2000	2000	2000	2000	2000	2000	2500	2500	2500	2000	2000	2000	2000	2000	2000	2000	2000	400	105					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	46750	1241	1348	1002	1227	1291	1164	1439	1376	1395	1279	1165	1073	1144	1224	1437	1002	1154	1335	1139	1255	1327	1112	1032	989	885	1071	1207	1368	1458	1414	1179	1127	1239	1142	1275	1267	1428	1289	150	101					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1485	44	44	35	59	30	31	23	34	1	30	10	36	49	46	33	43	50	42	42	28	42	28	23	33	42	20	30	32	30	32	20	25	39	35	30	32	22	20	240	0					
6	Число погашенных избирательных бюллетеней	33270	715	1108	963	1214	679	805	1038	1090	604	691	825	891	807	730	1030	955	796	1123	819	717	1131	860	945	978	1073	909	763	1100	1012	1054	801	848	722	823	695	701	550	691	10	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1485	44	44	35	59	30	31	23	34	1	30	10	36	49	46	33	43	50	42	42	28	42	28	23	33	42	20	30	32	30	32	20	25	39	35	30	32	22	20	240	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46572	1241	1344	997	1221	1281	1163	1439	1376	1395	1278	1163	1072	1137	1220	1437	996	1152	1328	1136	1255	1327	1112	1031	983	885	1068	1205	1360	1458	1410	1151	1127	1239	1140	1275	1209	1424	1286	150	101					
9	Число недействительных избирательных бюллетеней	658	16	22	4	21	10	22	13	14	34	15	22	13	14	12	14	15	23	13	7	19	18	20	15	21	7	12	16	12	22	30	10	20	27	15	20	16	20	21	13	0					
10	Число действительных избирательных бюллетеней	47399	1269	1366	1028	1259	1301	1172	1449	1396	1362	1293	1151	1095	1172	1254	1456	1024	1179	1357	1171	1264	1351	1120	1039	995	920	1076	1219	1380	1466	1412	1161	1132	1251	1160	1285	1225	1426	1285	377	101					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2620	60	60	60	60	60	60	60	60	300	60	150	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1467	45	43	48	34	35	50	35	31	86	34	53	25	36	46	44	34	43	40	45	34	41	39	25	22	22	32	36	48	59	32	25	46	28	31	27	29	43	39	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1045	35	25	31	15	78	27	42	23	45	24	27	19	26	17	36	28	28	31	20	26	26	14	13	22	19	17	30	15	30	21	15	19	29	19	19	21	32	39	32	10					
14	Число погашенных неиспользованных открепительных удостоверений	1153	15	17	12	26	25	10	25	29	214	26	97	35	24	14	16	26	17	20	15	26	19	21	35	38	38	28	24	12	1	28	35	14	32	29	33	31	17	21	8	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	138	4	5	3	3	3	7	3	6	0	1	1	5	1	4	4	7	4	3	4	5	8	2	0	2	10	4	5	2	1	6	5	2	1	4	1	7	4	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	1.Политическая партия «Аграрная партия России»	1594	42	54	34	54	44	51	44	59	42	43	32	41	55	39	46	31	21	45	38	46	53	39	31	40	30	30	49	46	61	43	24	28	50	47	37	22	34	48	19	2					
		3.32%	3.27%	3.89%	3.29%	4.22%	3.36%	4.27%	3.01%	4.18%	3.01%	3.29%	2.73%	3.70%	4.64%	3.08%	3.13%	2.98%	1.75%	3.28%	3.23%	3.59%	3.87%	3.42%	2.94%	3.94%	3.24%	2.76%	3.97%	3.30%	4.10%	2.98%	2.05%	2.43%	3.91%	4.00%	2.84%	1.77%	2.35%	3.68%	4.87%	1.98%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1325	36	41	30	27	35	28	39	37	76	44	45	30	30	29	40	19	33	27	38	29	33	33	43	18	21	41	36	26	49	48	36	41	26	21	28	24	52	34	2	0					
		2.76%	2.80%	2.95%	2.91%	2.11%	2.67%	2.35%	2.67%	2.62%	5.44%	3.36%	3.84%	2.71%	2.53%	2.29%	2.72%	1.83%	2.75%	1.97%	3.23%	2.26%	2.41%	2.89%	4.08%	1.77%	2.27%	3.77%	2.91%	1.87%	3.29%	3.33%	3.07%	3.56%	2.03%	1.79%	2.15%	1.93%	3.60%	2.60%	0.51%	0.00%					
20	3.Политическая партия «Демократическая партия России»	118	3	2	1	3	6	3	2	2	10	3	4	7	2	2	4	4	2	5	3	6	4	1	2	2	1	5	3	0	6	1	4	3	1	1	3	2	2	1	0	2					
		0.25%	0.23%	0.14%	0.10%	0.23%	0.46%	0.25%	0.14%	0.14%	0.72%	0.23%	0.34%	0.63%	0.17%	0.16%	0.27%	0.38%	0.17%	0.36%	0.25%	0.47%	0.29%	0.09%	0.19%	0.20%	0.11%	0.46%	0.24%	0.00%	0.40%	0.07%	0.34%	0.26%	0.08%	0.09%	0.23%	0.16%	0.14%	0.08%	0.00%	1.98%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6748	213	229	142	202	163	121	201	199	158	139	158	118	153	153	173	154	163	167	174	174	184	167	169	115	133	165	186	201	253	228	154	165	192	177	216	183	256	191	53	6					
		14.04%	16.58%	16.50%	13.76%	15.78%	12.43%	10.13%	13.75%	14.11%	11.32%	10.63%	13.47%	10.65%	12.90%	12.09%	11.77%	14.82%	13.56%	12.19%	14.77%	13.56%	13.44%	14.65%	16.03%	11.32%	14.35%	15.17%	15.06%	14.44%	17.00%	15.81%	13.15%	14.32%	15.02%	15.06%	16.55%	14.75%	17.70%	14.62%	13.59%	5.94%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1351	45	27	27	40	25	34	39	22	50	63	46	53	24	47	27	31	25	27	38	23	33	20	22	17	19	40	39	47	54	51	33	47	36	38	38	33	44	23	3	1					
		2.81%	3.50%	1.95%	2.62%	3.13%	1.91%	2.85%	2.67%	1.56%	3.58%	4.82%	3.92%	4.78%	2.02%	3.71%	1.84%	2.98%	2.08%	1.97%	3.23%	1.79%	2.41%	1.75%	2.09%	1.67%	2.05%	3.68%	3.16%	3.38%	3.63%	3.54%	2.82%	4.08%	2.82%	3.23%	2.91%	2.66%	3.04%	1.76%	0.77%	0.99%					
23	6.Политическая партия «Партия социальной справедливости»	255	8	6	6	4	4	7	12	5	19	15	6	7	7	7	6	6	8	11	4	6	4	5	7	6	4	5	6	12	6	2	5	7	4	7	8	5	2	4	0	2					
		0.53%	0.62%	0.43%	0.58%	0.31%	0.31%	0.59%	0.82%	0.35%	1.36%	1.15%	0.51%	0.63%	0.59%	0.55%	0.41%	0.58%	0.67%	0.80%	0.34%	0.47%	0.29%	0.44%	0.66%	0.59%	0.43%	0.46%	0.49%	0.86%	0.40%	0.14%	0.43%	0.61%	0.31%	0.60%	0.61%	0.40%	0.14%	0.31%	0.00%	1.98%					
24	7.Политическая партия «Либерально-демократическая партия России»	3723	72	94	87	97	110	99	150	110	193	90	127	73	97	86	103	74	102	114	91	116	94	76	53	63	69	75	105	140	83	97	78	75	85	93	103	98	122	110	9	10					
		7.75%	5.60%	6.77%	8.43%	7.58%	8.39%	8.29%	10.26%	7.80%	13.83%	6.88%	10.83%	6.59%	8.18%	6.79%	7.01%	7.12%	8.49%	8.32%	7.72%	9.04%	6.87%	6.67%	5.03%	6.20%	7.44%	6.89%	8.50%	10.06%	5.58%	6.73%	6.66%	6.51%	6.65%	7.91%	7.89%	7.90%	8.44%	8.42%	2.31%	9.90%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4269	117	142	89	117	93	116	140	143	123	119	88	88	100	136	110	72	107	116	110	99	109	101	88	98	88	109	121	130	153	133	122	97	112	115	113	106	111	108	22	8					
		8.88%	9.11%	10.23%	8.62%	9.14%	7.09%	9.72%	9.58%	10.14%	8.81%	9.10%	7.50%	7.94%	8.43%	10.74%	7.48%	6.93%	8.90%	8.47%	9.34%	7.72%	7.96%	8.86%	8.35%	9.65%	9.49%	10.02%	9.80%	9.34%	10.28%	9.22%	10.42%	8.42%	8.76%	9.79%	8.66%	8.54%	7.68%	8.27%	5.64%	7.92%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	694	31	15	12	14	15	11	20	8	25	19	18	10	11	19	19	16	16	27	18	15	19	18	16	19	9	19	21	24	31	21	10	23	18	14	22	15	29	18	7	2					
		1.44%	2.41%	1.08%	1.16%	1.09%	1.14%	0.92%	1.37%	0.57%	1.79%	1.45%	1.53%	0.90%	0.93%	1.50%	1.29%	1.54%	1.33%	1.97%	1.53%	1.17%	1.39%	1.58%	1.52%	1.87%	0.97%	1.75%	1.70%	1.72%	2.08%	1.46%	0.85%	1.99%	1.41%	1.19%	1.69%	1.21%	2.01%	1.38%	1.79%	1.98%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	24483	614	674	545	640	742	621	709	723	577	675	551	589	615	664	842	555	656	750	604	693	734	590	555	555	498	519	564	689	660	689	609	534	643	591	630	663	699	697	258	67					
		50.95%	47.78%	48.56%	52.81%	50.00%	56.60%	52.01%	48.50%	51.28%	41.33%	51.61%	46.97%	53.16%	51.85%	52.45%	57.28%	53.42%	54.58%	54.74%	51.27%	54.01%	53.62%	51.75%	52.66%	54.63%	53.72%	47.70%	45.67%	49.50%	44.35%	47.78%	52.01%	46.35%	50.31%	50.30%	48.28%	53.42%	48.34%	53.37%	66.15%	66.34%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2839	88	82	55	61	64	81	93	88	89	83	76	79	78	72	86	62	46	68	53	57	84	70	53	62	48	68	89	65	110	99	86	112	84	56	87	74	75	51	4	1					
		5.91%	6.85%	5.91%	5.33%	4.77%	4.88%	6.78%	6.36%	6.24%	6.38%	6.35%	6.48%	7.13%	6.58%	5.69%	5.85%	5.97%	3.83%	4.96%	4.50%	4.44%	6.14%	6.14%	5.03%	6.10%	5.18%	6.25%	7.21%	4.67%	7.39%	6.87%	7.34%	9.72%	6.57%	4.77%	6.67%	5.96%	5.19%	3.91%	1.03%	0.99%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
