Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
"Наименование Избирательной комиссии:    г.Тюмень, Центральная"																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996					
1	"Число избирателей, внесенных в списки избирателей"	120763	2418	2282	2292	2609	1192	1733	2527	1108	2206	1656	1184	1041	986	1866	2604	1679	1184	1387	915	1487	2485	2355	2225	2324	1972	2516	1397	1144	1164	1136	1687	2401	2502	1983	2345	2238	2122	1509	1885	2500	1670	2132	2156	2564	2496	2029	1950	1469	2037	1784	1592	1754	1900	1792	1801	1405	1418	908	1669	2052	1792	1644	1953	1260	1655	1368	267					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	112486	2245	2152	2154	2397	1120	1647	2381	1041	2067	1558	1098	981	839	1739	2432	1575	1148	1290	845	1388	2256	2217	2061	2195	1855	2373	1295	1067	1079	1053	1590	2193	2376	1850	2003	2096	2010	1414	1761	2350	1569	2011	1995	2354	2270	1923	1641	1369	1916	1726	1486	1647	1783	1684	1674	1298	1293	851	1572	1933	1676	1545	1811	1256	1534	1228	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	87393	1747	1740	1698	1889	789	1170	1895	867	1597	1098	861	866	643	1314	1835	1111	755	816	635	991	1778	1674	1756	1696	1458	1828	868	722	724	672	932	1797	1771	1435	1791	1654	1616	1128	1462	1801	1116	1617	1548	2004	1929	1519	1499	1076	1548	1453	1219	1314	1482	1272	1315	961	1204	666	1283	1516	1328	1149	1465	839	1215	973	3					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1307	13	24	24	20	2	15	20	26	9	11	19	9	30	13	23	12	11	18	14	6	10	17	19	27	10	15	9	13	9	10	14	15	20	16	21	20	8	7	16	18	10	14	32	21	19	26	14	0	21	23	7	25	18	19	6	9	4	19	24	15	18	45	22	22	15	8	238					
6	Число погашенных избирательных бюллетеней	23786	485	388	432	488	329	462	466	148	461	449	218	106	166	412	574	452	382	456	196	391	468	526	286	472	387	530	418	332	346	371	644	381	585	399	191	422	386	279	283	531	443	380	415	329	322	378	128	293	347	250	260	308	283	393	353	328	85	166	265	402	330	351	324	395	304	247	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1307	13	24	24	20	2	15	20	26	9	11	19	9	30	13	23	12	11	18	14	6	10	17	19	27	10	15	9	13	9	10	14	15	20	16	21	20	8	7	16	18	10	14	32	21	19	26	14	0	21	23	7	25	18	19	6	9	4	19	24	15	18	45	22	22	15	8	238					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	87210	1747	1740	1693	1887	789	1170	1895	839	1595	1098	861	866	643	1312	1835	1099	755	816	635	991	1778	1674	1756	1692	1457	1824	868	722	713	672	932	1797	1769	1435	1791	1646	1616	1126	1462	1801	1116	1617	1548	1983	1883	1519	1498	1076	1545	1453	1219	1312	1482	1266	1315	961	1198	666	1281	1514	1328	1149	1464	839	1215	963	3					
9	Число недействительных избирательных бюллетеней	1148	19	32	24	27	9	10	15	12	27	16	5	16	8	18	24	24	29	0	8	16	24	27	15	29	27	20	10	15	9	9	10	30	29	21	0	24	18	12	27	19	22	16	19	28	28	14	21	16	15	18	16	26	24	15	10	0	23	2	6	19	16	8	24	12	14	22	0					
10	Число действительных избирательных бюллетеней	87369	1741	1732	1693	1880	782	1175	1900	853	1577	1093	875	859	665	1307	1834	1087	737	834	641	981	1764	1664	1760	1690	1440	1819	867	720	713	673	936	1782	1760	1430	1812	1642	1606	1121	1451	1800	1104	1615	1561	1976	1874	1531	1491	1060	1551	1458	1210	1311	1476	1270	1311	970	1179	683	1299	1510	1330	1186	1462	849	1216	949	241					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1780	40	35	25	25	25	25	25	25	35	25	25	25	25	25	25	25	25	25	25	25	35	25	35	35	25	25	25	25	25	25	25	25	35	25	25	25	35	25	25	35	35	25	25	25	25	35	25	25	25	25	25	25	25	25	25	25	40	25	25	25	25	25	25	25	25	25	0					
