Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																												
Дата голосования: 04.12.2011																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Сыктывкарская городская																																																																																												
																																																																																												
Сводная таблица результатов выборов																																																																																												
																																																																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №666	УИК №667	УИК №668					
1	"Число избирателей, внесенных в список избирателей"	155017	1616	1642	535	1644	353	1604	1904	1729	1524	1657	1514	1423	1951	2907	1579	1885	850	2660	1500	1139	2041	2338	2929	3000	2233	2239	2066	2108	2298	2689	2060	1950	1801	1941	2532	1855	1449	2305	1384	1834	2007	1242	1083	1147	1377	1317	2474	2003	1782	1588	1553	1580	1925	1894	1978	2937	2489	2803	2784	2567	1902	2413	1943	2897	1017	581	1057	1310	2494	2043	2367	2050	2155	2110	1883	2720	2903	2297	1922	1738	160	597	500	519	241					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	126317	1300	1400	500	1400	300	1300	1500	1400	1200	1300	1200	1200	1500	2300	1300	1500	800	2300	1028	759	1600	1900	2300	2300	1800	1900	1700	1700	1800	2300	1700	1700	1400	1600	1800	1600	1200	1800	1100	1400	1600	1400	739	842	1200	1200	2400	1900	1400	1300	915	1300	1500	1600	1700	2300	2000	2700	2200	2100	1500	1900	1600	2300	609	317	690	818	2000	1600	1900	1700	1700	1800	1500	2200	2400	1900	1600	1500	200	600	500	700	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	119704	1268	1360	445	1346	188	1271	1473	1374	1155	1255	1168	1180	1481	2213	1257	1462	706	2256	1019	738	1336	1472	2261	2240	1783	1857	1675	1480	1779	2286	1667	1658	1365	1543	1764	1570	1096	1622	1034	1370	1562	1239	722	834	1166	1149	1816	1878	1342	1257	902	1277	1470	1520	1669	2250	1957	2646	1785	2024	1459	1878	1570	2256	603	306	673	802	1950	1562	1875	1674	1674	1754	1438	2014	2378	1595	1524	1332	100	348	241	519	241					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3104	28	38	7	43	12	17	19	25	30	20	30	17	17	84	38	35	7	39	9	21	31	33	37	58	15	30	21	25	16	11	31	40	32	33	36	28	17	11	24	28	30	3	17	8	25	38	39	19	52	39	13	23	27	24	29	48	38	33	36	37	13	15	28	43	6	11	17	16	47	30	23	24	15	43	18	183	18	301	10	92	50	171	259	0	0					
6	Число погашенных избирательных бюллетеней	3509	4	2	48	11	100	12	8	1	15	25	2	3	2	3	5	3	87	5	0	0	233	395	2	2	2	13	4	195	5	3	2	2	3	24	0	2	87	167	42	2	8	158	0	0	9	13	545	3	6	4	0	0	3	56	2	2	5	21	379	39	28	7	2	1	0	0	0	0	3	8	2	2	11	3	44	3	4	4	66	76	50	81	0	181	159					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3104	28	38	7	43	12	17	19	25	30	20	30	17	17	84	38	35	7	39	9	21	31	33	37	58	15	30	21	25	16	11	31	40	32	33	36	28	17	11	24	28	30	3	17	8	25	38	39	19	52	39	13	23	27	24	29	48	38	33	36	37	13	15	28	43	6	11	17	16	47	30	23	24	15	43	18	183	18	301	10	92	50	171	259	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	119626	1268	1360	445	1346	188	1271	1473	1374	1155	1255	1168	1180	1481	2213	1257	1462	706	2255	1012	732	1333	1468	2261	2240	1783	1857	1675	1476	1779	2286	1667	1658	1365	1543	1764	1570	1096	1622	1034	1370	1562	1239	717	832	1149	1149	1816	1878	1342	1257	901	1277	1470	1496	1669	2250	1957	2646	1785	2024	1459	1878	1570	2256	601	305	673	801	1950	1562	1875	1674	1674	1754	1438	2014	2378	1595	1524	1332	100	348	241	519	241					
9	Число недействительных избирательных бюллетеней	952	5	2	11	3	2	18	3	1	7	25	1	1	3	2	4	2	8	6	47	29	34	40	1	3	3	4	3	32	4	5	8	2	2	26	2	1	13	33	20	1	26	14	17	36	8	3	20	1	2	3	24	9	2	33	2	1	3	4	31	42	24	5	1	2	14	9	9	30	2	2	1	3	20	1	27	5	5	5	34	24	4	12	11	2	2					
10	Число действительных избирательных бюллетеней	121778	1291	1396	441	1386	198	1270	1489	1398	1178	1250	1197	1196	1495	2295	1291	1495	705	2288	974	724	1330	1461	2297	2295	1795	1883	1693	1469	1791	2292	1690	1696	1395	1550	1798	1597	1100	1600	1038	1397	1566	1228	717	804	1166	1184	1835	1896	1392	1293	890	1291	1495	1487	1696	2297	1992	2675	1790	2019	1448	1888	1597	2297	593	307	681	787	1995	1590	1897	1695	1669	1796	1429	2192	2391	1891	1500	1400	146	507	489	517	239					
