Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Саратов, Заводская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211					
1	"Число избирателей, внесенных в списки избирателей"	155060	1951	2520	2083	1793	1555	1322	1346	2254	2164	648	112	2459	2323	2378	2262	2566	2238	2406	2310	2260	2584	2554	2233	2081	2169	244	1914	2046	2637	1762	2510	1023	615	2605	2508	2148	2433	1297	1357	2650	201	99	2478	2268	1982	1991	2027	2430	2968	2505	2001	2321	2309	2905	2901	2651	2769	2653	468	2846	2623	2847	2785	299	2816	2801	2832	2225	2481	2773	2760	1578	1151	1898	2098					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	150369	1900	2100	2000	1800	1500	1300	1251	2300	2100	800	200	2400	2200	2400	2300	2400	2200	2400	2300	2200	2400	2500	2200	2000	2000	500	1800	2000	2500	1700	2100	1000	700	2500	2400	2100	2400	1200	1300	2600	600	292	2300	2200	2000	1800	1900	2400	2900	2500	2000	2100	2300	2900	2900	2500	2200	2200	626	2600	2500	2800	2700	600	2800	2800	2800	2100	2400	2700	2600	1500	1100	1800	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	75748	1052	1194	1030	856	397	599	732	1202	1052	228	107	1281	1309	1471	1161	1383	1101	1268	1222	1311	1307	1242	1311	1182	1093	242	1023	1092	1334	910	1294	405	287	1099	1149	1047	1115	536	591	1079	190	97	1156	1105	957	1176	1133	1385	1226	1254	1047	1293	927	1258	1342	1069	1519	1262	295	1207	1045	1393	1206	295	1128	1383	1084	1136	1272	1399	1262	787	491	849	826					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2524	35	28	30	39	35	21	25	43	33	20	0	28	36	31	23	36	36	24	28	35	36	36	39	64	25	0	48	35	20	31	29	38	56	62	46	36	25	25	27	52	8	0	23	24	34	17	35	30	21	11	37	17	35	27	23	45	77	36	168	33	37	42	47	1	20	23	25	35	31	50	43	23	42	37	51					
6	Число погашенных избирательных бюллетеней	72099	813	878	940	905	1068	680	494	1055	1015	552	93	1091	855	898	1116	981	1063	1108	1050	854	1057	1222	850	754	882	258	729	873	1146	759	777	557	357	1338	1205	1017	1260	639	682	1469	402	195	1121	1071	1009	607	732	985	1653	1235	916	790	1338	1615	1535	1386	604	902	163	1360	1418	1365	1447	304	1651	1394	1691	929	1097	1256	1295	690	567	914	1122					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2476	35	28	30	39	34	20	25	43	33	20	0	28	13	31	23	36	36	23	28	35	36	36	39	64	24	0	48	35	19	31	29	37	52	62	44	36	25	25	27	52	8	0	23	23	34	17	34	30	21	11	37	17	35	27	23	45	77	36	168	33	37	42	46	1	20	17	25	34	31	50	43	23	41	35	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	74783	1042	1194	1006	842	391	593	721	1202	1040	227	107	1267	1282	1470	1161	1383	1092	1268	1222	1297	1293	1234	1303	1173	1087	242	1009	1008	1312	903	1294	372	282	1086	1144	1037	1102	489	590	1071	187	97	1151	1102	815	1170	1129	1385	1151	1243	1046	1273	917	1236	1338	1062	1515	1215	295	1207	1029	1351	1193	294	1118	1378	1084	1133	1244	1394	1261	775	491	841	825					
9	Число недействительных избирательных бюллетеней	1330	17	10	22	7	7	17	16	21	20	4	2	20	20	37	21	24	13	18	17	25	21	23	17	26	25	0	14	22	38	10	13	6	6	7	16	14	25	11	12	11	5	0	20	27	18	18	17	9	38	16	12	24	20	23	32	22	33	38	3	25	17	25	22	2	15	25	23	15	35	19	23	9	10	22	13					
10	Число действительных избирательных бюллетеней	75929	1060	1212	1014	874	418	596	730	1224	1053	243	105	1275	1275	1464	1163	1395	1115	1273	1233	1307	1308	1247	1325	1211	1086	242	1043	1021	1293	924	1310	403	328	1141	1172	1059	1102	503	605	1112	190	97	1154	1098	831	1169	1146	1406	1134	1238	1071	1266	932	1240	1329	1085	1559	1213	460	1215	1049	1368	1217	293	1123	1370	1086	1152	1240	1425	1281	789	522	854	863					
