Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Грязинская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243					
1	"Число избирателей, внесенных в списки"	56805	1930	790	561	980	894	1623	929	217	854	357	219	351	270	1074	161	140	477	439	644	370	1283	616	827	296	157	559	356	906	1162	2937	1036	2787	3025	2078	1720	872	1857	2788	2700	2006	923	1867	2675	2840	1195	938	900	2219					
2	"Число бюллетеней, полученных участковыми комиссиями"	55945	1930	805	565	1000	890	1640	955	220	855	361	220	350	262	1050	162	142	475	432	623	367	1265	627	845	287	167	583	370	894	1145	2900	1000	2700	2840	2040	1855	830	1770	2630	2560	1980	895	1825	2700	2800	1165	895	893	2180					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23255	693	281	200	525	301	730	389	69	371	121	88	193	116	403	82	66	197	137	229	128	541	267	259	139	56	242	176	381	486	1291	416	1228	1498	872	691	316	764	1143	940	719	322	758	1103	1147	503	449	395	834					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2482	77	67	82	55	67	90	61	48	62	95	38	31	60	134	18	20	39	43	105	81	33	60	96	0	27	29	7	115	16	37	14	49	39	10	29	13	71	80	65	59	43	15	37	28	63	23	64	87					
6	Число погашенных бюллетеней	30208	1160	457	283	420	522	820	505	103	422	145	94	126	86	513	62	56	239	252	289	158	691	300	490	148	84	312	187	398	643	1572	570	1423	1303	1158	1135	501	935	1407	1555	1202	530	1052	1560	1625	599	423	434	1259					
7	Число бюллетеней в переносных ящиках для голосования	2482	77	67	82	55	67	90	61	48	62	95	38	31	60	134	18	20	39	43	105	81	33	60	96	0	27	29	7	115	16	37	14	49	39	10	29	13	71	80	65	59	43	15	37	28	63	23	64	87					
8	Число бюллетеней в стационарных ящиках для голосования	23197	693	281	200	525	301	727	389	69	371	121	88	193	116	403	82	66	197	137	229	128	541	267	259	139	56	242	176	381	485	1291	416	1179	1498	872	691	315	764	1143	940	719	322	758	1103	1147	503	449	395	830					
9	Число недействительных бюллетеней	540	27	7	5	9	2	21	11	0	2	7	4	2	1	20	6	3	13	2	5	5	12	0	22	2	4	14	6	1	9	45	7	26	22	19	14	14	12	16	17	25	7	10	9	15	20	19	9	12					
10	Число действительных бюллетеней	25139	743	341	277	571	366	796	439	117	431	209	122	222	175	517	94	83	223	178	329	204	562	327	333	137	79	257	177	495	492	1283	423	1202	1515	863	706	314	823	1207	988	753	358	763	1131	1160	546	453	450	905					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	748	25	10	15	10	20	25	10	5	10	5	5	15	5	10	5	5	15	15	10	15	15	15	20	5	5	15	5	20	20	25	10	25	25	25	15	10	25	25	25	25	10	15	25	25	20	20	18	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	84	8	0	2	0	1	11	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	6	2	1	1	9	2	1	1	6	2	5	1	0	4	2	2	0	0	4	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	111	2	7	1	1	5	4	9	2	0	1	7	1	2	1	0	1	1	3	0	3	7	3	4	0	0	0	0	3	11	4	1	3	1	0	1	0	1	3	2	2	1	2	2	2	2	1	1	3					
14	Число погашенных открепительных удостоверений	664	17	10	13	10	19	14	10	5	10	5	5	15	5	9	5	5	14	15	10	14	14	14	20	4	5	15	5	20	14	23	9	24	16	23	14	9	19	23	20	24	10	11	23	23	20	20	14	18					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	"1. ""ЕДИНЕНИЕ"""	343	16	3	4	8	5	11	6	3	6	1	2	4	5	15	2	1	7	2	3	4	10	4	9	5	3	3	3	10	7	11	10	6	9	8	8	5	10	11	10	15	5	9	10	17	6	9	7	15					
		1.33%	2.07%	0.86%	1.41%	1.37%	1.35%	1.34%	1.33%	2.56%	1.38%	0.46%	1.58%	1.78%	2.84%	2.79%	2.0%	1.16%	2.96%	1.11%	0.89%	1.91%	1.74%	1.22%	2.53%	3.59%	3.61%	1.10%	1.63%	2.01%	1.39%	0.82%	2.32%	0.48%	0.58%	0.90%	1.11%	1.52%	1.19%	0.89%	0.99%	1.92%	1.36%	1.16%	0.87%	1.44%	1.06%	1.90%	1.52%	1.63%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	573	21	6	5	14	7	35	10	0	2	4	0	6	3	16	5	1	3	7	6	3	8	12	4	0	3	6	4	9	20	31	8	27	32	15	10	6	29	21	23	14	8	19	25	26	3	13	16	27					
