Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Тогучинская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091					
1	"Число избирателей, внесенных в списки избирателей"	46944	224	1689	2077	2230	1284	1768	1676	1460	2232	79	815	686	153	954	189	400	2594	2460	2088	837	429	210	195	840	262	138	746	259	234	600	241	239	153	778	446	905	147	943	538	765	761	549	211	87	630	164	212	743	502	692	415	851	600	476	109	121	659	277	60	271	725	96	123	400	415	1762	70					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	42313	202	1500	1890	1900	1120	1600	1500	1280	2000	160	740	630	153	840	180	360	2300	2200	1870	740	380	202	193	750	260	145	675	260	235	540	250	240	156	690	400	820	150	860	490	700	680	510	190	90	570	150	216	670	440	630	370	770	540	330	112	118	590	255	60	260	650	108	125	360	370	1500	88					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25516	176	796	1117	1234	588	954	960	704	1110	0	475	402	102	448	110	212	1523	1393	1217	514	270	148	146	446	159	89	378	118	146	296	145	108	52	429	234	415	101	451	277	357	475	314	163	59	350	92	114	456	296	429	158	423	285	290	82	75	431	173	42	184	367	50	66	252	258	804	28					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3386	20	90	69	74	113	99	148	49	195	78	15	17	0	98	25	51	118	87	96	36	48	0	0	60	25	10	51	61	16	43	12	62	40	60	26	170	8	108	63	80	62	34	6	7	27	10	9	43	31	23	113	59	66	40	18	18	62	27	14	17	60	7	11	24	29	139	9					
6	Число погашенных избирательных бюллетеней	13411	6	614	704	592	419	547	392	527	695	82	250	211	51	294	45	97	659	720	557	190	62	54	47	244	76	46	246	81	73	201	93	70	64	201	140	235	41	301	150	263	143	162	21	24	193	48	93	171	113	178	99	288	189	0	12	25	97	55	4	59	223	51	48	84	83	557	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3386	20	90	69	74	113	99	148	49	195	78	15	17	0	98	25	51	118	87	96	36	48	0	0	60	25	10	51	61	16	43	12	62	40	60	26	170	8	108	63	80	62	34	6	7	27	10	9	43	31	23	113	59	66	40	18	18	62	27	14	17	60	7	11	24	29	139	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25510	176	796	1117	1234	588	954	960	704	1110	0	475	402	102	448	110	212	1523	1391	1213	514	270	148	146	446	159	89	378	118	146	296	145	108	52	429	234	415	101	451	277	357	475	314	163	59	350	92	114	456	296	429	158	423	285	290	82	75	431	173	42	184	367	50	66	252	258	804	28					
9	Число недействительных избирательных бюллетеней	300	2	8	15	12	10	19	12	6	14	1	5	17	0	2	0	5	11	16	11	7	2	1	1	6	3	1	4	0	4	3	0	1	0	4	2	8	0	4	0	0	2	1	2	0	4	2	3	4	3	12	7	6	9	5	2	1	2	1	0	1	3	3	0	3	5	2	0					
10	Число действительных избирательных бюллетеней	28596	194	878	1171	1296	691	1034	1096	747	1291	77	485	402	102	544	135	258	1630	1462	1298	543	316	147	145	500	181	98	425	179	158	336	157	169	92	485	258	577	109	555	340	437	535	347	167	66	373	100	120	495	324	440	264	476	342	325	98	92	491	199	56	200	424	54	77	273	282	941	37					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	587	12	14	15	18	6	19	15	15	10	0	16	8	1	17	7	10	19	23	15	3	3	5	5	15	0	5	10	5	5	5	2	0	0	10	8	10	5	10	8	10	15	8	5	5	8	5	5	10	5	16	5	8	8	8	5	5	18	5	0	10	8	5	5	8	8	25	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	452	9	14	14	16	6	17	12	14	8	0	14	8	0	15	7	4	19	22	14	3	3	0	0	6	0	4	5	1	3	4	2	0	0	5	7	10	0	5	2	9	15	8	5	5	7	0	3	10	4	16	1	8	5	0	0	0	18	4	0	10	7	5	0	4	0	25	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	301	5	6	9	51	5	7	11	5	9	2	2	1	1	5	12	5	16	9	6	2	2	1	1	5	1	1	4	1	1	3	2	2	2	7	6	5	2	0	1	2	6	2	6	2	5	2	1	0	4	2	3	5	2	2	1	1	2	2	2	1	11	3	0	5	1	10	2					
14	Число погашенных неиспользованных открепительных удостоверений	135	3	0	1	2	0	2	3	1	2	0	2	0	1	2	0	6	0	1	1	0	0	5	5	9	0	1	5	4	2	1	0	0	0	5	1	0	5	5	6	1	0	0	0	0	1	5	2	0	1	0	4	0	3	8	5	5	0	1	0	0	1	0	5	4	8	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	0	1	1	0	0	0	0	0	0	0	0	7	0	0	8	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
18	1.Политическая партия «Аграрная партия России»	1015	3	33	35	52	8	19	33	20	37	0	17	31	4	12	10	6	21	25	24	23	10	10	8	13	5	4	18	14	6	15	4	20	2	21	14	36	9	31	37	9	21	16	4	9	16	1	4	35	8	16	3	9	11	21	6	5	16	18	2	10	15	2	3	20	26	19	0					
		3.51%	1.53%	3.72%	2.95%	3.98%	1.14%	1.80%	2.98%	2.66%	2.84%	0.00%	3.47%	7.40%	3.92%	2.20%	7.41%	2.28%	1.28%	1.69%	1.83%	4.18%	3.14%	6.76%	5.48%	2.57%	2.72%	4.04%	4.20%	7.82%	3.70%	4.42%	2.55%	11.76%	2.17%	4.29%	5.38%	6.15%	8.26%	5.55%	10.88%	2.06%	3.91%	4.60%	2.37%	13.64%	4.24%	0.98%	3.25%	7.01%	2.45%	3.54%	1.11%	1.87%	3.13%	6.36%	6.00%	5.38%	3.25%	9.00%	3.57%	4.98%	3.51%	3.51%	3.90%	7.25%	9.06%	2.01%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	129	0	4	6	15	6	8	5	0	11	0	1	3	0	1	0	1	7	1	5	1	4	1	1	2	1	0	1	0	1	1	0	0	0	2	1	2	0	5	0	0	1	2	0	1	1	0	0	3	3	1	0	1	0	0	0	0	3	0	0	0	3	0	0	7	1	5	0					
