Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Нижнекамская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317					
1	"Число избирателей, внесенных в списки избирателей"	26765	1269	1212	315	2210	658	312	240	675	331	271	558	225	487	179	356	257	476	420	517	271	300	710	670	624	520	289	366	508	1086	2220	2011	2117	2085	2020					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26422	1250	1200	310	2180	640	310	230	650	310	250	550	230	480	180	350	252	470	420	490	270	290	700	660	620	500	280	360	500	1080	2200	1990	2120	2080	2020					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23821	1054	980	301	1586	614	295	193	632	292	242	545	225	480	177	340	246	444	349	456	260	290	664	603	503	455	266	360	500	1040	1939	1816	2024	1886	1764					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1053	120	139	0	68	14	9	25	18	18	8	0	0	0	0	10	0	24	67	34	10	0	16	47	109	45	14	0	0	35	59	33	45	32	54					
6	Число погашенных избирательных бюллетеней	1548	76	81	9	526	12	6	12	0	0	0	5	5	0	3	0	6	2	4	0	0	0	20	10	8	0	0	0	0	5	202	141	51	162	202					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1053	120	139	0	68	14	9	25	18	18	8	0	0	0	0	10	0	24	67	34	10	0	16	47	109	45	14	0	0	35	59	33	45	32	54					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23821	1054	980	301	1586	614	295	193	632	292	242	545	225	480	177	340	246	444	349	456	260	290	664	603	503	455	266	360	500	1040	1939	1816	2024	1886	1764					
9	Число недействительных избирательных бюллетеней	155	63	21	0	21	0	3	0	2	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	2	0	0	14	11	5	0	0	6					
10	Число действительных избирательных бюллетеней	24719	1111	1098	301	1633	628	301	218	648	309	250	545	225	480	177	348	246	468	416	490	270	288	680	650	612	498	278	360	500	1061	1987	1844	2069	1918	1812					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	483	15	16	5	20	6	5	4	1	1	1	2	5	1	5	1	1	5	10	10	1	9	5	5	8	10	5	5	5	10	63	49	74	72	48					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	408	15	16	5	4	6	2	0	1	1	1	2	3	0	3	0	0	5	6	6	0	0	5	1	8	5	2	1	0	10	63	44	74	72	47					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	375	9	8	7	12	11	3	10	18	10	10	10	0	6	3	3	5	8	7	24	1	12	10	6	6	11	9	2	2	64	15	23	18	19	13					
14	Число погашенных неиспользованных открепительных удостоверений	75	0	0	0	16	0	3	4	0	0	0	0	2	1	2	1	1	0	4	4	1	9	0	4	0	5	3	4	5	0	0	5	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	1	3	1	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	1.Политическая партия «Аграрная партия России»	207	14	19	5	26	3	5	4	7	4	4	13	2	2	1	2	3	2	0	0	0	4	2	6	3	20	2	3	4	10	12	1	4	12	8					
		0.83%	1.19%	1.70%	1.66%	1.57%	0.48%	1.64%	1.83%	1.08%	1.29%	1.60%	2.39%	0.89%	0.42%	0.56%	0.57%	1.22%	0.43%	0.00%	0.00%	0.00%	1.38%	0.29%	0.92%	0.49%	4.00%	0.71%	0.83%	0.80%	0.93%	0.60%	0.05%	0.19%	0.63%	0.44%					
19	2.Всероссийская политическая партия «Гражданская Сила»	63	7	4	0	17	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	4	3	0	17	3					
		0.25%	0.60%	0.36%	0.00%	1.03%	0.16%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.31%	0.00%	0.20%	0.36%	0.00%	0.00%	0.00%	0.20%	0.16%	0.00%	0.89%	0.17%					
20	3.Политическая партия «Демократическая партия России»	16	1	3	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	2	0	0	1					
		0.06%	0.09%	0.27%	0.00%	0.00%	0.16%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.56%	0.00%	0.09%	0.05%	0.11%	0.00%	0.00%	0.06%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1601	126	163	11	323	136	43	16	81	5	18	11	7	9	1	22	8	26	11	10	2	5	12	14	6	41	2	1	4	67	33	104	102	136	45					
